,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,10.0,0.0,0,20180922171814,01082,7.0,0.0625
1,,,2.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,,^,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,10.0,0.0,1.0,20180922172022.0,01088^11077,7.0,0.0625
2,,,2.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,58.0,1.0,20180922172023.0,21077.0,7.0,0.0625
3,,,2.0,14.5,0.8,-14.5,0.8695652173913043,146.5,0.8,146.5,0.8695652173913043,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,49.0,1.0,20180922172032.0,21077.0,7.0,0.0625
4,,,2.0,14.5,0.8,-14.5,0.8695652173913043,144.5,0.8695652173913043,144.5,0.8,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,43.0,0.0,20180922172039.0,21077.0,7.0,0.0625
5,,,2.0,14.5,0.8,-14.5,0.8695652173913043,144.5,0.8695652173913043,144.5,0.8,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,43.0,0.0,20180922172040.0,21077.0,7.0,0.0625
6,,,2.0,14.5,0.8,-14.5,0.8695652173913043,144.5,0.8695652173913043,144.5,0.8,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,43.0,1.0,20180922172044.0,21077.0,7.0,0.0625
7,,,2.0,14.5,0.8,-14.5,0.8695652173913043,144.5,0.8333333333333334,144.5,0.8333333333333334,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,34.0,1.0,20180922172052.0,21077.0,7.0,0.0625
8,,,2.0,14.5,0.8,-14.5,0.8695652173913043,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,26.0,1.0,20180922172101.0,21077.0,7.0,0.0625
9,,,2.0,13.5,0.8695652173913043,-13.5,0.8,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,22.0,1.0,20180922172105.0,21077.0,6.75,0.06666666666666667
10,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,13.0,1.0,20180922172113.0,21077.0,6.75,0.06666666666666667
11,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,141.5,0.8695652173913043,141.5,0.8,,,,,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,0.0,0.0,55.6,80.0,18,19,0,1,9.0,6.0,0.0,20180922172121.0,21077.0,6.5,0.07142857142857142
