,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,LA,LM,MD,OD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
32,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,0.5263157894736842,1:2,,,6,10,,10,11,11.0,9,5,,4,3,7.0,3,6,52.4,47.4,83.3,49.0,49,57,0.0,1,1.0,12.0,0.0,20180911144656.0,11078.0,0.45454545454545453,1.6,
33,,,,,150.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,150.5,150.5,,,0.7692307692307693,1:2,,,6,10,,10,11,11.0,9,5,,4,3,7.0,3,6,52.4,47.4,83.3,49.0,49,57,0.0,1,1.0,12.0,0.0,20180911144707.0,11078.0,0.45454545454545453,1.6,
34,,,,,150.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,150.5,150.5,,,0.9090909090909091,1:2,,,6,10,,10,11,11.0,9,5,,4,3,7.0,3,6,52.4,47.4,83.3,49.0,49,57,0.0,1,1.0,12.0,0.0,20180911144707.0,11078.0,0.45454545454545453,1.6,
35,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,150.5,,,0.9090909090909091,1:2,,,6,10,,10,11,11.0,9,5,,4,3,7.0,3,6,52.4,47.4,83.3,49.0,49,57,0.0,1,1.0,12.0,0.0,20180911144707.0,11078.0,0.45454545454545453,1.6,
36,,,,,1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,1.5,150.5,,,0.7692307692307693,1:2^2:2,,,6,10,,10,11,12.0,9,5,,4,3,8.0,3,6,54.5,47.4,83.3,49.0,50,57,0.0,1,1.0,12.0,0.0,20180911144707.0,11079^11078,0.45454545454545453,1.6,^
37,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,0.8695652173913043,1:2^2:2,,,6,10,,10,11,12.0,9,5,,4,3,8.0,3,6,54.5,47.4,83.3,49.0,50,57,0.0,1,1.0,12.0,0.0,20180911144718.0,11079^11078,0.45454545454545453,1.6,^
38,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,0.7142857142857143,1:2^2:2,,,6,10,,10,11,12.0,9,5,,4,3,8.0,3,6,54.5,47.4,83.3,49.0,50,57,0.0,1,1.0,12.0,0.0,20180911144718.0,11079^11078,0.45454545454545453,1.6,^
39,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,0.8,1:2^2:2,,,6,10,,10,11,12.0,9,5,,4,3,8.0,3,6,54.5,47.4,83.3,49.0,50,57,0.0,1,1.0,12.0,0.0,20180911144718.0,11079^11078,0.45454545454545453,1.6,^
40,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,1.0,1:2^2:2,,,6,10,,10,11,12.0,9,5,,4,3,8.0,3,6,54.5,47.4,83.3,49.0,50,57,0.0,1,1.0,12.0,0.0,20180911144718.0,11079^11078,0.45454545454545453,1.6,^
41,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,0.8695652173913043,1:2^2:2,,,6,10,,10,11,12.0,9,5,,4,3,8.0,3,6,54.5,47.4,83.3,49.0,50,57,0.0,1,1.0,12.0,0.0,20180911144718.0,11079^11078,0.45454545454545453,1.6,^
42,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,0.8,2:2,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,50.0,50,57,0.0,1,1.0,12.0,0.0,20180911144718.0,11079.0,0.45454545454545453,1.6,
43,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,0.8,2:2,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,50.0,51,57,0.0,1,1.0,12.0,0.0,20180911144730.0,11079.0,0.45454545454545453,1.6,
44,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,1.0,2:2,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,50.0,51,57,0.0,1,1.0,12.0,0.0,20180911144730.0,11079.0,0.45454545454545453,1.6,
45,,,,,151.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,151.5,151.5,,,0.8695652173913043,2:2,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,50.0,51,57,0.0,1,1.0,12.0,0.0,20180911144730.0,11079.0,0.45454545454545453,1.6,
46,,,,,1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,1.5,151.5,,,0.7142857142857143,2:2,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,50.0,51,57,0.0,1,1.0,12.0,0.0,20180911144730.0,11079.0,0.45454545454545453,1.6,
47,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,151.5,,,0.8,2:2,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,50.0,51,57,0.0,1,1.0,12.0,0.0,20180911144730.0,11079.0,0.45454545454545453,1.6,
48,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,151.5,,,0.8695652173913043,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,1.0,11.0,0.0,20180911144730.0,21077.0,0.45454545454545453,1.6,
49,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,151.5,,,0.8695652173913043,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,1.0,11.0,1.0,20180911144741.0,21077.0,0.45454545454545453,1.6,
50,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,151.5,,,0.8695652173913043,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,1.0,11.0,1.0,20180911144741.0,21077.0,0.45454545454545453,1.6,
51,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,151.5,,,0.8695652173913043,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,1.0,3.0,1.0,20180911144749.0,21077.0,0.45454545454545453,1.6,
52,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,151.5,,,0.8695652173913043,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,1.0,3.0,1.0,20180911144749.0,21077.0,0.45454545454545453,1.6,
53,,,,,150.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,150.5,150.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,55.0,1.0,20180911144757.0,21077.0,0.45454545454545453,1.6,
54,,,,,150.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,150.5,150.5,,,0.8333333333333334,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,55.0,1.0,20180911144757.0,21077.0,0.45454545454545453,1.6,
