,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
43,,,,,1.5,0.83,-1.5,0.83,142.5,0.87,142.5,0.8,142.5,,0.66,,43.0,35.0,0.0,1,6.0,3.0,1.0,20180721013050.0,11077.0,0.77,0.91
44,,,,,1.5,0.83,-1.5,0.83,142.5,0.8,142.5,0.87,142.5,,0.66,,43.0,35.0,0.0,1,6.0,3.0,1.0,20180721013050.0,11077.0,0.77,0.91
45,,,,,1.5,0.83,-1.5,0.83,142.5,0.8,142.5,0.87,142.5,,0.66,,43.0,35.0,0.0,1,5.0,55.0,1.0,20180721013059.0,11077.0,0.77,0.91
46,,,,,1.5,0.83,-1.5,0.83,141.5,0.83,142.5,0.83,141.5,,0.66,,43.0,35.0,0.0,1,5.0,55.0,1.0,20180721013059.0,11077.0,0.77,0.91
47,,,,,1.5,0.83,-1.5,0.83,141.5,0.83,141.5,0.83,141.5,,0.66,,43.0,35.0,0.0,1,5.0,47.0,1.0,20180721013107.0,11077.0,0.77,0.91
48,,,,,1.5,0.87,-1.5,0.8,141.5,0.83,141.5,0.83,141.5,,0.87,,43.0,35.0,0.0,1,5.0,47.0,1.0,20180721013107.0,11095.0,0.77,0.91
49,,,,,1.5,0.87,-1.5,0.8,141.5,0.83,141.5,0.83,141.5,,0.8,,43.0,35.0,0.0,1,5.0,45.0,1.0,20180721013109.0,11095.0,0.77,0.91
50,,,,,1.5,0.77,-1.5,0.91,141.5,0.8,141.5,0.83,141.5,,1.1,,43.0,35.0,0.0,1,5.0,45.0,1.0,20180721013109.0,21077.0,0.77,0.91
51,,,,,1.5,0.77,-1.5,0.91,141.5,0.8,141.5,0.87,141.5,,0.66,,43.0,35.0,0.0,1,5.0,43.0,1.0,20180721013112.0,21077.0,0.77,0.91
52,,,,,1.5,0.87,-1.5,0.8,141.5,0.8,141.5,0.87,141.5,,0.66,,43.0,35.0,0.0,1,5.0,43.0,1.0,20180721013112.0,11077.0,0.77,0.91
