,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,3.0,-18.5,0.8333333333333334,18.5,0.8333333333333334,113.5,0.9090909090909091,113.5,0.7692307692307693,,,,,,0,1,0.0,55.0,0,20181017122647,21077
1,,,,3.0,-18.5,0.8333333333333334,18.5,0.8333333333333334,113.5,0.9090909090909091,113.5,0.7692307692307693,,,,,,0,1,0.0,54.0,0,20181017122651.0,21077
2,,,,3.0,-18.5,0.8333333333333334,18.5,0.8333333333333334,113.5,0.9090909090909091,113.5,0.7692307692307693,3.0,,,,,0,1,0.0,56.0,1.0,20181017122712.0,21077
3,,,,3.0,-18.5,0.8695652173913043,18.5,0.8,113.5,0.8333333333333334,113.5,0.8333333333333334,3.0,,,,,0,1,0.0,47.0,1.0,20181017122721.0,21077
4,,,,3.0,-18.5,0.8695652173913043,18.5,0.8,113.5,0.8333333333333334,113.5,0.8333333333333334,3.0,,,,,0,1,0.0,47.0,1.0,20181017122725.0,11077.0
5,,,,3.0,-18.5,0.9090909090909091,18.5,0.7692307692307693,113.5,0.8,113.5,0.8695652173913043,3.0,,,,,0,1,0.0,35.0,1.0,20181017122733.0,11077.0
6,,,,3.0,-19.5,0.7692307692307693,19.5,0.9090909090909091,115.5,0.8695652173913043,115.5,0.8,3.0,,,,,0,1,0.0,27.0,1.0,20181017122741.0,11077.0
7,,,,3.0,-19.5,0.7692307692307693,19.5,0.9090909090909091,115.5,0.8333333333333334,115.5,0.8333333333333334,4.0,,,,,0,1,0.0,23.0,0.0,20181017122745.0,11077.0
8,,,,3.0,-20.5,0.7692307692307693,20.5,0.9090909090909091,115.5,0.8333333333333334,115.5,0.8333333333333334,4.0,,,,,0,1,0.0,23.0,0.0,20181017122746.0,21077.0
9,,,,3.0,-20.5,0.7692307692307693,20.5,0.9090909090909091,115.5,0.8,115.5,0.8695652173913043,4.0,,,,,0,1,0.0,21.0,0.0,20181017122749.0,21077.0
10,,,,3.0,-20.5,0.7692307692307693,20.5,0.9090909090909091,115.5,0.8333333333333334,115.5,0.8333333333333334,3.0,,,,,0,1,0.0,25.0,1.0,20181017122804.0,21077.0
11,,,,3.0,-20.5,0.7692307692307693,20.5,0.9090909090909091,115.5,0.7692307692307693,115.5,0.9090909090909091,3.0,,,,,0,1,0.0,16.0,1.0,20181017122813.0,21077.0
12,,,,3.0,-20.5,0.8,20.5,0.8695652173913043,114.5,0.8333333333333334,114.5,0.8333333333333334,3.0,,,,,0,1,0.0,8.0,1.0,20181017122821.0,21077.0
13,,,,3.0,-20.5,0.8,20.5,0.8695652173913043,114.5,0.8,114.5,0.8695652173913043,4.0,,,,,0,1,0.0,3.0,0.0,20181017122827.0,21077.0
14,,,,3.0,-19.5,0.8,19.5,0.8695652173913043,114.5,0.8,114.5,0.8695652173913043,4.0,,,,,0,1,0.0,3.0,0.0,20181017122827.0,11077.0
15,,,,3.0,-19.5,0.8,19.5,0.8695652173913043,114.5,0.8,114.5,0.8695652173913043,4.0,,,,,0,1,0.0,3.0,0.0,20181017123033.0,11077.0
16,,,,3.0,-19.5,0.8,19.5,0.8695652173913043,114.5,0.8,114.5,0.8695652173913043,3.0,,,,,0,1,0.0,3.0,1.0,20181017123034.0,11077.0
17,,,,3.0,-20.5,0.8695652173913043,20.5,0.8,114.5,0.7692307692307693,114.5,0.9090909090909091,4.0,,,,,0,1,0.0,0.0,0.0,20181017123037.0,11077.0
18,,,,3.0,-20.5,0.8695652173913043,20.5,0.8,114.5,0.7692307692307693,114.5,0.9090909090909091,4.0,,,,,0,1,0.0,0.0,0.0,20181017123052.0,21077.0
19,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,114.5,0.7692307692307693,114.5,0.9090909090909091,3.0,4.0,,,,0,1,10.0,0.0,0.0,20181017123104.0,1082.0
20,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,114.5,0.7692307692307693,114.5,0.9090909090909091,3.0,4.0,^,,,0,1,10.0,0.0,1.0,20181017123104.0,01090^11077
21,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,113.5,0.9090909090909091,113.5,0.7692307692307693,3.0,4.0,,,,0,1,9.0,55.0,0.0,20181017123404.0,11077.0
22,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,113.5,0.9090909090909091,113.5,0.7692307692307693,3.0,4.0,,,,0,1,9.0,55.0,1.0,20181017123419.0,11077.0
23,,,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,113.5,0.8333333333333334,113.5,0.8333333333333334,3.0,4.0,,,,0,1,9.0,46.0,1.0,20181017123428.0,11077.0
24,,,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,113.5,0.7692307692307693,113.5,0.9090909090909091,3.0,4.0,,,,0,1,9.0,41.0,1.0,20181017123433.0,11077.0
25,,,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,113.5,0.7692307692307693,113.5,0.9090909090909091,3.0,4.0,,,,0,1,9.0,41.0,1.0,20181017123433.0,11077.0
26,,,Q4,4th Quarter,-19.5,0.7692307692307693,19.5,0.9090909090909091,112.5,0.8333333333333334,112.5,0.8333333333333334,3.0,4.0,,,,0,1,9.0,32.0,1.0,20181017123441.0,11077.0
27,,,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,112.5,0.8,112.5,0.8695652173913043,3.0,4.0,,,,0,1,9.0,28.0,1.0,20181017123447.0,21077.0
28,,,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,111.5,0.9090909090909091,111.5,0.7692307692307693,3.0,4.0,,,,0,1,9.0,19.0,1.0,20181017123455.0,21077.0
29,,,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,3.0,4.0,,,,0,1,9.0,15.0,1.0,20181017123459.0,21095.0
30,,,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,3.0,4.0,,,,0,1,9.0,15.0,1.0,20181017123500.0,21095.0
31,,,Q4,4th Quarter,-20.5,0.8333333333333334,20.5,0.8333333333333334,111.5,0.7692307692307693,111.5,0.9090909090909091,3.0,4.0,,,,0,1,9.0,6.0,1.0,20181017123508.0,21095.0
