,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
0,,,,第1节,-5.5,0.87,5.5,0.87,55.5,0.87,55.5,0.87,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.0,0.0,
1,,,,第1节,-5.5,0.87,-1.5,0.87,55.5,0.87,55.5,0.87,-1.5,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.0,0.0,
2,,,,第1节,1.5,0.87,-1.5,0.87,55.5,0.87,167.5,0.87,1.5,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.0,0.0,
3,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.0,0.0,
4,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.0,0.77,
5,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.0,0.77,
6,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.0,0.77,
7,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.0,0.77,
8,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.0,0.77,
9,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.0,0.77,
10,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.0,0.77,
11,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.0,0.77,
12,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.0,0.77,
13,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.0,0.77,
14,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.0,0.77,
15,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,,0.0,0,,,,1.0,0.77,
16,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,,0.0,0,,,,1.0,0.77,
17,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,1.0,,1.0,10.0,,0.0,0,,,,1.0,0.77,
18,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,0.0,,1.0,10.0,,0.0,0,,,,1.0,0.77,
19,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,0.0,,1.0,10.0,,0.0,0,,,,1.0,0.77,
20,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,0.0,,1.0,10.0,,0.0,0,,,,1.0,0.77,
21,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,0.0,,1.0,10.0,,0.0,0,,,,1.0,0.77,
22,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,,,9232768.0,,,,,,,,,,,,,,,,,0.0,,1.0,10.0,,0.0,0,,,,1.0,0.77,
23,,,,第1节,1.5,0.87,-1.5,0.87,167.5,0.87,167.5,0.87,167.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1.0,10.0,GD,0.0,0,,1087.0,,1.0,0.77,
24,,,,第1节,1.5,0.87,-1.5,0.87,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1.0,10.0,GD,0.0,0,,11077.0,,1.0,0.77,
25,,,,第1节,1.5,0.87,-1.5,0.87,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1.0,10.0,GD,0.0,0,,11094.0,,1.0,0.77,"0.68,0.18"
26,,,,第1节,1.5,0.87,-1.5,0.87,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1.0,9.0,GD,51.0,0,,21077.0,,1.0,0.77,
27,,,,第1节,1.5,0.87,-1.5,0.87,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,2.0,0.0,#0A0A0A,1.0,9.0,GD,51.0,0,,21074.0,,1.0,0.77,"0.07,0.50"
28,,,,第1节,1.5,0.87,-1.5,0.87,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,51.0,0,,11077.0,,1.0,0.77,
29,,,,第1节,1.5,0.8,-1.5,0.95,167.5,0.87,167.5,0.87,167.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,51.0,0,,11077.0,,1.0,0.77,
30,,,,第1节,1.5,0.8,-1.5,0.95,167.5,0.87,167.5,0.87,167.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,34.0,0,,11077.0,,0.91,0.83,
31,,,,第1节,1.5,0.8,-1.5,0.95,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,34.0,0,,11077.0,,0.91,0.83,
32,,,,第1节,1.5,0.8,-1.5,0.95,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,34.0,0,,11095.0,,0.91,0.83,"0.69,0.46"
33,,,,第1节,1.5,0.8,-1.5,0.95,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,21.0,0,,21077.0,,0.91,0.83,
34,,,,第1节,1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,1.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,21.0,0,,21077.0,,0.91,0.83,
35,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,168.5,0.87,-1.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,21.0,0,,21077.0,,0.91,0.83,
36,,,,第1节,-1.5,0.95,1.5,0.8,168.5,0.87,168.5,0.87,168.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,21.0,0,,21077.0,,0.91,0.83,
37,,,,第1节,-1.5,0.95,1.5,0.8,168.5,0.87,168.5,0.87,168.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,#0A0A0A,1.0,9.0,GD,12.0,0,,21077.0,,0.83,0.91,
38,,,,第1节,-1.5,0.95,1.5,0.8,168.5,0.87,168.5,0.87,168.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,#0A0A0A,1.0,9.0,GD,12.0,0,,21074.0,,0.83,0.91,"0.08,0.59"
39,,,,第1节,-1.5,0.95,1.5,0.8,168.5,0.87,168.5,0.87,168.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,12.0,0,,11077.0,,0.83,0.91,
40,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,12.0,0,,11077.0,,0.83,0.91,
41,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,9.0,GD,12.0,0,,11095.0,,0.83,0.91,"0.86,0.51"
42,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,8.0,GD,54.0,0,,21077.0,,0.83,0.91,
43,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,8.0,GD,54.0,0,,21077.0,,0.83,0.91,
44,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,8.0,GD,46.0,0,,21077.0,,0.83,0.91,
45,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,8.0,GD,46.0,0,,11077.0,,0.83,0.91,
46,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,8.0,GD,2.0,0,,11077.0,,0.83,0.91,
47,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,7.0,GD,2.0,0,,11077.0,,0.83,0.91,
48,,,,第1节,-1.5,0.95,1.5,0.8,166.5,0.87,166.5,0.87,166.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9232768.0,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,#0A0A0A,1.0,7.0,GD,57.0,0,,11077.0,,0.83,0.91,
