,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
10,,23.5,0.7692307692307693,-23.5,0.9090909090909091,111.5,0.8,111.5,0.8695652173913043,,,,3.0,2.0,15.0,11.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,52,35,0.0,1,7.0,37.0,1.0,20180913114948.0,11077.0,0.004,17.0,
11,,23.5,0.7692307692307693,-23.5,0.9090909090909091,114.5,0.8333333333333334,114.5,0.8333333333333334,,,,4.0,2.0,15.0,11.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,35,0.0,1,7.0,34.0,1.0,20180913114950.0,11075.0,0.004,17.0,
12,,23.5,0.7692307692307693,-23.5,0.9090909090909091,114.5,0.8333333333333334,114.5,0.8333333333333334,,,,4.0,2.0,15.0,11.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,35,0.0,1,7.0,34.0,1.0,20180913114950.0,11075.0,0.004,17.0,
13,,22.5,0.7692307692307693,-22.5,0.9090909090909091,114.5,0.8333333333333334,114.5,0.8333333333333334,,,,4.0,2.0,15.0,11.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,35,0.0,1,7.0,34.0,1.0,20180913114950.0,21077.0,0.004,17.0,
14,,22.5,0.7692307692307693,-22.5,0.9090909090909091,113.5,0.9090909090909091,113.5,0.7692307692307693,,,,4.0,2.0,15.0,11.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,35,0.0,1,7.0,24.0,1.0,20180913115001.0,21077.0,0.004,17.0,
15,,22.5,0.7692307692307693,-22.5,0.9090909090909091,113.5,0.8,113.5,0.8695652173913043,,,,4.0,2.0,15.0,11.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,35,0.0,1,7.0,15.0,1.0,20180913115009.0,21077.0,0.004,17.0,
16,,20.5,0.7692307692307693,-20.5,0.9090909090909091,115.5,0.8333333333333334,115.5,0.8333333333333334,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,13.0,1.0,20180913115011.0,21074.0,0.004,17.0,
17,,20.5,0.7692307692307693,-20.5,0.9090909090909091,115.5,0.8333333333333334,115.5,0.8333333333333334,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,13.0,1.0,20180913115011.0,21074.0,0.004,17.0,
18,,20.5,0.7692307692307693,-20.5,0.9090909090909091,115.5,0.8333333333333334,115.5,0.8333333333333334,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,13.0,1.0,20180913115011.0,21074.0,0.004,17.0,
19,,21.5,0.7692307692307693,-21.5,0.9090909090909091,115.5,0.7692307692307693,115.5,0.9090909090909091,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,10.0,1.0,20180913115014.0,11077.0,0.004,17.0,
20,,21.5,0.7692307692307693,-21.5,0.9090909090909091,115.5,0.7692307692307693,115.5,0.9090909090909091,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,10.0,1.0,20180913115014.0,11077.0,0.004,17.0,
