,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,S1,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
38,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,2.0,1,3,42.9,87.5,91,54,0,1,0.0,32.0,1.0,20180923190549.0,21074.0
39,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,2.0,1,3,42.9,87.5,91,54,0,1,0.0,23.0,1.0,20180923190558.0,21074.0
40,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,2.0,1,3,42.9,87.5,91,54,0,1,0.0,22.0,1.0,20180923190558.0,21077.0
41,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,2.0,1,3,42.9,87.5,91,54,0,1,0.0,17.0,0.0,20180923190604.0,21077.0
42,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,2.0,1,3,42.9,87.5,91,54,0,1,0.0,17.0,0.0,20180923190605.0,11086.0
43,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,2.0,1,3,42.9,87.5,91,54,0,1,0.0,17.0,0.0,20180923190611.0,11086.0
44,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,54,0,1,0.0,17.0,0.0,20180923190612.0,11086.0
45,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,54,0,1,0.0,17.0,1.0,20180923190629.0,11086.0
46,4.0,36.5,0.0,-36.5,0.0,1.0,5.0,14,4,16.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,54,0,1,0.0,8.0,1.0,20180923190638.0,21077.0
47,4.0,34.5,0.0,-34.5,0.0,1.0,5.0,14,4,17.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,56,0,1,0.0,5.0,1.0,20180923190641.0,21074.0
48,4.0,34.5,0.0,-34.5,0.0,1.0,5.0,14,4,17.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,56,0,1,0.0,7.0,1.0,20180923190643.0,21074.0
49,4.0,35.5,0.0,-35.5,0.0,1.0,5.0,14,4,17.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,56,0,1,0.0,1.0,1.0,20180923190648.0,11077.0
50,4.0,35.5,0.0,-35.5,0.0,1.0,5.0,14,4,17.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,56,0,1,0.0,0.0,0.0,20180923190651.0,11077.0
51,4.0,35.5,0.0,-35.5,0.0,1.0,5.0,14,4,17.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,56,0,1,0.0,0.0,0.0,20180923190651.0,1084.0
52,4.0,35.5,0.0,-35.5,0.0,1.0,5.0,14,4,17.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,56,0,1,0.0,0.0,0.0,20180923190654.0,1084.0
53,4.0,35.5,0.0,-35.5,0.0,1.0,5.0,14,4,17.0,21,13,3,7,1,1,3.0,1,3,42.9,87.5,91,56,0,1,0.0,0.0,0.0,20180923190654.0,1084.0
