,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
52,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.87,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,21077.0,1.7,0.0,
53,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,21077.0,1.7,0.0,
54,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,11077.0,1.7,0.0,
55,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,11074.0,1.7,0.0,"0.82,0.73"
56,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.0,,0.0,4.0,0.0,1,7.0,GD,56.0,0,,21077.0,1.7,0.0,
57,,,,第1节,-8.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-8.5,1.0,0.83,,0.0,4.0,0.0,1,7.0,GD,56.0,0,,21077.0,1.7,0.0,
58,,,,第1节,8.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,8.5,1.0,0.83,,0.0,4.0,0.0,1,7.0,GD,56.0,0,,21077.0,1.7,0.0,
59,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.83,,0.0,4.0,0.0,1,7.0,GD,56.0,0,,21077.0,1.7,0.0,
60,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,,0.0,4.0,0.0,1,7.0,GD,56.0,0,,21077.0,1.7,0.0,
61,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,,0.0,4.0,0.0,1,7.0,GD,44.0,0,,21077.0,1.7,0.0,
62,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,,0.0,4.0,0.0,1,7.0,GD,44.0,0,,11086.0,1.7,0.0,
63,,,,第1节,-7.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-7.5,1.0,0.8,,0.0,4.0,0.0,1,7.0,GD,44.0,0,,21077.0,1.7,0.0,
64,,,,第1节,7.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,7.5,1.0,0.87,,0.0,4.0,0.0,1,7.0,GD,44.0,0,,21077.0,1.7,0.0,
65,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.87,,0.0,4.0,0.0,1,7.0,GD,44.0,0,,21077.0,1.7,0.0,
66,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.0,,0.0,4.0,0.0,1,7.0,GD,44.0,0,,21077.0,1.7,0.0,
67,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.0,,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21077.0,1.7,0.0,
68,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.0,,0.0,4.0,0.0,1,7.0,GD,40.0,0,,11086.0,1.7,0.0,
69,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.83,,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21077.0,1.7,0.0,
70,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.83,1:2,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,
71,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.0,1:2,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,
72,,,,第1节,-6.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-6.5,1.0,0.0,1:2,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,
73,,,,第1节,6.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,6.5,1.0,0.0,1:2,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,
74,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,1:2,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,
75,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,1:2,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,
76,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,1:2,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,
77,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,1:2,0.0,4.0,0.0,1,7.0,GD,40.0,0,,21079.0,1.7,0.0,"0.20,0.50"
78,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,2:2,1.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,"0.20,0.50"
79,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,2:2,1.0,4.0,0.0,1,7.0,GD,40.0,0,,21078.0,1.7,0.0,"0.20,0.50"
80,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,2:2,1.0,4.0,0.0,1,7.0,GD,40.0,0,,21079.0,1.7,0.0,"0.20,0.50"
81,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,,2.0,4.0,0.0,1,7.0,GD,40.0,0,,11077.0,1.7,0.0,
82,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.87,,2.0,4.0,0.0,1,7.0,GD,40.0,0,,11077.0,1.7,0.0,
83,,,,第1节,152.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,152.5,1.0,0.8,,2.0,4.0,0.0,1,7.0,GD,40.0,0,,11077.0,1.7,0.0,
84,,,,第1节,152.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,152.5,1.0,0.0,,2.0,4.0,0.0,1,7.0,GD,40.0,0,,11077.0,1.7,0.0,
85,,,,第1节,152.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,152.5,1.0,0.0,,2.0,4.0,0.0,1,7.0,GD,20.0,0,,11077.0,1.7,0.0,
86,,,,第1节,152.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,152.5,1.0,0.0,,2.0,4.0,0.0,1,7.0,GD,20.0,0,,11095.0,1.7,0.0,"0.86,0.50"
87,,,,第1节,-5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-5.5,1.0,0.83,,2.0,4.0,0.0,1,7.0,GD,20.0,0,,21077.0,1.7,0.0,
88,,,,第1节,5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,0.83,,2.0,4.0,0.0,1,7.0,GD,20.0,0,,21077.0,1.7,0.0,
89,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.83,,2.0,4.0,0.0,1,7.0,GD,20.0,0,,21077.0,1.7,0.0,
90,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.83,,2.0,4.0,0.0,1,7.0,GD,20.0,0,,21074.0,1.7,0.0,"0.08,0.69"
91,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.83,,4.0,4.0,0.0,1,7.0,GD,0.0,0,,11077.0,1.7,0.0,
92,,,,第1节,-4.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-4.5,1.0,0.83,,4.0,4.0,0.0,1,7.0,GD,0.0,0,,11077.0,1.7,0.0,
93,,,,第1节,4.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,4.5,1.0,0.83,,4.0,4.0,0.0,1,7.0,GD,0.0,0,,11077.0,1.7,0.0,
94,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.83,,4.0,4.0,0.0,1,7.0,GD,0.0,0,,11077.0,1.7,0.0,
95,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.47,,4.0,4.0,0.0,1,7.0,GD,0.0,0,,11077.0,1.7,0.0,
96,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,,4.0,4.0,0.0,1,7.0,GD,0.0,0,,11075.0,1.7,0.0,"0.90,0.91"
97,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,,4.0,7.0,0.0,1,7.0,GD,49.0,0,,21077.0,1.7,0.0,
98,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21077.0,1.7,0.0,
99,,,,第1节,-6.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-6.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21077.0,1.7,0.0,
100,,,,第1节,6.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,6.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21077.0,1.7,0.0,
101,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21077.0,1.7,0.0,
102,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21077.0,1.7,0.0,
103,,,,第1节,-5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-5.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21077.0,1.7,0.0,
104,,,,第1节,5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21077.0,1.7,0.0,
105,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21077.0,1.7,0.0,
106,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,21074.0,1.7,0.0,"0.22,0.56"
107,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.0,,4.0,7.0,0.0,1,6.0,GD,49.0,0,,11077.0,1.7,0.0,
108,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.7,,6.0,7.0,0.0,1,6.0,GD,31.0,0,,11077.0,1.7,0.0,
109,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.7,,6.0,7.0,0.0,1,6.0,GD,31.0,0,,11094.0,1.7,0.0,"0.89,0.14"
110,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.7,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,21077.0,1.7,0.0,
111,,,,第1节,-4.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-4.5,1.0,0.8,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
112,,,,第1节,4.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,4.5,1.0,0.87,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
113,,,,第1节,153.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,0.87,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
114,,,,第1节,153.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,0.0,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
115,,,,第1节,153.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,0.0,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
116,,,,第1节,153.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,0.0,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
117,,,,第1节,153.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,1.7,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
118,,,,第1节,153.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,0.0,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
119,,,,第1节,153.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,0.0,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
120,,,,第1节,-5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-5.5,1.0,0.83,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
121,,,,第1节,5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,0.83,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
122,,,,第1节,5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,0.0,,6.0,7.0,0.0,1,6.0,GD,13.0,0,,11077.0,1.7,0.0,
123,,,,第1节,5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,1.7,,6.0,7.0,0.0,1,6.0,GD,7.0,0,,11077.0,1.7,0.0,
124,,,,第1节,5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,1.7,,6.0,7.0,0.0,1,6.0,GD,7.0,0,,11074.0,1.7,0.0,"0.91,0.60"
125,,,,第1节,5.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,1.7,,6.0,9.0,0.0,1,6.0,GD,2.0,0,,21077.0,1.7,0.0,
126,,,,第1节,-6.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-6.5,1.0,1.7,,6.0,9.0,0.0,1,6.0,GD,2.0,0,,21077.0,1.7,0.0,
127,,,,第1节,6.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,6.5,1.0,1.7,,6.0,9.0,0.0,1,6.0,GD,2.0,0,,21077.0,1.7,0.0,
128,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.7,,6.0,9.0,0.0,1,6.0,GD,2.0,0,,21077.0,1.7,0.0,
129,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.0,,6.0,9.0,0.0,1,6.0,GD,2.0,0,,21077.0,1.7,0.0,
130,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.0,,6.0,9.0,0.0,1,5.0,GD,49.0,0,,21077.0,1.7,0.0,
131,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.0,,6.0,9.0,0.0,1,5.0,GD,49.0,0,,21086.0,1.7,0.0,
132,,,,第1节,155.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.8,,6.0,9.0,0.0,1,5.0,GD,49.0,0,,11077.0,1.7,0.0,
133,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,0.87,,6.0,9.0,0.0,1,5.0,GD,49.0,0,,11077.0,1.7,0.0,
134,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,0.0,,6.0,9.0,0.0,1,5.0,GD,49.0,0,,11077.0,1.7,0.0,
135,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,0.0,,6.0,9.0,0.0,1,5.0,GD,24.0,0,,11077.0,1.7,0.0,
136,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,0.0,,6.0,9.0,0.0,1,5.0,GD,24.0,0,,11095.0,1.7,0.0,"0.84,0.86"
137,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,0.83,,6.0,9.0,0.0,1,5.0,GD,24.0,0,,21077.0,1.7,0.0,
