,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,1.7,0.0,
1,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.0,
2,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.0,
3,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.0,
4,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.0,
5,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.0,
6,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.0,
7,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,1.7,0.0,
8,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,1.7,0.0,
9,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,1.7,0.0,
10,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,1.7,0.0,
11,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,1.7,0.0,
12,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,1.0,,,,,0.0,1,10.0,,0.0,0,,1087.0,1.7,0.0,
13,,,,第1节,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,,1.0,,,,,0.0,1,9.0,GD,44.0,0,,21077.0,1.7,0.0,
14,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,,,,,0.0,1,9.0,GD,44.0,0,,11077.0,1.7,0.0,
15,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,,,,,0.0,1,9.0,GD,44.0,0,,11095.0,1.7,0.0,"0.76,0.54"
16,,,,第1节,154.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,,,,,0.0,1,9.0,GD,14.0,0,,21077.0,1.7,0.0,
17,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,,,,,0.0,1,9.0,GD,14.0,0,,21077.0,1.7,0.0,
18,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,,,,,0.0,1,9.0,GD,13.0,0,,21077.0,1.7,0.0,
19,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,,,,,0.0,1,9.0,GD,13.0,0,,11077.0,1.7,0.0,
20,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,,,,,0.0,1,9.0,GD,13.0,0,,21077.0,1.7,0.0,
21,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,,,,,0.0,1,9.0,GD,13.0,0,,21095.0,1.7,0.0,"0.09,0.45"
22,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,,,,,0.0,1,8.0,GD,53.0,0,,11077.0,1.7,0.0,
23,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,,,,,0.0,1,8.0,GD,53.0,0,,11077.0,1.7,0.0,
24,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,,,,,0.0,1,8.0,GD,42.0,0,,11077.0,1.7,0.0,
25,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,,,,,0.0,1,8.0,GD,42.0,0,,21086.0,1.7,0.0,
26,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,,,,,0.0,1,8.0,GD,42.0,0,,11077.0,1.7,0.0,
27,,,,第1节,-6.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,-6.5,1.0,,1:2,,,0.0,1,8.0,GD,42.0,0,,11078.0,1.7,0.0,
28,,,,第1节,6.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,6.5,1.0,,1:2,,,0.0,1,8.0,GD,42.0,0,,11078.0,1.7,0.0,
29,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,,1:2,,,0.0,1,8.0,GD,42.0,0,,11078.0,1.7,0.0,
30,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,1:2,,,0.0,1,8.0,GD,42.0,0,,11078.0,1.7,0.0,
31,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,1:2,,,0.0,1,8.0,GD,42.0,0,,11079.0,1.7,0.0,"0.20,0.50"
32,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,2:2,0.0,1.0,0.0,1,8.0,GD,42.0,0,,11078.0,1.7,0.0,"0.20,0.50"
33,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,2:2,0.0,1.0,0.0,1,8.0,GD,42.0,0,,11078.0,1.7,0.0,"0.20,0.50"
34,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,2:2,0.0,1.0,0.0,1,8.0,GD,42.0,0,,11079.0,1.7,0.0,"0.20,0.50"
35,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,42.0,0,,21077.0,1.7,0.0,
36,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,42.0,0,,21077.0,1.7,0.0,
37,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,42.0,0,,21077.0,1.7,0.0,
38,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,28.0,0,,21077.0,1.7,0.0,
39,,,,第1节,151.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,28.0,0,,11086.0,1.7,0.0,
40,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,28.0,0,,21077.0,1.7,0.0,
41,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,17.0,0,,11077.0,1.7,0.0,
42,,,,第1节,150.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,150.5,1.0,0.8,,0.0,2.0,0.0,1,8.0,GD,17.0,0,,11077.0,1.7,0.0,
43,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.87,,0.0,2.0,0.0,1,8.0,GD,17.0,0,,11077.0,1.7,0.0,
44,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,17.0,0,,11077.0,1.7,0.0,
45,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,17.0,0,,11094.0,1.7,0.0,"0.84,0.19"
46,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,21077.0,1.7,0.0,
47,,,,第1节,149.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.83,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,21077.0,1.7,0.0,
48,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.83,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,21077.0,1.7,0.0,
49,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,21077.0,1.7,0.0,
50,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.0,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,21077.0,1.7,0.0,
51,,,,第1节,148.5,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.8,,0.0,2.0,0.0,1,8.0,GD,7.0,0,,21077.0,1.7,0.0,
