,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,12,10,,28,38,,14,7,-3,0,,5,7,,77.8,70.0,106,113,0,1,0,16.0,0,20181021134136,11086^21078
1,,1:1,12,10,,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,114,0,1,0,16.0,0,20181021134157.0,21079.0
2,,1:1,12,10,,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,114,0,1,0,16.0,0,20181021134203.0,21079.0
3,,1:1,12,10,,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,114,0,1,0,16.0,0,20181021134214.0,21079.0
4,,1:1,12,10,,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,114,0,1,0,16.0,1.0,20181021134226.0,21079.0
5,,,12,10,,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,114,0,1,0,16.0,1.0,20181021134227.0,21077.0
6,,^,12,10,39.0,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,116,0,1,0,13.0,1.0,20181021134229.0,21074^11077
7,,^,12,10,39.0,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,116,0,1,0,12.0,0.0,20181021134229.0,21074^11077
8,,^,12,10,39.0,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,116,0,1,0,12.0,1.0,20181021134235.0,21074^11077
9,,,12,10,39.0,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,106,116,0,1,0,11.0,1.0,20181021134236.0,11077.0
10,,^,12,10,29.0,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,108,116,0,1,0,7.0,1.0,20181021134240.0,11074^21077
11,,^,12,10,29.0,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,108,116,0,1,0,6.0,0.0,20181021134240.0,11074^21077
12,,,12,10,29.0,28,38,8.0,14,7,-3,0,,5,7,72.7,77.8,70.0,108,116,0,1,0,6.0,0.0,20181021134251.0,21086.0
13,,^1:1^1:1,12,10,29.0,28,38,8.0,14,7,-3,0,8.0,5,7,72.7,77.8,70.0,108,116,0,1,0,6.0,0.0,20181021134252.0,21086^11078^11078
14,,^1:1,12,10,29.0,28,38,8.0,14,7,-3,0,8.0,5,7,72.7,77.8,70.0,108,116,0,1,0,8.0,0.0,20181021134253.0,21086^11078
15,,1:1^,12,10,29.0,28,38,8.0,14,7,-3,0,8.0,5,7,73.7,77.8,70.0,108,116,0,1,0,8.0,1.0,20181021134308.0,11080^21077
16,,1:1^,12,10,29.0,28,38,8.0,14,7,-3,0,8.0,5,7,73.7,77.8,70.0,108,116,0,1,0,0.0,0.0,20181021134316.0,11080^21077
17,,,12,10,29.0,28,38,8.0,14,7,-3,0,8.0,5,7,73.7,77.8,70.0,108,116,0,1,0,8.0,0.0,20181021134325.0,21086.0
18,,1:2,12,10,29.0,28,38,8.0,14,7,-3,0,8.0,5,7,73.7,77.8,70.0,108,116,0,1,0,8.0,0.0,20181021134329.0,11078.0
19,,^1:2,12,10,29.0,28,38,15.0,14,7,-3,0,9.0,5,7,75.0,77.8,70.0,108,116,0,1,0,8.0,0.0,20181021134329.0,21086^11078
20,,2:2^,12,10,29.0,28,38,15.0,14,7,-3,0,9.0,5,7,71.4,77.8,70.0,108,116,0,1,0,8.0,1.0,20181021134401.0,11080^21077
21,,2:2^,12,10,29.0,28,38,15.0,14,7,-3,0,9.0,5,7,71.4,77.8,70.0,108,116,0,1,0,8.0,1.0,20181021134402.0,11080^21077
22,,,12,10,29.0,28,38,15.0,14,7,-3,0,9.0,5,7,71.4,77.8,70.0,108,116,0,1,0,5.0,1.0,20181021134404.0,21077.0
23,,,12,10,29.0,28,38,15.0,14,7,-3,0,9.0,5,7,71.4,77.8,70.0,108,116,0,1,0,0.0,0.0,20181021134410.0,21077.0
24,,,12,10,29.0,28,38,15.0,14,7,-3,0,9.0,5,7,71.4,77.8,70.0,108,116,0,1,0,0.0,0.0,20181021134410.0,1084.0
25,,,12,10,29.0,28,38,15.0,14,7,-3,0,9.0,5,7,71.4,77.8,70.0,108,116,0,1,0,0.0,0.0,20181021134416.0,1084.0
26,,,12,10,29.0,28,38,15.0,14,7,-3,0,9.0,5,7,71.4,77.8,70.0,108,116,0,1,0,0.0,0.0,20181021134416.0,1084.0
