,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,第3节,-20.5,0.83,20.5,0.83,144.5,0.83,144.5,0.83,,,,,3,2.0,8.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,41.0,63.0,0.0,1,0.0,2.0,0,20180709041002,1082
1,,,,第3节,-20.5,0.83,20.5,0.83,144.5,0.83,144.5,0.83,,,,,3,2.0,8.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,41.0,63.0,1.0,1,0.0,2.0,0,20180709041002,1082
2,,,,第3节,-20.5,0.83,20.5,0.83,144.5,0.83,144.5,0.83,,,,,3,2.0,8.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,41.0,63.0,1.0,1,0.0,2.0,0,20180709041002,1082
3,,,,第3节,-20.5,0.83,20.5,0.83,144.5,0.83,144.5,0.83,,,,,3,2.0,8.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,41.0,63.0,1.0,1,0.0,2.0,0,20180709041002,1082
4,,,,第3节,-20.5,0.83,20.5,0.83,144.5,0.83,144.5,0.83,,,,,3,2.0,9.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,63.0,43.0,1.0,1,0.0,2.0,0,20180709041002,11074.0
5,,,,第3节,-20.5,0.83,20.5,0.83,147.5,0.83,147.5,0.83,147.5,,,,3,2.0,9.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,63.0,43.0,1.0,1,0.0,2.0,0,20180709041002,11074.0
6,,,,第3节,-20.5,0.83,20.5,0.83,147.5,0.83,147.5,0.83,147.5,,,,3,2.0,9.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,63.0,43.0,1.0,1,0.0,2.0,0,20180709041002,11074.0
7,,,,第3节,-20.5,0.83,19.5,0.83,147.5,0.83,147.5,0.83,19.5,,,,3,2.0,9.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,63.0,43.0,1.0,1,0.0,2.0,0,20180709041002,11074.0
8,,,,第3节,-19.5,0.87,19.5,0.8,147.5,0.83,147.5,0.83,-19.5,,,,3,2.0,9.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,63.0,43.0,1.0,1,0.0,0.0,0,20180709041002,11074.0
9,,,,第4节,-19.5,0.87,19.5,0.8,147.5,0.83,147.5,0.83,-19.5,,,,3,2.0,9.0,21.0,12.0,12.0,6,5,0.0,0.0,75.0,75.0,63.0,43.0,1.0,1,0.0,0.0,0,20180709041002,11074.0
