,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
31,,,,4.0,-1.5,0.0,1.5,0.0,1.0,,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,0.0,0.0,0.0,20181027160020.0,21077.0
32,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,4.0,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,5.0,0.0,0.0,20181027160027.0,1082.0
33,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,5.0,0.0,1.0,20181027160258.0,1085.0
34,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,59.0,1.0,20181027160259.0,21077.0
35,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,50.0,1.0,20181027160307.0,21077.0
36,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,42.0,0.0,20181027160315.0,21077.0
37,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,42.0,0.0,20181027160318.0,21077.0
38,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,42.0,1.0,20181027160328.0,21077.0
39,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,33.0,1.0,20181027160336.0,11077.0
40,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,26.0,0.0,20181027160344.0,11077.0
41,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,26.0,0.0,20181027160350.0,11077.0
42,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,26.0,1.0,20181027160354.0,11077.0
43,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,17.0,1.0,20181027160402.0,21077.0
44,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,9.0,1.0,20181027160411.0,21077.0
