,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
111,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,1:2^2:2,6,10,19.0,15,16,34.0,26,15,1.0,2,3,11.0,6,7,81.0,76.5,100.0,86,84,0,1,0.0,22.0,1.0,20181027161259.0,11079^11078
112,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,2:2,6,10,19.0,15,16,35.0,26,15,1.0,2,3,11.0,6,7,81.4,76.5,100.0,87,84,0,1,0.0,22.0,1.0,20181027161317.0,11079.0
113,44.0,5.0,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,19.0,15,16,35.0,26,15,1.0,2,3,11.0,6,7,81.4,76.5,100.0,87,84,0,1,0.0,22.0,1.0,20181027161328.0,21081.0
114,44.0,5.0,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,19.0,15,16,35.0,26,15,0.0,2,3,11.0,6,7,81.4,76.5,100.0,87,84,0,1,0.0,22.0,1.0,20181027161345.0,21077^21081
115,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,19.0,15,16,35.0,26,15,0.0,2,3,11.0,6,7,81.4,76.5,100.0,87,84,0,1,0.0,22.0,1.0,20181027161508.0,21077.0
116,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,,6,10,19.0,15,16,35.0,26,15,0.0,2,3,11.0,6,7,81.4,76.5,100.0,87,84,0,1,0.0,15.0,0.0,20181027161512.0,21077.0
117,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,1:2,6,10,19.0,15,16,35.0,26,15,0.0,2,3,11.0,6,7,81.4,76.5,100.0,87,84,0,1,0.0,15.0,0.0,20181027161512.0,11086.0
118,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,^1:2,6,10,19.0,15,16,17.0,26,15,0.0,2,3,9.0,6,7,85.0,76.5,100.0,87,84,0,1,0.0,15.0,0.0,20181027161512.0,11086^21078
119,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,2:2,6,10,19.0,15,16,18.0,26,15,0.0,2,3,9.0,6,7,85.7,76.5,100.0,87,86,0,1,0.0,15.0,0.0,20181027161545.0,21079.0
120,44.0,5.0,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,,6,10,19.0,15,16,18.0,26,15,0.0,2,3,9.0,6,7,85.7,76.5,100.0,87,86,0,1,0.0,15.0,0.0,20181027161556.0,11081.0
121,44.0,5.0,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,^,6,10,19.0,15,16,18.0,26,15,1.0,2,3,9.0,6,7,85.7,76.5,100.0,87,86,0,1,0.0,15.0,0.0,20181027161601.0,11077^11081
