,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,MD,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,102.5,0.8333333333333334,102.5,0.8333333333333334,,,,,,,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,4.0,12.0,1,20181021002101,11095,0.21052631578947367,3.25
1,,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,102.5,0.8,102.5,0.8695652173913043,,,,,,,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,4.0,7.0,1,20181021002105.0,21077.0,0.2,3.3
2,,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,101.5,0.8333333333333334,101.5,0.8333333333333334,,,,,,,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,58.0,1,20181021002114.0,21077.0,0.2,3.3
3,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,101.5,0.8333333333333334,101.5,0.8333333333333334,1.0,,,,,1.0,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,55.0,1,20181021002119.0,21095.0,0.2,3.3
4,,,,1.0,1.0,-9.5,0.8695652173913043,9.5,0.8,101.5,0.8,101.5,0.8695652173913043,1.0,19.0,,,,1.0,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,50.0,1,20181021002123.0,11077.0,0.21052631578947367,3.25
5,,,,1.0,1.0,-9.5,0.8695652173913043,9.5,0.8,100.5,0.8333333333333334,100.5,0.8333333333333334,1.0,19.0,,,,1.0,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,41.0,1,20181021002131.0,11077.0,0.21052631578947367,3.25
6,,,,1.0,1.0,-9.5,0.8695652173913043,9.5,0.8,100.5,0.8333333333333334,100.5,0.8333333333333334,1.0,19.0,,,,1.0,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,33.0,1,20181021002139.0,11077.0,0.21052631578947367,3.25
7,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,100.5,0.8333333333333334,100.5,0.8333333333333334,1.0,19.0,,,,1.0,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,34.0,1,20181021002141.0,21077.0,0.2,3.3
8,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,100.5,0.8333333333333334,100.5,0.8333333333333334,1.0,19.0,,,,1.0,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,34.0,1,20181021002144.0,21077.0,0.2,3.3
9,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,99.5,0.8695652173913043,99.5,0.8,1.0,19.0,,,,1.0,0,0.0,2.0,3.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,25.0,1,20181021002152.0,21077.0,0.2,3.3
10,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,99.5,0.8695652173913043,99.5,0.8,1.0,19.0,,,,1.0,0,0.0,2.0,4.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,25.0,1,20181021002152.0,11077.0,0.2,3.3
11,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,99.5,0.8695652173913043,99.5,0.8,1.0,19.0,,,,1.0,0,0.0,2.0,4.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,3.0,6.0,1,20181021002207.0,11077.0,0.2,3.3
12,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,100.5,0.8695652173913043,100.5,0.8,1.0,19.0,,,,1.0,0,0.0,2.0,4.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,2.0,58.0,1,20181021002215.0,11077.0,0.2,3.3
13,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,100.5,0.8333333333333334,100.5,0.8333333333333334,1.0,19.0,,,,1.0,0,0.0,2.0,4.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,5,8.0,0,1,2.0,54.0,0.0,20181021002220.0,11077.0,0.2,3.3
14,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,103.5,0.8,103.5,0.8695652173913043,1.0,20.0,,,,1.0,0,0.0,3.0,4.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,7,10.0,0,1,2.0,52.0,0.0,20181021002220.0,21077.0,0.21052631578947367,3.25
15,,,,1.0,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,102.5,0.8333333333333334,102.5,0.8333333333333334,1.0,19.0,,,,1.0,0,0.0,3.0,4.0,1,2.0,5.0,4,3.0,2.0,50.0,100.0,7,10.0,0,1,2.0,43.0,0.0,20181021002235.0,21077.0,0.21052631578947367,3.25
