,AM,AS,ED,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,,0,6,,28,22,,9,14,,2,2,,6,7,,42.9,56.0,65,75,0,1,0,58.0,0,20181010023521,21081
1,,,,,,,0,6,,28,22,,9,14,,2,2,,6,7,,42.9,56.0,65,75,0,1,0,58.0,1.0,20181010023658.0,21077.0
2,,,,,,,0,6,,28,22,,9,14,,2,2,,6,7,,42.9,56.0,65,75,0,1,0,56.0,0.0,20181010023659.0,21077.0
3,,,,,,,0,6,,28,22,,9,14,,2,2,,6,7,,42.9,56.0,65,75,0,1,0,56.0,0.0,20181010023706.0,11077.0
4,,,,,,,0,6,,28,22,,9,14,,2,2,,6,7,,42.9,56.0,65,75,0,1,0,56.0,1.0,20181010023713.0,11077.0
5,,,,,,,0,6,,28,22,,9,14,,2,2,,6,7,,42.9,56.0,65,75,0,1,0,47.0,1.0,20181010023721.0,11077.0
6,,,,,^,,0,6,29.0,28,22,,9,14,,2,2,,6,7,,42.9,56.0,67,75,0,1,0,48.0,1.0,20181010023723.0,11074^21077
7,,,,,,,0,6,29.0,28,22,,9,14,,2,2,,6,7,,42.9,56.0,67,75,0,1,0,48.0,1.0,20181010023723.0,21077.0
8,,,,,,,0,6,29.0,28,22,,9,14,,2,2,,6,7,,42.9,56.0,67,75,0,1,0,48.0,1.0,20181010023733.0,21077.0
9,,,,1.0,,,0,6,29.0,28,22,,9,14,,2,2,,6,7,,42.9,56.0,67,75,0,1,0,35.0,0.0,20181010023734.0,21077.0
10,,,,2.0,^,,0,6,30.0,28,22,,9,14,,2,2,,6,7,,42.9,56.0,69,75,0,1,0,35.0,0.0,20181010023737.0,11074^21077
11,,,,2.0,,,0,6,30.0,28,22,,9,14,,2,2,,6,7,,42.9,56.0,69,75,0,1,0,35.0,0.0,20181010023737.0,21077.0
12,,,,2.0,,,0,6,30.0,28,22,,9,14,,2,2,8.0,6,7,,42.9,56.0,69,75,0,1,0,35.0,0.0,20181010023749.0,21086.0
13,,,,2.0,1:1,,0,6,30.0,28,22,,9,14,,2,2,8.0,6,7,,42.9,56.0,69,75,0,1,0,35.0,0.0,20181010023751.0,11078.0
14,,,,2.0,1:1^,,0,6,30.0,28,22,10.0,9,14,,2,2,8.0,6,7,45.5,42.9,56.0,70,75,0,1,0,35.0,0.0,20181010023758.0,11079^21077
15,,,,2.0,,,0,6,30.0,28,22,10.0,9,14,,2,2,8.0,6,7,45.5,42.9,56.0,70,75,0,1,0,35.0,0.0,20181010023801.0,21077.0
16,44.0,5.0,,2.0,,,0,6,30.0,28,22,10.0,9,14,1.0,2,2,8.0,6,7,45.5,42.9,56.0,70,75,0,1,0,35.0,0.0,20181010023803.0,21081.0
17,,,,2.0,^,,0,6,30.0,28,22,10.0,9,14,1.0,2,2,8.0,6,7,45.5,42.9,56.0,70,75,0,1,0,35.0,0.0,20181010023937.0,21077^11077
18,,,,2.0,^,,0,6,30.0,28,22,10.0,9,14,1.0,2,2,8.0,6,7,45.5,42.9,56.0,70,75,0,1,0,35.0,1.0,20181010023950.0,21077^11077
19,,,,2.0,^,1.0,0,6,30.0,28,22,10.0,9,14,1.0,2,2,8.0,6,7,45.5,42.9,56.0,73,75,0,1,0,33.0,1.0,20181010023954.0,11075^21077
20,,,,2.0,,1.0,0,6,30.0,28,22,10.0,9,14,1.0,2,2,8.0,6,7,45.5,42.9,56.0,73,75,0,1,0,26.0,0.0,20181010023959.0,21077.0
21,,,,2.0,,1.0,0,6,30.0,28,22,10.0,9,14,1.0,2,2,8.0,6,7,45.5,42.9,56.0,73,75,0,1,0,26.0,0.0,20181010024003.0,21077.0
