,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,22.0,25.0,16.0,10.0,1,3,6.0,8.0,84.2,83.3,90,105,0,1,1.0,28.0,0,20181019134244,21078
1,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:2^2:2,10.0,15,22.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,90,106,0,1,1.0,28.0,0,20181019134302.0,21079^21078
2,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,22.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,90,106,0,1,1.0,28.0,1.0,20181019134302.0,11077.0
3,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,22.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,90,106,0,1,1.0,28.0,0.0,20181019134302.0,11077.0
4,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,22.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,90,106,0,1,1.0,28.0,1.0,20181019134321.0,11077.0
5,,-15.5,0.9090909090909091,15.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,10.0,15,23.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,92,107,0,1,1.0,22.0,1.0,20181019134327.0,11074^21077
6,,-15.5,0.9090909090909091,15.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,23.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,92,107,0,1,1.0,21.0,0.0,20181019134327.0,21077.0
7,,-15.5,0.9090909090909091,15.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,23.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,92,107,0,1,1.0,21.0,1.0,20181019134331.0,21077.0
8,,-15.5,0.9090909090909091,15.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,23.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,92,107,0,1,1.0,12.0,1.0,20181019134339.0,21077.0
9,,-15.5,0.9090909090909091,15.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,23.0,25.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,92,107,0,1,1.0,7.0,0.0,20181019134345.0,21077.0
10,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,10.0,15,23.0,26.0,16.0,11.0,1,3,6.0,8.0,84.2,84.6,92,109,0,1,1.0,7.0,0.0,20181019134347.0,21074^11077
