,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
10,,,,2.0,2.5,0.0,-2.5,0.0,,,,,,6,4,10.0,9,16,,22,13,,4,3,,5,9,,75.9,50.0,,60,57,0,1,1.0,23.0,1.0,20181113021220.0,21077.0
11,,,,2.0,2.5,0.0,-2.5,0.0,,,,,,6,4,10.0,9,16,,22,13,,4,3,,5,9,,75.9,50.0,,60,57,0,1,1.0,15.0,1.0,20181113021228.0,21077.0
12,,,,2.0,2.5,0.0,-2.5,0.0,,,,,,6,4,10.0,9,16,,22,13,,4,3,,5,9,,75.9,50.0,,60,57,0,1,1.0,9.0,0.0,20181113021233.0,21077.0
13,,,,2.0,2.5,0.0,-2.5,0.0,,,^,1.0,,6,4,10.0,9,16,,22,13,,4,3,6.0,5,9,,75.9,50.0,,60,57,0,1,1.0,9.0,0.0,20181113021235.0,11086^21077
14,,,,2.0,2.5,0.0,-2.5,0.0,,,1:2,1.0,,6,4,10.0,9,16,,22,13,,4,3,6.0,5,9,,75.9,50.0,,60,57,0,1,1.0,9.0,0.0,20181113021236.0,21078.0
15,,,,2.0,2.5,0.0,-2.5,0.0,,,1:2^2:2,1.0,,6,4,10.0,9,16,14.0,22,13,,4,3,6.0,5,9,51.9,75.9,50.0,,60,58,0,1,1.0,9.0,0.0,20181113021321.0,21079^21078
16,,,,2.0,1.5,0.0,-1.5,0.0,,,2:2^,1.0,,6,4,10.0,9,16,15.0,22,13,,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,1.0,9.0,0.0,20181113021337.0,21079^11077
17,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,1.0,9.0,0.0,20181113021337.0,11077.0
18,44.0,5.0,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,1.0,9.0,0.0,20181113021340.0,11081.0
19,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,1.0,9.0,0.0,20181113021531.0,11077.0
20,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,1.0,9.0,1.0,20181113021531.0,11077.0
21,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,1.0,0.0,1.0,20181113021540.0,11077.0
22,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,52.0,1.0,20181113021548.0,11077.0
23,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,43.0,1.0,20181113021556.0,11077.0
24,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,39.0,0.0,20181113021600.0,11077.0
25,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,39.0,0.0,20181113021603.0,21077.0
26,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,39.0,1.0,20181113021741.0,21077.0
27,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,30.0,1.0,20181113021750.0,21077.0
28,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,30.0,1.0,20181113021752.0,11077.0
29,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,28.0,0.0,20181113021752.0,11077.0
30,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,28.0,1.0,20181113021759.0,11077.0
31,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,19.0,1.0,20181113021807.0,11077.0
32,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,19.0,0.0,20181113021808.0,11077.0
33,44.0,5.0,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,3.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,19.0,0.0,20181113021810.0,11077.0
34,44.0,5.0,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,19.0,0.0,20181113021810.0,11081.0
35,44.0,5.0,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,19.0,1.0,20181113021810.0,11081.0
36,44.0,5.0,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,60,59,0,1,0.0,10.0,1.0,20181113021944.0,11081.0
37,44.0,5.0,,2.0,1.5,0.0,-1.5,0.0,,,^,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,6.0,1.0,20181113021948.0,11075^21077
38,44.0,5.0,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,5.0,0.0,20181113021949.0,21077.0
39,44.0,5.0,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,5.0,0.0,20181113021958.0,21081.0
40,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,5.0,0.0,20181113022155.0,21077.0
41,,,,2.0,1.5,0.0,-1.5,0.0,,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,5.0,1.0,20181113022156.0,21077.0
42,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,0.0,0.0,20181113022202.0,21077.0
43,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,0.0,0.0,20181113022207.0,21095.0
44,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,0.0,0.0,20181113022208.0,21095.0
45,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,0.0,0.0,20181113022211.0,21095.0
46,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,6.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,0.0,0.0,20181113022403.0,21095.0
47,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,^,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,61,0,1,0.0,0.0,0.0,20181113022437.0,11086^21077
48,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,^,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,62,0,1,0.0,0.0,0.0,20181113022437.0,11086^21077
49,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,62,0,1,0.0,0.0,1.0,20181113022437.0,11077.0
50,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,62,0,1,0.0,0.0,0.0,20181113022555.0,11077.0
