,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,4.0,6.5,0.9090909090909091,-6.5,0.7692307692307693,166.5,0.8,166.5,0.8695652173913043,,,,9.0,6,23.0,21.0,5,13.0,2,2,5.0,2.0,83.3,68.4,80.0,72.0,0,1,3.0,18.0,0,20180919185209,21079^21078,6.5,0.07142857142857142
1,4.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,,2:2^,,9.0,6,23.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,80.0,72.0,0,1,3.0,18.0,1.0,20180919185221.0,21080^11077,7.5,0.05
2,4.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,,,,9.0,6,23.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,80.0,72.0,0,1,3.0,17.0,1.0,20180919185222.0,11077.0,7.5,0.05
3,4.0,7.5,0.8695652173913043,-7.5,0.8,164.5,1.0,164.5,0.7142857142857143,,,,9.0,6,23.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,80.0,72.0,0,1,3.0,9.0,1.0,20180919185231.0,11077.0,7.5,0.05
4,4.0,7.5,0.8695652173913043,-7.5,0.8,164.5,0.8333333333333334,164.5,0.8333333333333334,,,,9.0,6,23.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,80.0,72.0,0,1,3.0,1.0,1.0,20180919185239.0,11077.0,7.75,0.044444444444444446
5,4.0,8.5,0.8695652173913043,-8.5,0.8,164.5,0.8333333333333334,164.5,0.8333333333333334,5.0,^,,9.0,6,24.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,82.0,72.0,0,1,2.0,58.0,1.0,20180919185244.0,11074^21077,9.5,0.025
6,4.0,8.5,0.8695652173913043,-8.5,0.8,164.5,0.8333333333333334,164.5,0.8333333333333334,5.0,,,9.0,6,24.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,82.0,72.0,0,1,2.0,55.0,1.0,20180919185245.0,21077.0,9.5,0.025
7,4.0,9.5,0.8695652173913043,-9.5,0.8,164.5,0.8333333333333334,164.5,0.8333333333333334,5.0,,,9.0,6,24.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,83.0,72.0,0,1,2.0,51.0,1.0,20180919185250.0,21077.0,12.0,0.0125
8,4.0,9.5,0.9090909090909091,-9.5,0.7692307692307693,164.5,0.8333333333333334,164.5,0.8333333333333334,5.0,,,9.0,6,24.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,83.0,72.0,0,1,2.0,44.0,1.0,20180919185258.0,21077.0,13.0,0.011111111111111112
9,4.0,9.5,0.9090909090909091,-9.5,0.7692307692307693,164.5,0.8333333333333334,164.5,0.8333333333333334,5.0,,,9.0,6,24.0,21.0,5,13.0,2,2,5.0,2.0,83.3,65.0,83.0,72.0,0,1,2.0,35.0,1.0,20180919185306.0,21077.0,14.0,0.01
