,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,6,7,,14,24,18,14,-1,3,2,4,85.7,87.5,,64,83,0,1,0,48.0,0,20180919184249,21077
1,,,6,7,,14,24,18,14,-1,3,2,4,85.7,87.5,,64,83,0,1,0,48.0,1.0,20180919184315.0,21077
2,,,6,7,,14,24,18,14,-1,3,2,4,85.7,87.5,,64,83,0,1,0,39.0,1.0,20180919184324.0,11077.0
3,,,6,7,,14,24,18,14,-1,3,2,4,85.7,87.5,,64,83,0,1,0,34.0,1.0,20180919184331.0,11077.0
4,,,6,7,,14,24,18,14,-1,3,2,4,85.7,87.5,,64,83,0,1,0,28.0,1.0,20180919184336.0,21077.0
5,,,6,7,,14,24,18,14,-1,3,2,4,85.7,87.5,,64,83,0,1,0,19.0,1.0,20180919184345.0,21077.0
6,,,6,7,,14,24,18,14,-1,3,2,4,85.7,87.5,,64,83,0,1,0,16.0,1.0,20180919184348.0,21077.0
7,,,6,7,,14,24,18,14,-1,3,2,4,85.7,87.5,,64,83,0,1,0,7.0,1.0,20180919184357.0,21077.0
8,,^,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,4.0,1.0,20180919184401.0,21074^11077
9,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,3.0,1.0,20180919184401.0,11077.0
10,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184405.0,11077.0
11,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184421.0,11077.0
12,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,11077.0
13,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
14,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
15,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
16,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
17,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
18,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
19,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
20,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
21,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
22,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
23,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
24,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
25,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
26,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
27,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
28,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
29,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
30,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
31,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
32,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
33,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
34,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
35,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
36,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
37,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
38,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
39,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
40,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
41,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
42,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
43,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
44,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
45,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
46,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
47,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
48,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
49,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
50,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
51,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
52,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
53,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
54,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
55,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
56,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
57,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
58,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
59,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
60,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
61,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
62,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
63,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
64,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
65,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
66,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
67,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
68,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
69,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
70,,,6,7,25.0,14,24,18,14,-1,3,2,4,85.7,87.5,85.0,64,85,0,1,0,0.0,0.0,20180919184422.0,1084.0
