,AM,AS,ED,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
22,,,,1:2,,11.0,5,10,,36,25,,14,11,-1.0,0,-2,4.0,7,3,,73.7,52.4,101,94,0,1,0,21.0,0.0,20181017113308.0,11078.0
23,,,,^1:2,1.0,11.0,5,10,,36,25,,14,11,-1.0,0,-2,5.0,7,3,,73.7,52.4,101,94,0,1,0,21.0,0.0,20181017113309.0,21086^11078
24,,,,1:2^2:2,1.0,11.0,5,10,,36,25,15.0,14,11,-1.0,0,-2,5.0,7,3,75.0,73.7,52.4,102,94,0,1,0,21.0,0.0,20181017113322.0,11079^11078
25,,,,2:2^,1.0,11.0,5,10,,36,25,15.0,14,11,-1.0,0,-2,5.0,7,3,71.4,73.7,52.4,102,94,0,1,0,21.0,1.0,20181017113334.0,11080^21077
26,,,,2:2^,1.0,11.0,5,10,,36,25,15.0,14,11,-1.0,0,-2,5.0,7,3,71.4,73.7,52.4,102,94,0,1,0,21.0,1.0,20181017113336.0,11080^21077
27,,,,,1.0,11.0,5,10,,36,25,15.0,14,11,-1.0,0,-2,5.0,7,3,71.4,73.7,52.4,102,94,0,1,0,21.0,1.0,20181017113337.0,11077.0
28,,,,^,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-1.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,20.0,1.0,20181017113337.0,11074^21077
29,,,,^,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-1.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,19.0,0.0,20181017113338.0,11074^21077
30,,,,^,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-1.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,19.0,0.0,20181017113352.0,11074^21077
31,44.0,5.0,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-1.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,19.0,0.0,20181017113354.0,21081.0
32,44.0,5.0,,^,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,19.0,0.0,20181017113401.0,21077^21081
33,,,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,19.0,1.0,20181017113432.0,21077.0
34,,,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,19.0,1.0,20181017113433.0,21077.0
35,,,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,11.0,1.0,20181017113441.0,11077.0
36,,,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,2.0,1.0,20181017113449.0,11077.0
37,,,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,0.0,0.0,20181017113453.0,11077.0
38,,,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,0.0,0.0,20181017113453.0,1084.0
39,,,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,0.0,0.0,20181017113458.0,1084.0
40,,,,,1.0,11.0,5,10,37.0,36,25,15.0,14,11,-3.0,0,-2,5.0,7,3,71.4,73.7,52.4,104,94,0,1,0,0.0,0.0,20181017113458.0,1084.0
