,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-8.5,0.0,8.5,0.0,,,10,5,,17,25,,8,15,,0,4,,7,6,,53.3,78.9,,72,80,0,1,1.0,3.0,0,20180919184604,21078
1,,,4.0,-9.5,0.0,9.5,0.0,1.0,1:2^2:2,10,5,,17,25,16.0,8,15,,0,4,,7,6,80.0,53.3,78.9,81.0,72,81,0,1,1.0,3.0,0,20180919184626.0,21079^21078
2,,,4.0,-9.5,0.0,9.5,0.0,1.0,2:2^,10,5,,17,25,17.0,8,15,,0,4,,7,6,81.0,53.3,78.9,82.0,72,82,0,1,1.0,3.0,0,20180919184636.0,21079^11077
3,,,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,17.0,8,15,,0,4,,7,6,81.0,53.3,78.9,82.0,72,82,0,1,1.0,3.0,1.0,20180919184637.0,11077.0
4,,,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,17.0,8,15,,0,4,,7,6,81.0,53.3,78.9,82.0,72,82,0,1,1.0,2.0,0.0,20180919184637.0,11077.0
5,44.0,5.0,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,17.0,8,15,3.0,0,4,,7,6,81.0,53.3,78.9,82.0,72,82,0,1,1.0,2.0,0.0,20180919184649.0,21081.0
6,,,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,17.0,8,15,3.0,0,4,,7,6,81.0,53.3,78.9,82.0,72,82,0,1,1.0,2.0,0.0,20180919184826.0,11077.0
7,,,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,17.0,8,15,3.0,0,4,,7,6,81.0,53.3,78.9,82.0,72,82,0,1,1.0,2.0,1.0,20180919184827.0,11077.0
8,,,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,17.0,8,15,3.0,0,4,,7,6,81.0,53.3,78.9,82.0,72,82,0,1,0.0,57.0,0.0,20180919184832.0,11077.0
9,,,4.0,-9.5,0.0,9.5,0.0,1.0,^,10,5,,17,25,17.0,8,15,3.0,0,4,7.0,7,6,81.0,53.3,78.9,82.0,72,82,0,1,0.0,57.0,0.0,20180919184834.0,21086^11077
10,,,4.0,-8.5,0.0,8.5,0.0,1.0,1:2,10,5,,17,25,17.0,8,15,3.0,0,4,7.0,7,6,81.0,53.3,78.9,82.0,72,82,0,1,0.0,57.0,0.0,20180919184835.0,11078.0
11,,,4.0,-9.5,0.0,9.5,0.0,1.0,1:2^2:2,10,5,,17,25,17.0,8,15,3.0,0,4,7.0,7,6,50.0,53.3,78.9,82.0,72,82,0,1,0.0,57.0,0.0,20180919184856.0,11080^11078
12,,,4.0,-9.5,0.0,9.5,0.0,1.0,2:2^,10,5,,17,25,9.0,8,15,3.0,0,4,7.0,7,6,52.9,53.3,78.9,73.0,73,82,0,1,0.0,57.0,0.0,20180919184913.0,11079^21077
13,,,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,9.0,8,15,3.0,0,4,7.0,7,6,52.9,53.3,78.9,73.0,73,82,0,1,0.0,57.0,1.0,20180919184913.0,21077.0
14,,,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,9.0,8,15,3.0,0,4,7.0,7,6,52.9,53.3,78.9,73.0,73,82,0,1,0.0,53.0,0.0,20180919184916.0,21077.0
15,,,4.0,-9.5,0.0,9.5,0.0,1.0,,10,5,,17,25,9.0,8,15,3.0,0,4,7.0,7,6,52.9,53.3,78.9,73.0,73,82,0,1,0.0,53.0,1.0,20180919184922.0,21077.0
16,,,4.0,-10.5,0.0,10.5,0.0,1.0,^,10,5,26.0,17,25,9.0,8,15,3.0,0,4,7.0,7,6,52.9,53.3,78.9,84.0,73,84,0,1,0.0,45.0,1.0,20180919184930.0,21074^11077
17,,,4.0,-10.5,0.0,10.5,0.0,1.0,,10,5,26.0,17,25,9.0,8,15,3.0,0,4,7.0,7,6,52.9,53.3,78.9,84.0,73,84,0,1,0.0,36.0,1.0,20180919184939.0,11077.0
