,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,119.5,0.8695652173913043,119.5,0.8,,,,,,0,1,10.0,0.0,0,20181017122558,01082,5.75,0.09090909090909091
1,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,119.5,0.8695652173913043,119.5,0.8,20.0,,^,,,0,1,10.0,0.0,1.0,20181017122809.0,01090^21077,5.75,0.09090909090909091
2,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,119.5,0.8333333333333334,119.5,0.8333333333333334,20.0,,,,,0,1,9.0,58.0,1.0,20181017122811.0,11077.0,5.75,0.09090909090909091
3,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,119.5,0.7692307692307693,119.5,0.9090909090909091,20.0,,,,,0,1,9.0,49.0,1.0,20181017122819.0,11077.0,5.75,0.09090909090909091
4,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,118.5,0.8333333333333334,118.5,0.8333333333333334,20.0,,,,,0,1,9.0,41.0,1.0,20181017122828.0,11077.0,5.75,0.09090909090909091
5,,,4.0,8.5,0.8,-8.5,0.8695652173913043,118.5,0.7692307692307693,118.5,0.9090909090909091,20.0,,,,,0,1,9.0,36.0,1.0,20181017122832.0,21077.0,5.75,0.09090909090909091
6,,,4.0,8.5,0.8,-8.5,0.8695652173913043,117.5,0.8333333333333334,117.5,0.8333333333333334,20.0,,,,,0,1,9.0,27.0,1.0,20181017122841.0,21077.0,5.75,0.09090909090909091
7,,,4.0,8.5,0.8,-8.5,0.8695652173913043,116.5,0.9090909090909091,116.5,0.7692307692307693,20.0,,,,,0,1,9.0,19.0,1.0,20181017122849.0,21077.0,5.75,0.09090909090909091
8,,,4.0,8.5,0.8,-8.5,0.8695652173913043,116.5,0.9090909090909091,116.5,0.7692307692307693,20.0,0.18181818181818182,^,44.0,40.0,0,1,9.0,19.0,1.0,20181017122850.0,21075^11077,5.75,0.09090909090909091
9,,,4.0,8.5,0.8,-8.5,0.8695652173913043,116.5,0.7692307692307693,116.5,0.9090909090909091,20.0,0.18181818181818182,,44.0,40.0,0,1,9.0,15.0,1.0,20181017122854.0,11077.0,5.75,0.09090909090909091
10,,,4.0,8.5,0.8,-8.5,0.8695652173913043,119.5,0.8333333333333334,119.5,0.8333333333333334,20.0,0.18181818181818182,,44.0,40.0,0,1,9.0,6.0,1.0,20181017122902.0,11077.0,5.75,0.09090909090909091
11,,,4.0,8.5,0.8,-8.5,0.8695652173913043,118.5,0.9090909090909091,118.5,0.7692307692307693,20.0,0.18181818181818182,,44.0,40.0,0,1,8.0,58.0,1.0,20181017122911.0,11077.0,5.75,0.09090909090909091
12,,,4.0,8.5,0.8,-8.5,0.8695652173913043,118.5,0.8333333333333334,118.5,0.8333333333333334,20.0,0.18181818181818182,,44.0,40.0,0,1,8.0,54.0,1.0,20181017122915.0,11077.0,5.75,0.09090909090909091
