,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,第4节,-11.5,0.91,11.5,0.77,,,,0,1,2.0,34.0,0,,11081
1,第4节,-11.5,0.91,11.5,0.77,,,,0,1,2.0,20.0,0,,11081
2,第4节,-11.5,0.91,12.5,0.77,12.5,,,0,1,2.0,20.0,0,,21077.0
3,第4节,-12.5,0.91,12.5,0.77,-12.5,,,0,1,2.0,20.0,0,,21074.0
4,第4节,-12.5,0.91,12.5,0.77,-12.5,67.0,54.0,0,1,2.0,20.0,0,,11077.0
5,第4节,-12.5,0.91,13.5,0.77,13.5,67.0,54.0,0,1,2.0,20.0,0,,11077.0
6,第4节,-13.5,0.91,13.5,0.77,-13.5,67.0,54.0,0,1,2.0,12.0,0,,11077.0
7,第4节,-13.5,0.91,13.5,0.77,-13.5,67.0,54.0,0,1,1.0,12.0,0,,21077.0
8,第4节,-13.5,0.91,13.5,0.77,-13.5,67.0,54.0,0,1,1.0,54.0,0,,21077.0
9,第4节,-13.5,1.0,14.5,0.71,14.5,67.0,54.0,0,1,1.0,54.0,0,,21077.0
10,第4节,-14.5,1.0,14.5,0.71,-14.5,67.0,54.0,0,1,1.0,35.0,0,,21077.0
11,第4节,-14.5,0.71,12.5,1.0,12.5,67.0,54.0,0,1,1.0,35.0,0,,11077.0
12,第4节,-12.5,0.71,12.5,1.0,-12.5,67.0,54.0,0,1,1.0,23.0,0,,11077.0
13,第4节,-12.5,0.71,13.5,1.0,13.5,67.0,54.0,0,1,1.0,23.0,0,,21077.0
14,第4节,-13.5,0.71,13.5,0.91,-13.5,67.0,54.0,0,1,1.0,23.0,0,,11077.0
15,第4节,-13.5,0.77,12.5,0.91,12.5,67.0,54.0,0,1,1.0,23.0,0,,11077.0
16,第4节,-12.5,0.77,12.5,0.91,-12.5,67.0,54.0,0,1,0.0,59.0,0,,11077.0
17,第4节,-12.5,0.77,13.5,0.91,13.5,67.0,54.0,0,1,0.0,59.0,0,,11077.0
18,第4节,-13.5,0.77,13.5,0.91,-13.5,67.0,54.0,0,1,0.0,55.0,0,,21077.0
19,第4节,-13.5,0.77,13.5,0.91,-13.5,67.0,54.0,0,1,0.0,55.0,0,,11077.0
20,第4节,-13.5,0.77,13.5,0.91,-13.5,67.0,54.0,0,1,0.0,41.0,0,,11077.0
21,第4节,-13.5,0.77,12.5,0.91,12.5,67.0,54.0,0,1,0.0,41.0,0,,11077.0
22,第4节,-12.5,0.77,12.5,0.91,-12.5,67.0,54.0,0,1,0.0,41.0,0,,11077.0
23,第4节,-12.5,0.77,13.5,0.91,13.5,67.0,54.0,0,1,0.0,41.0,0,,11077.0
24,第4节,-13.5,0.77,13.5,0.91,-13.5,67.0,54.0,0,1,0.0,36.0,0,,11077.0
25,第4节,-13.5,0.77,13.5,0.91,-13.5,67.0,54.0,0,1,0.0,36.0,0,,21077.0
26,第4节,-13.5,0.77,13.5,0.91,-13.5,67.0,54.0,0,1,0.0,0.0,0,,1084.0
27,第4节,-13.5,0.77,13.5,0.91,-13.5,67.0,54.0,0,1,0.0,0.0,0,,1084.0
