,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
18,,,,,-39.5,0.8333333333333334,39.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,14.0,,,,0.0,1.0,1.0,3.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,11,0,1,5.0,56.0,0.0,20180916153904.0,11077.0
19,,,,,-39.5,0.8333333333333334,39.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,14.0,,,,0.0,1.0,1.0,3.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,11,0,1,5.0,56.0,1.0,20180916153926.0,11077.0
20,,,,,-39.5,0.8695652173913043,39.5,0.8,139.5,0.8333333333333334,139.5,0.8333333333333334,,14.0,,,,0.0,1.0,1.0,3.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,11,0,1,5.0,50.0,0.0,20180916153932.0,11077.0
21,,,,,-39.5,0.8695652173913043,39.5,0.8,139.5,0.8333333333333334,139.5,0.8333333333333334,,14.0,,,,0.0,1.0,1.0,3.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,11,0,1,5.0,50.0,0.0,20180916153934.0,11077.0
22,,,,,-39.5,0.8695652173913043,39.5,0.8,139.5,0.8333333333333334,139.5,0.8333333333333334,,14.0,,,,0.0,1.0,1.0,3.0,0.0,2.0,5.0,5,4.0,3.0,0.0,50.0,2,11,0,1,5.0,50.0,0.0,20180916153936.0,11077.0
23,,,,,-37.5,0.8,37.5,0.8695652173913043,139.5,0.8695652173913043,139.5,0.8,,14.0,1:2^2:2,,,0.0,1.0,1.0,3.0,1.0,2.0,5.0,5,4.0,3.0,100.0,50.0,3,11,0,1,5.0,50.0,0.0,20180916154009.0,11079^11078
24,,,,,-37.5,0.8333333333333334,37.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,17.0,2:2,,,0.0,1.0,1.0,3.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,11,0,1,5.0,50.0,0.0,20180916154023.0,11079.0
25,,,,,-37.5,0.8333333333333334,37.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,14.0,,,,0.0,1.0,1.0,3.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,11,0,1,5.0,50.0,1.0,20180916154025.0,21077.0
26,,,,,-37.5,0.8333333333333334,37.5,0.8333333333333334,141.5,0.8,141.5,0.8695652173913043,,14.0,,,,0.0,1.0,1.0,3.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,11,0,1,5.0,41.0,1.0,20180916154033.0,21077.0
27,,,,,-37.5,0.8333333333333334,37.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.8333333333333334,,17.0,,,,0.0,1.0,1.0,3.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,11,0,1,5.0,37.0,1.0,20180916154037.0,11077.0
28,,,,,-37.5,0.8695652173913043,37.5,0.8,140.5,0.8,140.5,0.8695652173913043,,17.0,,,,0.0,1.0,1.0,3.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,11,0,1,5.0,28.0,1.0,20180916154045.0,11077.0
29,,,,,-37.5,0.8333333333333334,37.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,15.0,,,,0.0,1.0,1.0,3.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,11,0,1,5.0,25.0,1.0,20180916154049.0,21077.0
30,,,,,-38.5,0.8,38.5,0.8695652173913043,142.5,0.8,142.5,0.8695652173913043,,13.0,,,,0.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,13,0,1,5.0,21.0,1.0,20180916154053.0,21074.0
31,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,13.0,,,,0.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,13,0,1,5.0,16.0,1.0,20180916154058.0,11077.0
32,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,141.5,0.8,141.5,0.8695652173913043,,13.0,,,,0.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,13,0,1,5.0,7.0,1.0,20180916154106.0,11077.0
33,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.8333333333333334,,13.0,,,,0.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,4,13,0,1,4.0,59.0,1.0,20180916154115.0,11077.0
34,,,,,-35.5,0.8333333333333334,35.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,17.0,,,,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,13,0,1,4.0,54.0,1.0,20180916154120.0,11075.0
35,,,,,-35.5,0.8,35.5,0.8695652173913043,143.5,0.8333333333333334,143.5,0.8333333333333334,,17.0,,,,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,13,0,1,4.0,48.0,1.0,20180916154127.0,21077.0
36,,,,,-35.5,0.8333333333333334,35.5,0.8333333333333334,143.5,0.8,143.5,0.8695652173913043,,17.0,,,,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5,4.0,3.0,100.0,50.0,7,13,0,1,4.0,44.0,1.0,20180916154130.0,11077.0
