,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
12,,第3节,31.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,6.0,5.0,20.0,10.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,63.0,43.0,0.0,1,7.0,23.0,0,,11074.0
13,,第3节,31.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,6.0,5.0,20.0,10.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,43.0,63.0,0.0,1,7.0,23.0,0,,21077.0
14,,第3节,31.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,6.0,5.0,20.0,10.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,43.0,63.0,0.0,1,7.0,20.0,0,,21077.0
15,,第3节,31.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,6.0,5.0,20.0,10.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,43.0,63.0,0.0,1,7.0,20.0,0,,21077.0
16,,第3节,31.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,6.0,5.0,20.0,10.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,43.0,63.0,0.0,1,7.0,9.0,0,,21077.0
17,,第3节,31.5,0.83,-30.5,0.83,182.5,0.83,182.5,0.83,-30.5,,,,6.0,5.0,20.0,10.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,43.0,63.0,0.0,1,7.0,9.0,0,,21077.0
18,,第3节,30.5,0.83,-30.5,0.83,182.5,0.83,183.5,0.83,30.5,,,,6.0,5.0,20.0,10.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,43.0,63.0,0.0,1,7.0,9.0,0,,21077.0
19,,第3节,30.5,0.83,-30.5,0.83,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,20.0,10.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,43.0,63.0,0.0,1,7.0,9.0,0,,21077.0
20,,第3节,30.5,0.83,-30.5,0.83,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,20.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,43.0,45.0,0.0,1,7.0,9.0,0,,21074.0
21,,第3节,30.5,0.83,-30.5,0.83,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,20.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,45.0,63.0,0.0,1,7.0,9.0,0,,11077.0
22,,第3节,30.5,0.83,-30.5,0.83,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,20.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,45.0,63.0,0.0,1,7.0,5.0,0,,11077.0
23,,第3节,30.5,0.83,-30.5,0.83,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,65.0,63.0,0.0,1,7.0,5.0,0,,11074.0
24,,第3节,30.5,0.8,-31.5,0.87,183.5,0.83,183.5,0.83,-31.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,65.0,63.0,0.0,1,7.0,5.0,0,,21077.0
25,,第3节,31.5,0.8,-31.5,0.87,183.5,0.83,184.5,0.83,31.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,65.0,63.0,0.0,1,7.0,5.0,0,,21077.0
26,,第3节,31.5,0.8,-31.5,0.87,184.5,0.83,184.5,0.83,184.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,65.0,63.0,0.0,1,7.0,5.0,0,,21077.0
27,,第3节,31.5,0.8,-31.5,0.87,184.5,0.83,184.5,0.83,184.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,48.0,0,,21077.0
28,,第3节,31.5,0.8,-31.5,0.87,184.5,0.83,184.5,0.83,184.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,48.0,0,,21077.0
29,,第3节,31.5,0.8,-31.5,0.87,184.5,0.83,184.5,0.83,184.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,44.0,0,,21077.0
30,,第3节,31.5,0.8,-31.5,0.87,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,44.0,0,,21077.0
31,,第3节,31.5,0.8,-31.5,0.87,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,35.0,0,,21077.0
32,,第3节,31.5,0.83,-30.5,0.83,183.5,0.83,183.5,0.83,-30.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,2.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,35.0,0,,21077.0
33,,第3节,30.5,0.83,-30.5,0.83,183.5,0.83,183.5,0.83,30.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,35.0,0,,11086.0
34,,第3节,30.5,0.83,-30.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,35.0,0,,21077.0
35,,第3节,30.5,0.83,-30.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,35.0,0,,21077.0
36,,第3节,30.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,-31.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,35.0,0,,21077.0
37,,第3节,31.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,31.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,27.0,0,,21077.0
38,,第3节,31.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,31.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,27.0,0,,11077.0
39,,第3节,31.5,0.83,-31.5,0.83,182.5,0.83,182.5,0.83,31.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,17.0,0,,11077.0
40,,第3节,31.5,0.8,-32.5,0.87,182.5,0.83,182.5,0.83,-32.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,17.0,0,,11077.0
41,,第3节,32.5,0.8,-32.5,0.87,182.5,0.83,184.5,0.83,32.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,17.0,0,,11077.0
42,,第3节,32.5,0.8,-32.5,0.87,184.5,0.83,184.5,0.83,184.5,,,,6.0,5.0,21.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,65.0,0.0,1,6.0,17.0,0,,11077.0
43,,第3节,32.5,0.8,-32.5,0.87,184.5,0.83,184.5,0.83,184.5,,,,6.0,5.0,22.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,67.0,65.0,0.0,1,6.0,17.0,0,,11074.0
44,,第3节,32.5,0.8,-32.5,0.87,184.5,0.83,184.5,0.83,184.5,,,,6.0,5.0,22.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,67.0,0.0,1,6.0,17.0,0,,21077.0
45,,第3节,32.5,0.8,-32.5,0.87,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,22.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,67.0,0.0,1,6.0,17.0,0,,21077.0
46,,第3节,32.5,0.8,-32.5,0.87,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,22.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,67.0,0.0,1,6.0,13.0,0,,21077.0
47,,第3节,32.5,0.8,-32.5,0.87,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,22.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,67.0,0.0,1,6.0,13.0,0,,21077.0
48,,第3节,32.5,0.8,-32.5,0.87,183.5,0.83,183.5,0.83,183.5,,,,6.0,5.0,22.0,11.0,5.0,8.0,5,1,3.0,1.0,62.5,47.1,45.0,67.0,0.0,1,6.0,9.0,0,,21077.0
49,,第3节,32.5,0.8,-32.5,0.87,183.5,0.83,183.5,0.83,183.5,,,1.0,6.0,5.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,45.0,67.0,0.0,1,6.0,9.0,0,,11086.0
50,,第3节,32.5,0.8,-31.5,0.87,183.5,0.83,183.5,0.83,-31.5,,,1.0,6.0,5.0,22.0,11.0,5.0,8.0,5,1,4.0,1.0,62.5,47.1,45.0,67.0,0.0,1,6.0,9.0,0,,21077.0
