,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
18,44.0,5.0,4.0,-24.5,0.8695652173913043,24.5,0.8,180.5,0.8695652173913043,180.5,0.8,,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,18.0,0.0,20181018020729.0,11081.0
19,,,4.0,-24.5,0.8695652173913043,24.5,0.8,180.5,0.8695652173913043,180.5,0.8,,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,18.0,1.0,20181018021016.0,11077.0
20,,,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,180.5,0.8695652173913043,180.5,0.8,,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,9.0,1.0,20181018021025.0,11077.0
21,,,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,180.5,0.7692307692307693,180.5,0.9090909090909091,,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,1.0,1.0,20181018021033.0,11077.0
22,,,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,180.5,0.7692307692307693,180.5,0.9090909090909091,9.0,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,0.0,0.0,20181018021034.0,11077.0
23,,,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,180.5,0.7692307692307693,180.5,0.9090909090909091,9.0,^,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,0.0,0.0,20181018021047.0,11086^21077
24,,,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,180.5,0.7692307692307693,180.5,0.9090909090909091,9.0,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,0.0,1.0,20181018021052.0,21077.0
25,,,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,179.5,0.8333333333333334,179.5,0.8333333333333334,9.0,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,5.0,51.0,1.0,20181018021100.0,21077.0
26,,,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,179.5,0.7692307692307693,179.5,0.9090909090909091,9.0,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,5.0,45.0,1.0,20181018021107.0,21094.0
27,,,4.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,179.5,0.7142857142857143,179.5,1.0,9.0,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,5.0,43.0,1.0,20181018021109.0,21077.0
28,,,4.0,-25.5,0.8,25.5,0.8695652173913043,178.5,0.8333333333333334,178.5,0.8333333333333334,9.0,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,5.0,34.0,1.0,20181018021117.0,11077.0
29,,,4.0,-25.5,0.8,25.5,0.8695652173913043,178.5,0.7692307692307693,178.5,0.9090909090909091,9.0,,,8.0,8.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,5.0,30.0,1.0,20181018021122.0,11095.0
30,,,4.0,-26.5,0.8,26.5,0.8695652173913043,178.5,0.7692307692307693,178.5,0.9090909090909091,9.0,^,,8.0,9.0,13.0,31.0,13.0,5.0,-2.0,3,0.0,2.0,76.5,45.5,64,88,0,1,5.0,30.0,1.0,20181018021122.0,21077.0
