,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,8.5,0.0,-8.5,0.0,,,9,3,,24,23,,10,21,1,0,,7,4,,55.6,77.8,85,76,0,1,1.0,27.0,1,20181103021859,21077
1,4.0,8.5,0.0,-8.5,0.0,,,9,3,24.0,24,23,,10,21,1,0,,7,4,,55.6,77.8,85,76,0,1,1.0,27.0,1,20181103021859,11077.0
2,4.0,8.5,0.0,-8.5,0.0,,,9,3,24.0,24,23,,10,21,1,0,,7,4,,55.6,77.8,85,76,0,1,1.0,19.0,1,20181103021909.0,11077.0
3,4.0,8.5,0.0,-8.5,0.0,,^,9,3,25.0,24,23,,10,21,1,0,,7,4,,55.6,77.8,87,78,0,1,1.0,18.0,1,20181103021910.0,11074^21077
4,4.0,8.5,0.0,-8.5,0.0,,,9,3,25.0,24,23,,10,21,1,0,,7,4,,55.6,77.8,87,78,0,1,1.0,8.0,1,20181103021910.0,21077.0
5,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,,10,21,1,0,,7,4,,55.6,77.8,87,78,0,1,1.0,7.0,1,20181103021920.0,11077.0
6,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,,10,21,1,0,,7,4,,55.6,77.8,87,78,0,1,1.0,5.0,0.0,20181103021921.0,11077.0
7,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,,10,21,1,0,,7,4,,55.6,77.8,87,78,0,1,1.0,5.0,0.0,20181103021925.0,11077.0
8,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,,10,21,1,0,,7,4,,55.6,77.8,87,78,0,1,1.0,5.0,0.0,20181103021926.0,11077.0
9,4.0,9.5,0.0,-9.5,0.0,1.0,,9,3,25.0,24,23,,10,21,1,0,5.0,7,4,,55.6,77.8,87,78,0,1,1.0,5.0,0.0,20181103021929.0,21086.0
10,4.0,9.5,0.0,-9.5,0.0,1.0,1:2,9,3,25.0,24,23,,10,21,1,0,5.0,7,4,,55.6,77.8,87,78,0,1,1.0,5.0,0.0,20181103021931.0,11078.0
