,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
19,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,38.0,0,,21077.0,1.2,0.63
20,,,,第1节,-1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,-1.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,38.0,0,,21077.0,1.2,0.63
21,,,,第1节,1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,1.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,38.0,0,,21077.0,1.2,0.63
22,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,38.0,0,,21077.0,1.2,0.63
23,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,38.0,0,,21074.0,1.2,0.63
24,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,27.0,0,,11077.0,1.2,0.63
25,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,27.0,0,,11077.0,1.2,0.63
26,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.71,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,27.0,0,,11077.0,1.2,0.63
27,,,,第1节,156.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,156.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,27.0,0,,11077.0,1.2,0.63
28,,,,第1节,156.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,156.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,18.0,0,,11077.0,1.2,0.63
29,,,,第1节,156.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,156.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,18.0,0,,11077.0,1.2,0.63
30,,,,第1节,156.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,156.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,9.0,0,,11077.0,1.2,0.63
31,,,,第1节,156.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,156.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,9.0,0,,21086.0,1.2,0.63
32,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,9.0,0,,11077.0,1.2,0.63
33,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,5.0,0,,21077.0,1.2,0.63
34,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,0.77,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,5.0,0,,21077.0,1.2,0.63
35,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,5.0,0,,11077.0,1.2,0.63
36,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,0.71,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,5.0,0,,11077.0,1.2,0.63
37,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,9.0,GD,0.0,0,,11077.0,1.2,0.63
38,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,8.0,GD,0.0,0,,11077.0,1.2,0.63
39,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,8.0,GD,58.0,0,,11077.0,1.2,0.63
40,,,,第1节,154.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,154.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,8.0,GD,58.0,0,,21077.0,1.2,0.63
41,,,,第1节,154.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,154.5,1.0,0.77,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,8.0,GD,58.0,0,,21077.0,1.2,0.63
42,,,,第1节,154.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,154.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
43,,,,第1节,154.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,154.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,11086.0,1.2,0.63
44,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
45,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,1.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
46,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,1.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
47,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,1.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
48,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,1.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
49,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,1.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
50,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,1.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
51,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
52,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
53,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
54,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
55,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
56,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21075.0,1.2,0.63
57,,,,第1节,153.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,153.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,26.0,0,,11077.0,1.2,0.63
58,,,,第1节,1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,1.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,26.0,0,,11077.0,1.2,0.63
59,,,,第1节,-1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,-1.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,26.0,0,,11077.0,1.2,0.63
60,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,26.0,0,,11077.0,1.2,0.63
61,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,26.0,0,,11077.0,1.2,0.63
62,,,,第1节,155.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,155.5,1.0,0.71,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,18.0,0,,11077.0,1.2,0.63
63,,,,第1节,-1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,-1.5,1.0,0.71,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,18.0,0,,11077.0,1.2,0.63
64,,,,第1节,1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,1.5,1.0,0.71,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,18.0,0,,11077.0,1.2,0.63
65,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.71,,,0.0,0.0,0.0,5.0,1.0,0.0,,5.0,0.0,0.0,1,8.0,GD,18.0,0,,11077.0,1.2,0.63
66,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.71,,,0.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,0.0,0.0,1,8.0,GD,8.0,0,,11077.0,1.2,0.63
67,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.71,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,0.0,0.0,1,8.0,GD,8.0,0,,11075.0,1.2,0.63
68,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.71,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,3.0,0.0,1,8.0,GD,8.0,0,,21077.0,1.2,0.63
69,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.77,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,3.0,0.0,1,8.0,GD,8.0,0,,21077.0,1.2,0.63
70,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.91,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,3.0,0.0,1,8.0,GD,8.0,0,,21077.0,1.2,0.63
71,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.91,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,3.0,0.0,1,7.0,GD,58.0,0,,21077.0,1.2,0.63
72,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.91,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,3.0,0.0,1,7.0,GD,58.0,0,,21074.0,1.2,0.63
73,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.91,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,58.0,0,,11077.0,1.2,0.63
74,,,,第1节,1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,1.5,1.0,0.8,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,58.0,0,,11077.0,1.2,0.63
75,,,,第1节,-1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,-1.5,1.0,0.87,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,58.0,0,,11077.0,1.2,0.63
76,,,,第1节,159.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,159.5,1.0,0.87,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,58.0,0,,11077.0,1.2,0.63
77,,,,第1节,159.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,159.5,1.0,0.87,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,58.0,0,,11077.0,1.2,0.63
78,,,,第1节,159.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,159.5,1.0,0.8,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,49.0,0,,11077.0,1.2,0.63
79,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.8,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,49.0,0,,11077.0,1.2,0.63
80,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.8,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,44.0,0,,11077.0,1.2,0.63
81,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.8,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,44.0,0,,21077.0,1.2,0.63
82,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.8,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,28.0,0,,21077.0,1.2,0.63
83,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.8,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,28.0,0,,21077.0,1.2,0.63
84,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.91,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,28.0,0,,21077.0,1.2,0.63
85,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.77,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,7.0,3.0,0.0,1,7.0,GD,28.0,0,,21074.0,1.2,0.63
86,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.77,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,9.0,3.0,0.0,1,7.0,GD,28.0,0,,11077.0,1.2,0.63
87,,,,第1节,157.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,0.77,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,9.0,3.0,0.0,1,7.0,GD,21.0,0,,11077.0,1.2,0.63
88,,,,第1节,2.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,2.5,1.0,0.83,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,9.0,3.0,0.0,1,7.0,GD,21.0,0,,11077.0,1.2,0.63
89,,,,第1节,-2.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,-2.5,1.0,0.83,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,9.0,3.0,0.0,1,7.0,GD,21.0,0,,11077.0,1.2,0.63
90,,,,第1节,159.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,159.5,1.0,0.83,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,9.0,3.0,0.0,1,7.0,GD,21.0,0,,11077.0,1.2,0.63
91,,,,第1节,159.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,159.5,1.0,1.2,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,9.0,3.0,0.0,1,7.0,GD,21.0,0,,11077.0,1.2,0.63
92,,,,第1节,159.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,159.5,1.0,0.63,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,9.0,3.0,0.0,1,7.0,GD,14.0,0,,11077.0,1.2,0.63
93,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.63,,,1.0,0.0,0.0,5.0,1.0,0.0,3.0,9.0,3.0,0.0,1,7.0,GD,14.0,0,,11077.0,1.2,0.63
94,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.63,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,3.0,0.0,1,7.0,GD,14.0,0,,11074.0,1.2,0.63
95,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.63,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,7.0,GD,6.0,0,,21077.0,1.2,0.63
96,,,,第1节,1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,1.5,1.0,0.8,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,7.0,GD,6.0,0,,21077.0,1.2,0.63
97,,,,第1节,-1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,-1.5,1.0,0.87,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,7.0,GD,6.0,0,,21077.0,1.2,0.63
98,,,,第1节,160.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,160.5,1.0,0.87,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,7.0,GD,6.0,0,,21077.0,1.2,0.63
99,,,,第1节,160.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,160.5,1.0,0.91,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,7.0,GD,6.0,0,,21077.0,1.2,0.63
100,,,,第1节,160.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,160.5,1.0,0.77,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,6.0,GD,58.0,0,,21077.0,1.2,0.63
101,,,,第1节,160.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,160.5,1.0,0.83,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,6.0,GD,58.0,0,,21077.0,1.2,0.63
102,,,,第1节,160.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,160.5,1.0,0.83,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,6.0,GD,58.0,0,,11077.0,1.2,0.63
103,,,,第1节,160.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,160.5,1.0,0.8,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,6.0,GD,58.0,0,,11077.0,1.2,0.63
104,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.87,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,6.0,GD,58.0,0,,11077.0,1.2,0.63
105,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.87,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,6.0,GD,41.0,0,,11077.0,1.2,0.63
106,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.87,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,9.0,5.0,0.0,1,6.0,GD,41.0,0,,11077.0,1.2,0.63
107,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.8,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,9.0,5.0,0.0,1,6.0,GD,41.0,0,,11074.0,1.2,0.63
108,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.8,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,9.0,5.0,0.0,1,6.0,GD,27.0,0,,21077.0,1.2,0.63
109,,,,第1节,158.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,158.5,1.0,0.8,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,9.0,7.0,0.0,1,6.0,GD,27.0,0,,21077.0,1.2,0.63
110,,,,第1节,-1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,-1.5,1.0,0.83,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,9.0,7.0,0.0,1,6.0,GD,27.0,0,,21077.0,1.2,0.63
111,,,,第1节,1.5,2.5,0.87,-2.5,0.8,157.5,0.83,157.5,0.83,1.5,1.0,0.83,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,9.0,7.0,0.0,1,6.0,GD,27.0,0,,21077.0,1.2,0.63
