,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
29,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124009.0,21086.0
30,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124010.0,21086.0
31,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124010.0,21086.0
32,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124016.0,21086.0
33,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124016.0,21086.0
34,,,,,25.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,25.5,,0.8,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124017.0,21086.0
35,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.8,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124017.0,21086.0
36,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.8,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124019.0,21086.0
37,,,,,-23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,-23.5,,0.83,,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124019.0,21086.0
38,,,,,23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,23.5,,0.83,1:2,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124040.0,11078.0
39,,,,,23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,23.5,,0.8,1:2,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124040.0,11078.0
40,,,,,23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,23.5,,0.87,1:2,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124040.0,11078.0
41,,,,,23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,23.5,,0.8,1:2,,,3,,7,,6,,3,7.0,6,,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124040.0,11078.0
42,,,,,23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,23.5,,0.87,1:2^2:2,,,3,,7,,6,,3,7.0,6,54.5,60.0,,29,,0.0,1,1.0,2.0,0.0,20180525124040.0,11080^11078
