,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,134.5,0.8333333333333334,134.5,0.8333333333333334,,,,8.0,6,16.0,7.0,3.0,13.0,3.0,2.0,0.0,0.0,27.3,81.2,59,45.0,0,1,8.0,30.0,1,20181107031448,11077,16.0,0.005
1,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,133.5,0.9090909090909091,133.5,0.7692307692307693,,,,8.0,6,16.0,7.0,3.0,13.0,3.0,2.0,0.0,0.0,27.3,81.2,59,45.0,0,1,8.0,21.0,1,20181107031456.0,11077,16.0,0.005
2,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,133.5,0.9090909090909091,133.5,0.7692307692307693,,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,0.0,0.0,27.3,81.2,59,45.0,0,1,8.0,21.0,1,20181107031456.0,21077.0,16.0,0.005
3,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,133.5,0.8,133.5,0.8695652173913043,,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,0.0,0.0,27.3,81.2,59,45.0,0,1,8.0,7.0,1,20181107031510.0,21077.0,16.0,0.005
4,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.8695652173913043,135.5,0.8,,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,0.0,0.0,27.3,81.2,59,45.0,0,1,7.0,59.0,1,20181107031518.0,21077.0,16.0,0.005
5,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.8695652173913043,135.5,0.8,,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,0.0,0.0,27.3,81.2,62,48.0,0,1,7.0,54.0,1,20181107031523.0,11077.0,16.0,0.005
6,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.7692307692307693,135.5,0.9090909090909091,,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,0.0,0.0,27.3,81.2,62,48.0,0,1,7.0,45.0,1,20181107031532.0,11077.0,17.0,0.004
7,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.7692307692307693,135.5,0.9090909090909091,,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,0.0,0.0,27.3,81.2,62,48.0,0,1,7.0,45.0,0.0,20181107031532.0,11095.0,17.0,0.004
8,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.7692307692307693,135.5,0.9090909090909091,,^,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,1.0,0.0,27.3,81.2,62,48.0,0,1,7.0,45.0,0.0,20181107031541.0,11086^21077,17.0,0.004
9,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.7692307692307693,135.5,0.9090909090909091,,^,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,1.0,0.0,27.3,81.2,62,48.0,0,1,7.0,45.0,1.0,20181107031600.0,11086^21077,17.0,0.004
10,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.7692307692307693,135.5,0.9090909090909091,6.0,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,1.0,0.0,27.3,81.2,62,48.0,0,1,7.0,45.0,1.0,20181107031600.0,11077.0,17.0,0.004
11,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.7692307692307693,135.5,0.9090909090909091,6.0,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,1.0,0.0,27.3,81.2,62,48.0,0,1,7.0,36.0,1.0,20181107031600.0,11077.0,17.0,0.004
12,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,135.5,0.7692307692307693,135.5,0.9090909090909091,5.0,,,9.0,6,16.0,7.0,3.0,13.0,3.0,2.0,1.0,0.0,27.3,81.2,62,48.0,0,1,7.0,28.0,1.0,20181107031616.0,11077.0,17.0,0.004
13,,,4.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,5.0,^,,9.0,6,17.0,7.0,3.0,13.0,3.0,2.0,1.0,0.0,27.3,81.2,64,48.0,0,1,7.0,21.0,1.0,20181107031623.0,11074^21077,17.0,0.004
14,,,4.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,5.0,,,9.0,6,17.0,7.0,3.0,13.0,3.0,2.0,1.0,0.0,27.3,81.2,64,48.0,0,1,7.0,19.0,0.0,20181107031625.0,21077.0,17.0,0.004
15,,,4.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,5.0,,,9.0,6,17.0,7.0,3.0,13.0,3.0,2.0,1.0,0.0,27.3,81.2,64,48.0,0,1,7.0,17.0,0.0,20181107031627.0,21077.0,17.0,0.004
16,,,4.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,5.0,^,,9.0,6,17.0,7.0,3.0,13.0,3.0,2.0,1.0,1.0,27.3,81.2,64,48.0,0,1,7.0,21.0,0.0,20181107031631.0,21086^11077,17.0,0.004
17,,,4.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,5.0,,,9.0,6,17.0,7.0,3.0,13.0,3.0,2.0,1.0,1.0,27.3,81.2,64,48.0,0,1,7.0,21.0,0.0,20181107031631.0,11077.0,17.0,0.004
