,AM,AS,CP,ED,FS,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SD,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,1.0,,17.5,0.8333333333333334,-17.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20181103001521,,8.5,0.03571428571428571
1,,,,1.0,,17.5,0.8333333333333334,-17.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20181103003037.0,,8.5,0.03571428571428571
2,,,,1.0,,17.5,0.8333333333333334,-17.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20181103003107.0,,8.5,0.03571428571428571
3,,,,1.0,1.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,,0.0,,,,,,,,,,,,,,,,,0.0,0,1,10.0,0.0,1.0,20181103003108.0,,8.5,0.03571428571428571
4,,,,1.0,1.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,143.5,0.8695652173913043,143.5,0.8,,,0.0,,,,,,,,,,,,,,,,,0.0,0,1,9.0,51.0,1.0,20181103003116.0,,8.5,0.03571428571428571
5,,,,1.0,1.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,0.0,,,,,,,,,,,,,,,,,0.0,0,1,9.0,44.0,1.0,20181103003124.0,11095.0,8.5,0.03571428571428571
6,,,,1.0,1.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,0.0,,,,,,,,,,,,,,,,,0.0,0,1,9.0,44.0,1.0,20181103003124.0,11077.0,8.5,0.03571428571428571
7,,,,1.0,1.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,0.0,,,,,,,,,,,,,,,,,0.0,0,1,9.0,44.0,1.0,20181103003128.0,21077.0,8.5,0.03571428571428571
8,,,,1.0,1.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,,0.0,^,,,1.0,,,,,,,,,,,0.0,3.0,0.0,0,1,9.0,32.0,1.0,20181103003135.0,21075^11077,7.5,0.05
9,,,,1.0,1.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,,0.0,,,,1.0,,,,,,,,,,,0.0,3.0,0.0,0,1,9.0,23.0,1.0,20181103003144.0,11077.0,7.5,0.05
