,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,2.5,0.8695652173913043,-2.5,0.8,,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,2.0,4.0,0,20181103025119,11081
1,,,4.0,2.5,0.8695652173913043,-2.5,0.8,,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,2.0,4.0,1.0,20181103025249.0,11077.0
2,,,4.0,2.5,0.8695652173913043,-2.5,0.8,,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,2.0,3.0,1.0,20181103025250.0,11077.0
3,,,4.0,1.5,0.0,-1.5,0.0,3.0,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,1.0,54.0,1.0,20181103025257.0,21077.0
4,,,4.0,1.5,0.0,-1.5,0.0,3.0,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,1.0,45.0,1.0,20181103025305.0,21077.0
5,,,4.0,2.5,0.0,-2.5,0.0,3.0,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,1.0,35.0,1.0,20181103025310.0,11077.0
6,,,4.0,2.5,0.0,-2.5,0.0,3.0,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,1.0,34.0,1.0,20181103025310.0,11077.0
7,,,4.0,2.5,0.0,-2.5,0.0,3.0,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,1.0,26.0,1.0,20181103025319.0,11077.0
8,,,4.0,2.5,0.0,-2.5,0.0,3.0,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,90,88,0,1,1.0,22.0,1.0,20181103025322.0,11077.0
9,,,4.0,3.5,0.0,-3.5,0.0,3.0,,,,6,10,,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,92,88,0,1,1.0,21.0,1.0,20181103025323.0,11077.0
10,,,4.0,3.5,0.0,-3.5,0.0,3.0,^,,,6,10,25.0,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,92,88,0,1,1.0,21.0,1.0,20181103025323.0,11074^21077
11,,,4.0,3.5,0.0,-3.5,0.0,3.0,^,,,6,10,25.0,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,92,88,0,1,1.0,17.0,0.0,20181103025326.0,11074^21077
12,,,4.0,3.5,0.0,-3.5,0.0,3.0,^,,,6,10,25.0,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,92,88,0,1,1.0,17.0,0.0,20181103025327.0,11074^21077
13,,,4.0,3.5,0.0,-3.5,0.0,3.0,^,,,6,10,25.0,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,92,88,0,1,1.0,17.0,0.0,20181103025343.0,11074^21077
14,,,4.0,3.5,0.0,-3.5,0.0,3.0,^,,,6,10,25.0,24,27,,23,7,,2,4,,2,2,,71.9,87.5,,92,88,0,1,1.0,16.0,0.0,20181103025351.0,11074^21077
