,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
24,44.0,5.0,4.0,14.5,0.0,-14.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,1.0,7.0,1.0,20180923190502.0,21077.0
25,44.0,5.0,4.0,14.5,0.0,-14.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,1.0,6.0,1.0,20180923190502.0,21077.0
26,44.0,5.0,4.0,14.5,0.0,-14.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,0.0,58.0,1.0,20180923190511.0,21077.0
27,44.0,5.0,4.0,15.5,0.0,-15.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,0.0,51.0,1.0,20180923190518.0,21077.0
28,44.0,5.0,4.0,15.5,0.0,-15.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,0.0,42.0,1.0,20180923190526.0,11077.0
29,44.0,5.0,4.0,15.5,0.0,-15.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,0.0,34.0,1.0,20180923190534.0,11077.0
30,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,33.0,1.0,20180923190536.0,11074.0
31,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,29.0,0.0,20180923190540.0,11074.0
32,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,29.0,1.0,20180923190613.0,11074.0
33,44.0,5.0,4.0,16.5,0.0,-16.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,29.0,1.0,20180923190614.0,21077.0
34,44.0,5.0,4.0,16.5,0.0,-16.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,20.0,1.0,20180923190622.0,21077.0
35,44.0,5.0,4.0,16.5,0.0,-16.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,12.0,1.0,20180923190631.0,21077.0
36,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,3.0,1.0,20180923190640.0,11077.0
37,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,0.0,0.0,20180923190645.0,11077.0
38,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,0.0,0.0,20180923190645.0,1084.0
39,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,0.0,0.0,20180923190648.0,1084.0
40,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,21.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,67,50,0,1,0.0,0.0,0.0,20180923190648.0,1084.0
