,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,17.5,0.7142857142857143,-17.5,1.0,,,,4,5,,20,11,13,11,,3,1,,3,3,76.5,61.1,65,48,0,1,2.0,43.0,0,20180923190129,11077
1,,,4.0,17.5,0.7142857142857143,-17.5,1.0,,,,4,5,,20,11,13,11,,3,1,,3,3,76.5,61.1,65,48,0,1,2.0,43.0,0,20180923190144.0,11086.0
2,,,4.0,17.5,0.7142857142857143,-17.5,1.0,,,,4,5,,20,11,13,11,,3,1,,3,3,76.5,61.1,65,48,0,1,2.0,43.0,0,20180923190145.0,11086.0
3,,,4.0,17.5,0.7142857142857143,-17.5,1.0,,,1.0,4,5,,20,11,13,11,,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,43.0,0,20180923190146.0,11086.0
4,44.0,5.0,4.0,16.5,0.7142857142857143,-16.5,1.0,,,1.0,4,5,,20,11,13,11,,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,43.0,0,20180923190147.0,21081.0
5,44.0,5.0,4.0,16.5,0.7142857142857143,-16.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,43.0,0,20180923190151.0,21077^21081
6,44.0,5.0,4.0,16.5,0.7142857142857143,-16.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,43.0,0,20180923190312.0,21077^21081
7,44.0,5.0,4.0,16.5,0.7142857142857143,-16.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,34.0,0,20180923190320.0,21077^21081
8,44.0,5.0,4.0,16.5,0.7142857142857143,-16.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,34.0,0.0,20180923190321.0,21077^21081
9,44.0,5.0,4.0,16.5,0.7142857142857143,-16.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,34.0,0.0,20180923190329.0,21077^21081
10,44.0,5.0,4.0,16.5,0.7142857142857143,-17.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,34.0,0.0,20180923190331.0,21077^21081
11,44.0,5.0,4.0,16.5,0.7142857142857143,-17.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,34.0,1.0,20180923190336.0,21077^21081
12,44.0,5.0,4.0,16.5,0.7142857142857143,-17.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,25.0,1.0,20180923190344.0,21077^21081
13,44.0,5.0,4.0,16.5,0.7142857142857143,-17.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,17.0,1.0,20180923190352.0,21077^21081
14,44.0,5.0,4.0,16.5,0.7142857142857143,-16.5,1.0,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,17.0,1.0,20180923190353.0,21077.0
15,44.0,5.0,4.0,16.5,0.7692307692307693,-16.5,0.9090909090909091,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,8.0,1.0,20180923190401.0,21077.0
16,44.0,5.0,4.0,17.5,0.7692307692307693,-17.5,0.9090909090909091,,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,2.0,7.0,1.0,20180923190403.0,11077.0
17,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,1.0,58.0,1.0,20180923190411.0,11077.0
18,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,1.0,50.0,1.0,20180923190419.0,11077.0
19,44.0,5.0,4.0,17.5,0.0,-17.5,0.0,1.0,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,1.0,42.0,1.0,20180923190428.0,11077.0
20,44.0,5.0,4.0,16.5,0.0,-16.5,0.0,1.0,^,1.0,4,5,,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,48,0,1,1.0,33.0,1.0,20180923190436.0,21077.0
21,44.0,5.0,4.0,14.5,0.0,-14.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,1.0,26.0,1.0,20180923190443.0,21074.0
22,44.0,5.0,4.0,15.5,0.0,-15.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,1.0,24.0,1.0,20180923190446.0,11077.0
23,44.0,5.0,4.0,15.5,0.0,-15.5,0.0,1.0,^,1.0,4,5,12.0,20,11,13,11,0.0,3,1,4.0,3,3,76.5,61.1,65,50,0,1,1.0,15.0,1.0,20180923190454.0,11077.0
