,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,171.5,0.8,171.5,0.8695652173913043,,,,,,,0,1,1.0,25.0,0,20181017122617,21086,0.6666666666666666,1.1
1,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,171.5,0.8,171.5,0.8695652173913043,,,0.7692307692307693,,,,0,1,1.0,25.0,0,20181017122657.0,21086,0.6666666666666666,1.1
2,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,171.5,0.8,171.5,0.8695652173913043,,,0.7692307692307693,,,,0,1,1.0,25.0,0,20181017122658.0,21086,0.6666666666666666,1.1
3,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,172.5,0.8333333333333334,172.5,0.8333333333333334,,,0.7142857142857143,1:2,,,0,1,1.0,25.0,0,20181017122704.0,11078.0,0.6666666666666666,1.1
4,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,171.5,0.8695652173913043,171.5,0.8,,,0.9090909090909091,1:2^2:2,,,0,1,1.0,25.0,0,20181017122719.0,11080^11078,0.6666666666666666,1.1
5,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,172.5,0.8,172.5,0.8695652173913043,,,0.7692307692307693,2:2,61.0,59.0,0,1,1.0,25.0,0,20181017122729.0,11079.0,0.6666666666666666,1.1
6,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,172.5,0.8,172.5,0.8695652173913043,,,0.7692307692307693,2:2,61.0,59.0,0,1,1.0,25.0,1.0,20181017122752.0,11079.0,0.6666666666666666,1.1
7,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,172.5,0.8,172.5,0.8695652173913043,,,0.625,,61.0,59.0,0,1,1.0,25.0,1.0,20181017122753.0,11077.0,0.6666666666666666,1.1
8,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,,,0.7692307692307693,,61.0,59.0,0,1,1.0,17.0,1.0,20181017122801.0,21077.0,0.6666666666666666,1.1
9,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,171.5,0.8,171.5,0.8695652173913043,,,0.7692307692307693,,61.0,59.0,0,1,1.0,12.0,0.0,20181017122805.0,21077.0,0.6666666666666666,1.1
10,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,173.5,0.8333333333333334,173.5,0.8333333333333334,,,1.1,,61.0,61.0,0,1,1.0,12.0,0.0,20181017122807.0,21074.0,0.6666666666666666,1.1
11,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,173.5,0.8333333333333334,173.5,0.8333333333333334,,,1.1,,61.0,61.0,0,1,1.0,12.0,0.0,20181017122812.0,11086.0,0.6666666666666666,1.1
12,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,173.5,0.8333333333333334,173.5,0.8333333333333334,,,1.1,,61.0,61.0,0,1,1.0,12.0,0.0,20181017122813.0,11086.0,0.6666666666666666,1.1
13,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,173.5,0.8,173.5,0.8695652173913043,,,1.1,,61.0,61.0,0,1,1.0,10.0,0.0,20181017122817.0,11086.0,0.6666666666666666,1.1
14,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,173.5,0.8695652173913043,173.5,0.8,,,1.4,^1:1^1:1,61.0,61.0,0,1,1.0,10.0,0.0,20181017122827.0,11086^21078^21078,0.6666666666666666,1.1
15,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,173.5,0.8695652173913043,173.5,0.8,,,1.2,^1:1,61.0,61.0,0,1,1.0,10.0,0.0,20181017122827.0,11086^21078,0.6666666666666666,1.1
16,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,174.5,0.8,174.5,0.8695652173913043,,,1.25,1:1,61.0,62.0,0,1,1.0,10.0,0.0,20181017122841.0,21079.0,0.6666666666666666,1.1
17,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,174.5,0.8,174.5,0.8695652173913043,,,1.25,1:1,61.0,62.0,0,1,1.0,10.0,1.0,20181017122846.0,21079.0,0.6666666666666666,1.1
18,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,174.5,0.8,174.5,0.8695652173913043,,,1.25,,61.0,62.0,0,1,1.0,10.0,1.0,20181017122847.0,11077.0,0.6666666666666666,1.1
19,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,173.5,0.8333333333333334,173.5,0.8333333333333334,,,1.25,,61.0,62.0,0,1,1.0,1.0,1.0,20181017122855.0,11077.0,0.6666666666666666,1.1
20,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,175.5,0.7692307692307693,175.5,0.9090909090909091,,,1.2,^,63.0,62.0,0,1,0.0,53.0,1.0,20181017122903.0,11074^21077,0.6666666666666666,1.1
21,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,174.5,0.8695652173913043,174.5,0.8,,,1.2,,63.0,62.0,0,1,0.0,51.0,1.0,20181017122904.0,21077.0,0.6666666666666666,1.1
22,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,174.5,0.8333333333333334,174.5,0.8333333333333334,,,1.2,,63.0,62.0,0,1,0.0,43.0,1.0,20181017122912.0,21077.0,0.6666666666666666,1.1
23,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,176.5,0.7692307692307693,176.5,0.9090909090909091,,,1.25,^,63.0,64.0,0,1,0.0,39.0,1.0,20181017122917.0,21074^11077,0.6666666666666666,1.1
24,,,,3.0,-1.5,0.8695652173913043,1.5,0.8,175.5,0.8695652173913043,175.5,0.8,,,1.25,,63.0,64.0,0,1,0.0,36.0,1.0,20181017122920.0,11077.0,0.6666666666666666,1.1
25,,,,3.0,-1.5,0.8,1.5,0.8695652173913043,175.5,0.8,175.5,0.8695652173913043,,,1.25,,63.0,64.0,0,1,0.0,27.0,1.0,20181017122928.0,11077.0,0.6666666666666666,1.1
26,,,,3.0,-1.5,0.8,1.5,0.8695652173913043,174.5,0.8333333333333334,174.5,0.8333333333333334,,,1.25,,63.0,64.0,0,1,0.0,19.0,1.0,20181017122936.0,11077.0,0.6666666666666666,1.1
27,,,,3.0,-1.5,0.8,1.5,0.8695652173913043,174.5,0.8,174.5,0.8695652173913043,,,1.5,,63.0,64.0,0,1,0.0,14.0,1.0,20181017122941.0,21077.0,0.6666666666666666,1.1
