,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,4.0,25.5,0.9523809523809523,-25.5,0.8,194.5,0.8,194.5,0.9523809523809523,,,,,,13.0,4.0,18.0,20.0,14.0,7.0,4.0,2.0,1.0,0.0,87.5,87.5,89,59.0,0,1,10.0,25.0,1,20181020015302,11077
1,,,,4.0,25.5,0.9523809523809523,-25.5,0.8,193.5,0.8695652173913043,193.5,0.8695652173913043,,,,,,13.0,4.0,18.0,20.0,14.0,7.0,4.0,2.0,1.0,0.0,87.5,87.5,89,59.0,0,1,10.0,16.0,1,20181020015311.0,11077
2,,,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,196.5,0.8333333333333334,196.5,0.9090909090909091,,,^,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,2.0,1.0,0.0,87.5,87.5,92,59.0,0,1,10.0,14.0,1,20181020015313.0,11075^21077
3,,,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,195.5,0.9090909090909091,195.5,0.8333333333333334,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,2.0,1.0,0.0,87.5,87.5,92,59.0,0,1,10.0,9.0,0.0,20181020015318.0,21077.0
4,44.0,5.0,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,195.5,0.9090909090909091,195.5,0.8333333333333334,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,10.0,9.0,0.0,20181020015322.0,21081.0
5,44.0,5.0,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,196.5,0.8333333333333334,196.5,0.9090909090909091,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,10.0,14.0,0.0,20181020015327.0,21081.0
6,,,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,195.5,0.8695652173913043,195.5,0.8695652173913043,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,10.0,4.0,0.0,20181020015554.0,21077.0
7,,,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,195.5,0.8695652173913043,195.5,0.8695652173913043,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,10.0,4.0,1.0,20181020015609.0,21077.0
8,,,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,195.5,0.8,195.5,0.9523809523809523,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,9.0,55.0,1.0,20181020015617.0,21077.0
9,,,,4.0,28.5,0.8,-28.5,0.9523809523809523,193.5,0.8695652173913043,193.5,0.8695652173913043,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,9.0,47.0,1.0,20181020015625.0,21077.0
10,,,,4.0,28.5,0.8,-28.5,0.9523809523809523,193.5,0.8,193.5,0.9523809523809523,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,9.0,44.0,1.0,20181020015628.0,21095.0
11,,,,4.0,28.5,0.9523809523809523,-28.5,0.8,193.5,0.8,193.5,0.9523809523809523,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,9.0,43.0,1.0,20181020015628.0,11077.0
12,,,,4.0,28.5,0.9523809523809523,-28.5,0.8,192.5,0.8695652173913043,192.5,0.8695652173913043,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,9.0,35.0,1.0,20181020015637.0,11077.0
13,,,,4.0,28.5,0.9523809523809523,-28.5,0.8,191.5,0.9523809523809523,191.5,0.8,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,9.0,27.0,1.0,20181020015645.0,11077.0
14,,,,4.0,28.5,0.9523809523809523,-28.5,0.8,191.5,0.8695652173913043,191.5,0.8695652173913043,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,9.0,23.0,1.0,20181020015649.0,11095.0
15,,,,4.0,28.5,0.8,-28.5,0.9523809523809523,190.5,0.9523809523809523,190.5,0.8,,,,,,14.0,4.0,18.0,20.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,59.0,0,1,9.0,14.0,1.0,20181020015658.0,21077.0
16,,,,4.0,27.5,0.8,-27.5,0.9523809523809523,192.5,0.9090909090909091,192.5,0.8333333333333334,,,^,,,14.0,4.0,18.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,61.0,0,1,9.0,13.0,1.0,20181020015659.0,21074^11077
17,,,,4.0,27.5,0.8,-27.5,0.9523809523809523,192.5,0.9090909090909091,192.5,0.8333333333333334,,,,,,14.0,4.0,18.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,61.0,0,1,9.0,13.0,1.0,20181020015700.0,11077.0
18,,,,4.0,27.5,0.8,-27.5,0.9523809523809523,192.5,0.8,192.5,0.9523809523809523,,,,,,14.0,4.0,18.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,61.0,0,1,9.0,4.0,1.0,20181020015708.0,11077.0
19,,,,4.0,27.5,0.8,-27.5,0.9523809523809523,191.5,0.8695652173913043,191.5,0.8695652173913043,,,,,,14.0,4.0,18.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,92,61.0,0,1,8.0,56.0,1.0,20181020015716.0,11077.0
20,,,,4.0,28.5,0.8,-28.5,0.9523809523809523,193.5,0.8695652173913043,193.5,0.8695652173913043,,12.0,,,,14.0,4.0,19.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,94,61.0,0,1,8.0,56.0,1.0,20181020015717.0,21077.0
21,,,,4.0,28.5,0.8,-28.5,0.9523809523809523,192.5,0.9523809523809523,192.5,0.8,,12.0,,,,14.0,4.0,19.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,94,61.0,0,1,8.0,47.0,1.0,20181020015725.0,21077.0
22,,,,4.0,28.5,0.8,-28.5,0.9523809523809523,192.5,0.8333333333333334,192.5,0.9090909090909091,,12.0,,,,14.0,4.0,19.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,94,61.0,0,1,8.0,39.0,1.0,20181020015734.0,21077.0
23,,,,4.0,28.5,0.8,-28.5,0.9523809523809523,192.5,0.8,192.5,0.9523809523809523,,12.0,,,,14.0,4.0,19.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,94,61.0,0,1,8.0,38.0,1.0,20181020015734.0,21095.0
24,,,,4.0,29.5,0.8,-29.5,0.9523809523809523,192.5,0.8,192.5,0.9523809523809523,,12.0,,,,14.0,4.0,19.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,94,61.0,0,1,8.0,38.0,1.0,20181020015735.0,11077.0
25,,,,4.0,31.5,0.8,-31.5,0.9523809523809523,194.5,0.8695652173913043,194.5,0.8695652173913043,,12.0,^,,,15.0,4.0,19.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,61.0,0,1,8.0,30.0,1.0,20181020015743.0,11075^21077
26,,,,4.0,31.5,0.8,-31.5,0.9523809523809523,194.5,0.8695652173913043,194.5,0.8695652173913043,,12.0,,,,15.0,4.0,19.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,61.0,0,1,8.0,29.0,1.0,20181020015743.0,21077.0
27,,,,4.0,31.5,0.8333333333333334,-31.5,0.9090909090909091,193.5,0.9523809523809523,193.5,0.8,,12.0,,,,15.0,4.0,19.0,21.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,61.0,0,1,8.0,20.0,1.0,20181020015751.0,21077.0
28,,,,4.0,30.5,0.8333333333333334,-30.5,0.9090909090909091,195.5,0.8695652173913043,195.5,0.8695652173913043,,12.0,^,,,15.0,4.0,19.0,22.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,63.0,0,1,8.0,18.0,1.0,20181020015754.0,21074^11077
29,,,,4.0,30.5,0.8333333333333334,-30.5,0.9090909090909091,195.5,0.8695652173913043,195.5,0.8695652173913043,,12.0,,,,15.0,4.0,19.0,22.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,63.0,0,1,8.0,18.0,1.0,20181020015755.0,11077.0
30,,,,4.0,30.5,0.8333333333333334,-30.5,0.9090909090909091,195.5,0.7692307692307693,195.5,1.0,,12.0,,,,15.0,4.0,19.0,22.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,63.0,0,1,8.0,9.0,1.0,20181020015803.0,11077.0
31,,,,4.0,30.5,0.8333333333333334,-30.5,0.9090909090909091,194.5,0.8695652173913043,194.5,0.8695652173913043,,12.0,,,,15.0,4.0,19.0,22.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,63.0,0,1,8.0,1.0,1.0,20181020015812.0,11077.0
32,,,,4.0,30.5,0.8333333333333334,-30.5,0.9090909090909091,194.5,0.8,194.5,0.9523809523809523,,12.0,,,,15.0,4.0,19.0,22.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,63.0,0,1,7.0,59.0,1.0,20181020015813.0,11095.0
33,,,,4.0,29.5,0.8333333333333334,-29.5,0.9090909090909091,194.5,0.8,194.5,0.9523809523809523,,12.0,,,,15.0,4.0,19.0,22.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,63.0,0,1,7.0,59.0,1.0,20181020015814.0,21077.0
34,,,,4.0,29.5,0.8333333333333334,-29.5,0.9090909090909091,194.5,0.8,194.5,0.9523809523809523,,12.0,,,,15.0,4.0,19.0,22.0,14.0,7.0,4.0,1.0,1.0,0.0,87.5,87.5,97,63.0,0,1,7.0,57.0,0.0,20181020015816.0,21077.0
35,,,,4.0,29.5,0.8333333333333334,-29.5,0.9090909090909091,194.5,0.8,194.5,0.9523809523809523,,12.0,^,,,15.0,4.0,19.0,22.0,14.0,7.0,4.0,1.0,2.0,0.0,87.5,87.5,97,63.0,0,1,7.0,57.0,0.0,20181020015833.0,11086^21077
36,,,,4.0,28.5,0.9523809523809523,-28.5,0.8,195.5,0.8695652173913043,195.5,0.8695652173913043,,12.0,1:2,,,15.0,4.0,19.0,22.0,14.0,8.0,4.0,1.0,2.0,0.0,87.5,88.9,97,63.0,0,1,7.0,57.0,0.0,20181020015833.0,21078.0
37,44.0,5.0,,4.0,28.5,0.9523809523809523,-28.5,0.8,195.5,0.8695652173913043,195.5,0.8695652173913043,,12.0,,,,15.0,4.0,19.0,22.0,14.0,8.0,3.0,1.0,2.0,0.0,87.5,88.9,97,63.0,0,1,7.0,57.0,0.0,20181020015903.0,11081.0
38,,,,4.0,28.5,0.9523809523809523,-28.5,0.8,195.5,0.8695652173913043,195.5,0.8695652173913043,,12.0,,,,15.0,4.0,19.0,22.0,14.0,8.0,3.0,1.0,2.0,0.0,87.5,88.9,97,63.0,0,1,7.0,57.0,0.0,20181020020159.0,21077.0
39,,,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,196.5,0.8,196.5,0.9523809523809523,,12.0,2:2^,,,15.0,4.0,19.0,22.0,14.0,9.0,3.0,1.0,2.0,0.0,87.5,90.0,97,65.0,0,1,7.0,57.0,0.0,20181020020208.0,21079^11077
40,,,,4.0,28.5,0.8333333333333334,-28.5,0.9090909090909091,196.5,0.8,196.5,0.9523809523809523,,12.0,,,,15.0,4.0,19.0,22.0,14.0,9.0,3.0,1.0,2.0,0.0,87.5,90.0,97,65.0,0,1,7.0,57.0,0.0,20181020020210.0,11077.0
