,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0
1,,,,第1节,,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,,1.0,,,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.0,0.0
2,,,,第1节,,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,,1.0,,,,,0.0,1,9.0,GD,58.0,1.0,20180519130126.0,11077.0,0.0,0.0
3,,,,第1节,,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,,1.0,,,,,0.0,1,9.0,GD,58.0,1.0,20180519130126.0,11077.0,0.0,0.0
4,,,,第1节,,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,,1.0,,,,,0.0,1,9.0,GD,56.0,1.0,20180519130127.0,11077.0,0.0,0.0
5,,,,第1节,148.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,148.5,1.0,,,,,0.0,1,9.0,GD,56.0,1.0,20180519130127.0,11077.0,0.0,0.0
6,,,,第1节,148.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,148.5,1.0,,,,,0.0,1,9.0,GD,47.0,1.0,20180519130136.0,11077.0,0.0,0.0
7,,,,第1节,148.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,148.5,1.0,,,,,0.0,1,9.0,GD,47.0,1.0,20180519130136.0,21077.0,0.0,0.0
8,,,,第1节,148.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,148.5,1.0,,,,,0.0,1,9.0,GD,43.0,1.0,20180519130141.0,11077.0,0.0,0.0
9,,,,第1节,148.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,148.5,1.0,,,,,0.0,1,9.0,GD,43.0,1.0,20180519130141.0,11077.0,0.0,0.0
10,,,,第1节,148.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,148.5,1.0,,,,,0.0,1,9.0,GD,43.0,1.0,20180519130142.0,11077.0,0.0,0.0
11,,,,第1节,147.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,147.5,1.0,,,,,0.0,1,9.0,GD,43.0,1.0,20180519130142.0,11077.0,0.0,0.0
12,,,,第1节,147.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,147.5,1.0,,,,,0.0,1,9.0,GD,35.0,1.0,20180519130148.0,11077.0,0.0,0.0
13,,,,第1节,147.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,147.5,1.0,,,,,0.0,1,9.0,GD,35.0,0.0,20180519130148.0,11077.0,0.0,0.0
14,,,,第1节,147.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,147.5,1.0,,,,,0.0,1,9.0,GD,31.0,0.0,20180519130153.0,11077.0,0.0,0.0
15,,,,第1节,147.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,147.5,1.0,,,,,0.0,1,9.0,GD,31.0,0.0,20180519130153.0,21086.0,0.0,0.0
16,,,,第1节,147.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,147.5,1.0,,,,,1.0,1,9.0,GD,31.0,0.0,20180519130153.0,11077.0,0.0,0.0
17,,,,第1节,147.5,-10.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,147.5,1.0,,,,,1.0,1,9.0,GD,31.0,0.0,20180519130153.0,11077.0,0.0,0.0
