,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
16,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,146.5,0.7142857142857143,146.5,1.0,,1:2,5.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,5.0,5.0,71.4,66.7,62.0,67,0,1,4.0,7.0,0.0,20181012203514.0,21078.0,0.125,4.5
17,,,4.0,-6.5,0.8695652173913043,6.5,0.8,146.5,0.8,146.5,0.8695652173913043,,1:2,5.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,5.0,5.0,71.4,66.7,62.0,68,0,1,4.0,7.0,0.0,20181012203527.0,21078.0,0.1111111111111111,5.0
18,,,4.0,-6.5,0.8695652173913043,6.5,0.8,146.5,0.8,146.5,0.8695652173913043,,1:2^2:2,5.0,3.0,16.0,20.0,15.0,15.0,4.0,1.0,5.0,5.0,71.4,68.2,62.0,68,0,1,4.0,7.0,0.0,20181012203527.0,21079^21078,0.1111111111111111,5.0
19,,,4.0,-6.5,0.8695652173913043,6.5,0.8,146.5,0.8,146.5,0.8695652173913043,,1:2^2:2,5.0,3.0,16.0,20.0,15.0,15.0,4.0,1.0,5.0,5.0,71.4,68.2,62.0,68,0,1,4.0,6.0,1.0,20181012203541.0,21079^21078,0.1111111111111111,5.0
20,,,4.0,-5.5,0.8695652173913043,5.5,0.8,146.5,0.8,146.5,0.8695652173913043,,,5.0,3.0,16.0,20.0,15.0,15.0,4.0,1.0,5.0,5.0,71.4,68.2,62.0,68,0,1,4.0,6.0,1.0,20181012203542.0,11077.0,0.13333333333333333,4.25
21,,,4.0,-5.5,0.8,5.5,0.8695652173913043,146.5,0.7692307692307693,146.5,0.9090909090909091,,,5.0,3.0,16.0,20.0,15.0,15.0,4.0,1.0,5.0,5.0,71.4,68.2,62.0,68,0,1,3.0,57.0,1.0,20181012203550.0,11077.0,0.13333333333333333,4.25
22,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,147.5,0.9090909090909091,147.5,0.7692307692307693,,^,5.0,3.0,17.0,20.0,15.0,15.0,4.0,1.0,5.0,5.0,71.4,68.2,64.0,69,0,1,3.0,50.0,1.0,20181012203558.0,11074^21077,0.18181818181818182,3.4
23,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,147.5,0.8,147.5,0.8695652173913043,,,5.0,3.0,17.0,20.0,15.0,15.0,4.0,1.0,5.0,5.0,71.4,68.2,64.0,69,0,1,3.0,41.0,1.0,20181012203606.0,21077.0,0.16666666666666666,3.5
24,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,147.5,0.7692307692307693,147.5,0.9090909090909091,,,5.0,3.0,17.0,20.0,15.0,15.0,4.0,1.0,5.0,5.0,71.4,68.2,64.0,69,0,1,3.0,40.0,0.0,20181012203607.0,21077.0,0.16666666666666666,3.5
25,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,147.5,0.7692307692307693,147.5,0.9090909090909091,,,5.0,3.0,17.0,20.0,15.0,15.0,4.0,1.0,5.0,5.0,71.4,68.2,64.0,69,0,1,3.0,40.0,0.0,20181012203608.0,21077.0,0.16666666666666666,3.5
