,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
22,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,36.0,0,,21077.0,0.0,0.0
23,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,36.0,0,,21077.0,0.0,0.0
24,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,36.0,0,,21077.0,0.0,0.0
25,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,36.0,0,,21077.0,0.0,0.0
26,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,36.0,0,,21077.0,0.0,0.0
27,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,61.9,40.0,49.0,60.0,1.0,1,7.0,36.0,0,,11086.0,0.0,0.0
28,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,36.0,0,,21077.0,0.0,0.0
29,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,36.0,0,,21077.0,0.0,0.0
30,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,36.0,0,,21077.0,0.0,0.0
31,,,第4节,11.5,0.77,-11.5,0.91,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,36.0,0,,21077.0,0.0,0.0
