,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,-22.5,0.8333333333333334,22.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20180913165201,,0.006666666666666667,15.0,
1,,,,-22.5,0.8333333333333334,22.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20180913170114.0,,0.006666666666666667,15.0,
2,,,,-22.5,0.8333333333333334,22.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,10.0,0.0,0,20180913170114.0,,0.006666666666666667,15.0,
3,,,,-22.5,0.8333333333333334,22.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,58.0,0,20180913170130.0,11077.0,0.006666666666666667,15.0,
4,,,,-22.5,0.8333333333333334,22.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,49.0,0,20180913170138.0,11077.0,0.006666666666666667,15.0,
5,,,,-20.5,0.8695652173913043,20.5,0.8,152.5,0.8,152.5,0.8695652173913043,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,43.0,0,20180913170146.0,11075.0,0.0125,12.0,
6,,,,-20.5,0.8695652173913043,20.5,0.8,151.5,0.8333333333333334,151.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,38.0,0,20180913170151.0,21077.0,0.0125,12.0,
7,,,,-19.5,0.8,19.5,0.8695652173913043,151.5,0.8,151.5,0.8695652173913043,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,29.0,0,20180913170159.0,21077.0,0.0125,12.0,
8,,,,-19.5,0.8,19.5,0.8695652173913043,150.5,0.8333333333333334,150.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,21.0,0,20180913170207.0,21077.0,0.013333333333333334,11.5,
9,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,19.0,0.0,20180913170209.0,21077.0,0.013333333333333334,11.5,
10,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,19.0,0.0,20180913170210.0,21077.0,0.013333333333333334,11.5,
11,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,19.0,1.0,20180913170221.0,21077.0,0.013333333333333334,11.5,
12,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,10.0,1.0,20180913170230.0,21077.0,0.013333333333333334,11.5,
13,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,2.0,1.0,20180913170238.0,21077.0,0.013333333333333334,11.5,
14,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9.0,1.0,1.0,20180913170240.0,21077.0,0.013333333333333334,11.5,
15,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,8.0,52.0,1.0,20180913170248.0,21077.0,0.013333333333333334,11.5,
16,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,8.0,52.0,1.0,20180913170249.0,21077.0,0.013333333333333334,11.5,
