,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4,4,,24,18,12,8,1,1,8,2,57.1,47.1,72,56,0,1,0,53.0,1,20181019184658,11074^21077
1,,,4,4,,24,18,12,8,1,1,8,2,57.1,47.1,72,56,0,1,0,47.0,1,20181019184704.0,21077.0
2,,,4,4,,24,18,12,8,1,1,8,2,57.1,47.1,72,56,0,1,0,45.0,1,20181019184708.0,21077.0
3,,,4,4,,24,18,12,8,1,1,8,2,57.1,47.1,72,56,0,1,0,36.0,1,20181019184716.0,21077.0
4,,^,4,4,19.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,36.0,1,20181019184716.0,21074^11077
5,,,4,4,19.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,32.0,1,20181019184720.0,11077.0
6,,,4,4,19.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,32.0,1,20181019184722.0,11077.0
7,,,4,4,19.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,32.0,1,20181019184724.0,11077.0
8,,,4,4,19.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,30.0,1,20181019184728.0,11077.0
9,,,4,4,19.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,21.0,1,20181019184736.0,11077.0
10,,,4,4,19.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,13.0,1,20181019184744.0,11077.0
11,,^,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,74,58,0,1,0,11.0,1,20181019184746.0,11074^21077
12,,^,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,74,58,0,1,0,11.0,0.0,20181019184747.0,11074^21077
13,,^,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,11.0,0.0,20181019184752.0,11074^21077
14,,^,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,13.0,0.0,20181019184755.0,11074^21077
15,,^,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,13.0,0.0,20181019184756.0,11074^21077
16,,^,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,13.0,1.0,20181019184757.0,11074^21077
17,,,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,8.0,1.0,20181019184800.0,21077.0
18,,,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,0.0,0.0,20181019184808.0,21077.0
19,,,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,0.0,0.0,20181019184808.0,1084.0
20,,,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,0.0,0.0,20181019184814.0,1084.0
21,,,4,4,25.0,24,18,12,8,1,1,8,2,57.1,47.1,72,58,0,1,0,0.0,0.0,20181019184814.0,1084.0
