,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,7.5,0.9090909090909091,-7.5,0.7692307692307693,,,,,0,1,2.0,20.0,1,20181017170532,21077
1,4.0,7.5,0.9090909090909091,-7.5,0.7692307692307693,,,,,0,1,2.0,12.0,1,20181017170540.0,21077
2,4.0,6.5,0.9090909090909091,-6.5,0.7692307692307693,,^,73.0,67.0,0,1,2.0,12.0,1,20181017170540.0,21074^11077
3,4.0,6.5,0.9090909090909091,-6.5,0.7692307692307693,,,73.0,67.0,0,1,2.0,12.0,1,20181017170541.0,11077.0
4,4.0,6.5,0.9090909090909091,-6.5,0.7692307692307693,,,73.0,67.0,0,1,2.0,3.0,1,20181017170549.0,11077.0
5,4.0,5.5,0.9090909090909091,-5.5,0.7692307692307693,,,73.0,67.0,0,1,2.0,0.0,1,20181017170552.0,21077.0
6,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,55.0,1,20181017170558.0,11077.0
7,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,54.0,1,20181017170558.0,11077.0
8,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,49.0,1,20181017170603.0,11077.0
9,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,40.0,1,20181017170612.0,11077.0
10,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,32.0,1,20181017170620.0,11077.0
11,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,27.0,1,20181017170626.0,11077.0
12,4.0,5.5,0.0,-5.5,0.0,3.0,,73.0,67.0,0,1,1.0,23.0,1,20181017170629.0,21077.0
13,4.0,5.5,0.0,-5.5,0.0,3.0,,73.0,67.0,0,1,1.0,22.0,1,20181017170630.0,21077.0
14,4.0,5.5,0.0,-5.5,0.0,3.0,,73.0,67.0,0,1,1.0,14.0,1,20181017170638.0,21077.0
15,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,10.0,1,20181017170643.0,11077.0
16,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,9.0,1,20181017170643.0,11077.0
17,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,1.0,1.0,1,20181017170652.0,11077.0
18,4.0,6.5,0.0,-6.5,0.0,3.0,,73.0,67.0,0,1,0.0,53.0,1,20181017170700.0,11077.0
19,4.0,7.5,0.0,-7.5,0.0,1.0,^,75.0,67.0,0,1,0.0,53.0,1,20181017170709.0,11074^21077
20,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,43.0,1,20181017170709.0,21077.0
21,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,34.0,1,20181017170718.0,21077.0
22,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,26.0,1,20181017170726.0,21077.0
23,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,18.0,1,20181017170734.0,21077.0
24,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,10.0,1,20181017170742.0,21077.0
25,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,9.0,0.0,20181017170743.0,21077.0
26,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,9.0,0.0,20181017170749.0,21077.0
27,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,0.0,0.0,20181017170806.0,21077.0
28,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,0.0,0.0,20181017170830.0,21077.0
29,4.0,7.5,0.0,-7.5,0.0,1.0,,75.0,67.0,0,1,0.0,0.0,0.0,20181017170830.0,1084.0
