,AM,AS,ED,PG,S1,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
25,,,,,12.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,69,0,1,0.0,40.0,1.0,20181025002944.0,11077.0
26,,,,,12.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,69,0,1,0.0,31.0,1.0,20181025002953.0,11077.0
27,,,,,12.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,69,0,1,0.0,29.0,0.0,20181025002955.0,11077.0
28,,,,,12.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,69,0,1,0.0,29.0,0.0,20181025003007.0,11077.0
29,,,,,12.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,69,0,1,0.0,31.0,0.0,20181025003009.0,11077.0
30,,,,,12.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,69,0,1,0.0,33.0,0.0,20181025003011.0,11077.0
31,,,,,12.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,69,0,1,0.0,33.0,1.0,20181025003011.0,21077.0
32,,,,^,13.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,72,0,1,0.0,30.0,1.0,20181025003014.0,21075^11077
33,,,,,13.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,72,0,1,0.0,29.0,1.0,20181025003015.0,11077.0
34,,,,,13.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,72,0,1,0.0,24.0,0.0,20181025003020.0,11077.0
35,,,,,13.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,72,0,1,0.0,24.0,0.0,20181025003024.0,21086.0
36,,,,1:2,13.0,10,11,19,13,14.0,11,7,1.0,2,1,7.0,6,5,73.7,73.3,63.6,82,72,0,1,0.0,24.0,0.0,20181025003041.0,11078.0
37,,,,^1:2,13.0,10,11,19,13,15.0,11,7,1.0,2,1,8.0,6,5,75.0,73.3,63.6,82,72,0,1,0.0,24.0,0.0,20181025003041.0,21086^11078
38,,,,^1:2,13.0,10,11,19,13,15.0,11,7,1.0,2,1,8.0,6,5,75.0,73.3,63.6,82,72,0,1,0.0,29.0,0.0,20181025003050.0,21086^11078
39,,,,2:2,13.0,10,11,19,13,16.0,11,7,1.0,2,1,8.0,6,5,76.2,73.3,63.6,84,72,0,1,0.0,29.0,0.0,20181025003102.0,11079.0
40,,,,,13.0,10,11,19,13,16.0,11,7,1.0,2,1,8.0,6,5,76.2,73.3,63.6,84,72,0,1,0.0,29.0,1.0,20181025003102.0,21077.0
41,,,,,13.0,10,11,19,13,16.0,11,7,1.0,2,1,8.0,6,5,76.2,73.3,63.6,84,72,0,1,0.0,27.0,1.0,20181025003104.0,11077.0
42,,,,,13.0,10,11,19,13,16.0,11,7,1.0,2,1,8.0,6,5,76.2,73.3,63.6,84,72,0,1,0.0,20.0,0.0,20181025003110.0,11077.0
43,,,,,13.0,10,11,19,13,16.0,11,7,1.0,2,1,8.0,6,5,76.2,73.3,63.6,84,72,0,1,0.0,20.0,0.0,20181025003111.0,21086.0
44,,,,1:2,13.0,10,11,19,13,16.0,11,7,1.0,2,1,8.0,6,5,76.2,73.3,63.6,84,72,0,1,0.0,20.0,0.0,20181025003116.0,11078.0
45,,,,^1:2,13.0,10,11,19,13,16.0,11,7,1.0,2,1,9.0,6,5,76.2,73.3,63.6,84,72,0,1,0.0,20.0,0.0,20181025003117.0,21086^11078
46,,,,^1:2,13.0,10,11,19,13,16.0,11,7,1.0,2,1,9.0,6,5,76.2,73.3,63.6,84,72,0,1,0.0,22.0,0.0,20181025003117.0,21086^11078
47,,,,1:2^2:2,13.0,10,11,19,13,17.0,11,7,1.0,2,1,9.0,6,5,77.3,73.3,63.6,85,72,0,1,0.0,22.0,0.0,20181025003131.0,11079^11078
48,,,,2:2,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,22.0,0.0,20181025003143.0,11079.0
49,,,,2:2,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,22.0,1.0,20181025003146.0,11079.0
50,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,13.0,1.0,20181025003155.0,21077.0
51,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,11.0,0.0,20181025003156.0,21077.0
52,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,11.0,1.0,20181025003211.0,21077.0
53,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,2.0,1.0,20181025003219.0,21077.0
54,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,2.0,1.0,20181025003220.0,11077.0
55,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,0.0,0.0,20181025003223.0,11077.0
56,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,0.0,0.0,20181025003223.0,1084.0
57,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,0.0,0.0,20181025003232.0,1084.0
58,,,,,13.0,10,11,19,13,18.0,11,7,1.0,2,1,9.0,6,5,78.3,73.3,63.6,86,72,0,1,0.0,0.0,0.0,20181025003232.0,1084.0
