,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,上半场,-2.5,0.8,2.5,0.95,93.5,0.87,93.5,0.87,,,,,,,,,,,,,,,,,,0.0,1,18.0,,0.0,0,,,0.0,0.0
1,,上半场,-2.5,0.8,2.5,0.95,93.5,0.87,93.5,0.87,,,,,,,,,,,,,,,,,,1.0,1,18.0,,0.0,0,,,0.0,0.0
2,,上半场,-2.5,0.8,2.5,0.95,93.5,0.87,93.5,0.87,,,,,,,,,,,,,,,,,,1.0,1,18.0,,0.0,0,,,0.0,0.0
3,,上半场,-2.5,0.8,2.5,0.95,93.5,0.87,93.5,0.87,,,,,,,,,,,,,,,,,,1.0,1,18.0,,0.0,0,,,0.0,0.0
4,,上半场,-2.5,0.8,2.5,0.95,93.5,0.87,93.5,0.87,,,,,,,,,,,,,,,,,,1.0,1,18.0,,0.0,0,,,0.0,0.0
5,,上半场,-2.5,0.8,2.5,0.95,93.5,0.87,93.5,0.87,,,,,,,,,,,,,,,,,,1.0,1,18.0,,0.0,0,,,0.0,0.0
6,,上半场,-2.5,0.8,2.5,0.95,93.5,0.87,93.5,0.87,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,1.0,1,18.0,GD,0.0,1.0,,1091.0,0.0,0.0
7,,上半场,-2.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,1.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,1.0,1,18.0,GD,0.0,1.0,,1091.0,0.0,0.0
8,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0,1,18.0,GD,0.0,1.0,,1091.0,0.87,0.87
9,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0,1,18.0,GD,0.0,1.0,,1091.0,0.87,0.87
10,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0,1,18.0,GD,0.0,1.0,,1091.0,0.87,0.87
11,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.05,0.74
12,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.05,0.74
13,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,18.0,GD,0.0,1.0,,11074.0,1.05,0.74
14,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.05,0.74
15,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.05,0.74
16,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1,18.0,GD,0.0,1.0,,11075.0,1.05,0.74
17,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.05,0.74
18,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
19,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1,18.0,GD,0.0,1.0,,11075.0,0.0,0.0
20,,上半场,-1.5,1.0,1.5,0.77,93.5,0.83,93.5,0.91,-1.5,1.0,,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
21,,上半场,-1.5,0.91,-4.5,0.83,93.5,0.83,93.5,0.91,-4.5,1.0,,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
22,,上半场,4.5,0.91,-4.5,0.83,93.5,0.83,93.5,0.91,4.5,1.0,,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
23,,上半场,4.5,0.91,-3.5,0.83,93.5,0.83,93.5,0.91,-3.5,1.0,,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
24,,上半场,3.5,0.91,-3.5,0.83,93.5,0.83,93.5,0.91,3.5,1.0,,2.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1,18.0,GD,0.0,1.0,,21074.0,0.0,0.0
25,,上半场,3.5,0.91,-3.5,0.83,93.5,0.83,93.5,0.91,3.5,1.0,,2.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
26,,上半场,3.5,0.91,-3.5,0.83,93.5,0.83,93.5,0.91,3.5,1.0,,2.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
27,,上半场,3.5,0.91,-3.5,0.83,93.5,0.83,93.5,0.91,3.5,1.0,,2.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
28,,上半场,3.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,-2.5,1.0,,2.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
29,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1,18.0,GD,0.0,1.0,,21074.0,1.3,0.63
30,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.3,0.63
31,,上半场,2.5,0.87,-2.5,0.87,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.3,0.63
32,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
33,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1,18.0,GD,0.0,1.0,,11074.0,1.35,0.61
34,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
35,,上半场,2.5,0.91,-3.5,0.83,93.5,0.83,93.5,0.91,-3.5,1.0,,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
36,,上半场,3.5,0.91,-3.5,0.87,93.5,0.83,93.5,0.91,3.5,1.0,,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
37,,上半场,3.5,0.87,-2.5,0.87,93.5,0.83,93.5,0.91,-2.5,1.0,,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
38,,上半场,2.5,0.87,-2.5,0.87,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,1,18.0,GD,0.0,1.0,,21075.0,1.25,0.65
39,,上半场,2.5,0.87,-2.5,0.87,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.25,0.65
40,,上半场,2.5,0.83,-2.5,0.91,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.2,0.66
41,,上半场,2.5,0.83,-2.5,0.91,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.2,0.66
42,,上半场,2.5,0.91,-1.5,0.83,93.5,0.83,93.5,0.91,-1.5,1.0,,2.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.2,0.66
43,,上半场,1.5,0.91,-1.5,0.83,93.5,0.83,93.5,0.91,1.5,1.0,,2.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,1,18.0,GD,0.0,1.0,,11074.0,1.1,0.71
44,,上半场,1.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,-2.5,1.0,,2.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
45,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
46,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
47,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
48,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
49,,上半场,2.5,0.91,-2.5,0.83,93.5,0.83,93.5,0.91,2.5,1.0,,2.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,8.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
50,,上半场,2.5,0.87,-3.5,0.87,93.5,0.83,93.5,0.91,-3.5,1.0,,2.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,8.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
