,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,3.0,27.5,0.8,-27.5,0.8695652173913043,146.5,0.8,146.5,0.8695652173913043,,,,,5.0,1.0,14.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,60.0,32,0,1,3.0,40.0,0,20181012195827,11086^21077
1,,3.0,27.5,0.8,-27.5,0.8695652173913043,146.5,0.8,146.5,0.8695652173913043,,,,,5.0,1.0,14.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,60.0,32,0,1,3.0,40.0,1.0,20181012195852.0,11086^21077
2,,3.0,27.5,0.8,-27.5,0.8695652173913043,146.5,0.8,146.5,0.8695652173913043,,,,,5.0,1.0,14.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,60.0,32,0,1,3.0,39.0,1.0,20181012195853.0,11086^21077
3,,3.0,27.5,0.8,-27.5,0.8695652173913043,145.5,0.9090909090909091,145.5,0.7692307692307693,,,,,5.0,1.0,14.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,60.0,32,0,1,3.0,30.0,1.0,20181012195902.0,21077.0
4,,3.0,27.5,0.8,-27.5,0.8695652173913043,145.5,0.9090909090909091,145.5,0.7692307692307693,,,,,5.0,1.0,14.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,60.0,32,0,1,3.0,25.0,1.0,20181012195902.0,21077.0
5,,3.0,27.5,0.8,-27.5,0.8695652173913043,144.5,0.8333333333333334,144.5,0.8333333333333334,,,,,5.0,1.0,14.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,60.0,32,0,1,3.0,17.0,1.0,20181012195915.0,21077.0
6,,3.0,30.5,0.8,-30.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,10.0,,^,,6.0,1.0,15.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,63.0,32,0,1,3.0,13.0,1.0,20181012195919.0,11075^21077
7,,3.0,30.5,0.8,-30.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,10.0,,,,6.0,1.0,15.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,63.0,32,0,1,3.0,12.0,1.0,20181012195920.0,21077.0
8,,3.0,30.5,0.8,-30.5,0.8695652173913043,147.5,0.7692307692307693,147.5,0.9090909090909091,10.0,,,,6.0,1.0,15.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,63.0,32,0,1,3.0,6.0,1.0,20181012195926.0,21077.0
9,,3.0,30.5,0.8,-30.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,10.0,,,,6.0,1.0,15.0,9.0,5.0,6.0,3,5,3.0,0.0,55.6,75.0,63.0,32,0,1,2.0,57.0,1.0,20181012195934.0,21077.0
