,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,178.5,0.8695652173913043,178.5,0.8,,,8.0,6.0,19.0,21.0,9.0,24.0,2,1,4.0,4.0,81.8,80.0,71,84,0,1,5.0,41.0,1,20181019174111,21077,0.005,16.0
1,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,178.5,0.8333333333333334,178.5,0.8333333333333334,,,8.0,6.0,19.0,21.0,9.0,24.0,2,1,4.0,4.0,81.8,80.0,71,84,0,1,5.0,38.0,0.0,20181019174114.0,21077,0.005,16.0
2,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,178.5,0.8333333333333334,178.5,0.8333333333333334,,^,8.0,6.0,19.0,21.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,84,0,1,5.0,39.0,0.0,20181019174115.0,11086^21077,0.005,16.0
3,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,178.5,0.8333333333333334,178.5,0.8333333333333334,,^,8.0,6.0,19.0,21.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,84,0,1,5.0,39.0,0.0,20181019174118.0,11086^21077,0.005,16.0
4,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,178.5,0.8333333333333334,178.5,0.8333333333333334,,^,8.0,6.0,19.0,21.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,84,0,1,5.0,38.0,1.0,20181019174129.0,11086^21077,0.005,16.0
5,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,178.5,0.8333333333333334,178.5,0.8333333333333334,,,8.0,6.0,19.0,21.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,84,0,1,5.0,38.0,1.0,20181019174137.0,21077.0,0.005,16.0
6,4.0,-14.5,0.7692307692307693,14.5,0.9090909090909091,179.5,0.8695652173913043,179.5,0.8,5.0,^,8.0,6.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,86,0,1,5.0,27.0,1.0,20181019174141.0,21074^11077,0.005,16.0
7,4.0,-14.5,0.7692307692307693,14.5,0.9090909090909091,179.5,0.8333333333333334,179.5,0.8333333333333334,5.0,,8.0,6.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,86,0,1,5.0,25.0,1.0,20181019174144.0,11077.0,0.005,16.0
8,4.0,-14.5,0.7692307692307693,14.5,0.9090909090909091,179.5,0.7692307692307693,179.5,0.9090909090909091,5.0,,8.0,6.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,86,0,1,5.0,18.0,1.0,20181019174151.0,11077.0,0.005,16.0
9,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,179.5,0.7692307692307693,179.5,0.9090909090909091,5.0,,8.0,6.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,86,0,1,5.0,20.0,1.0,20181019174153.0,21077.0,0.005,16.0
10,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,179.5,0.7692307692307693,179.5,0.9090909090909091,5.0,,8.0,6.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,86,0,1,5.0,19.0,1.0,20181019174154.0,21077.0,0.005,16.0
11,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,178.5,0.8333333333333334,178.5,0.8333333333333334,5.0,,8.0,6.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,86,0,1,5.0,11.0,1.0,20181019174202.0,21077.0,0.005,16.0
12,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,178.5,0.8333333333333334,178.5,0.8333333333333334,5.0,,8.0,6.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,86,0,1,5.0,9.0,1.0,20181019174204.0,21077.0,0.005,16.0
13,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,178.5,0.8,178.5,0.8695652173913043,5.0,,8.0,6.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,86,0,1,5.0,8.0,1.0,20181019174205.0,21077.0,0.005,16.0
14,4.0,-17.5,0.7692307692307693,17.5,0.9090909090909091,181.5,0.7692307692307693,181.5,0.9090909090909091,5.0,^,8.0,7.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,89,0,1,5.0,5.0,1.0,20181019174209.0,21075^11077,0.005,16.0
15,4.0,-17.5,0.7692307692307693,17.5,0.9090909090909091,181.5,0.7692307692307693,181.5,0.9090909090909091,5.0,,8.0,7.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,89,0,1,5.0,4.0,1.0,20181019174210.0,11077.0,0.005,16.0
16,4.0,-17.5,0.7692307692307693,17.5,0.9090909090909091,180.5,0.8333333333333334,180.5,0.8333333333333334,5.0,,8.0,7.0,19.0,22.0,9.0,24.0,2,1,5.0,4.0,81.8,80.0,71,89,0,1,4.0,55.0,1.0,20181019174218.0,11077.0,0.005,16.0
