,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
25,4.0,-34.5,0.0,34.5,0.0,2.0,,4.0,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,54,87,0,1,2.0,24.0,1.0,20181013022256.0,21077.0
26,4.0,-34.5,0.0,34.5,0.0,2.0,,4.0,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,54,87,0,1,2.0,15.0,1.0,20181013022304.0,21077.0
27,4.0,-34.5,0.0,34.5,0.0,2.0,,4.0,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,54,87,0,1,2.0,7.0,1.0,20181013022312.0,21077.0
28,4.0,-34.5,0.0,34.5,0.0,1.0,,4.0,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,54,87,0,1,1.0,59.0,1.0,20181013022320.0,21077.0
29,4.0,-34.5,0.0,34.5,0.0,1.0,,4.0,3,10,19.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,54,87,0,1,1.0,59.0,1.0,20181013022320.0,11077.0
30,4.0,-34.5,0.0,34.5,0.0,1.0,,4.0,3,10,19.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,54,87,0,1,1.0,59.0,1.0,20181013022350.0,11077.0
31,4.0,-34.5,0.0,34.5,0.0,1.0,,4.0,3,10,19.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,54,87,0,1,1.0,48.0,1.0,20181013022359.0,11077.0
32,4.0,-34.5,0.0,34.5,0.0,1.0,,4.0,3,10,19.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,54,87,0,1,1.0,40.0,1.0,20181013022407.0,11077.0
33,4.0,-32.5,0.0,32.5,0.0,1.0,^,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,37.0,1.0,20181013022411.0,11074^21077
34,4.0,-32.5,0.0,32.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,28.0,1.0,20181013022419.0,21077.0
35,4.0,-32.5,0.0,32.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,23.0,0.0,20181013022425.0,21077.0
36,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,23.0,0.0,20181013022433.0,11077.0
37,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,23.0,1.0,20181013022439.0,11077.0
38,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,14.0,1.0,20181013022447.0,11077.0
39,4.0,-30.5,0.0,30.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,6.0,1.0,20181013022455.0,11077.0
40,4.0,-30.5,0.0,30.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,4.0,1.0,20181013022458.0,11095.0
41,4.0,-30.5,0.0,30.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,2.0,0.0,20181013022459.0,11095.0
42,4.0,-30.5,0.0,30.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,1.0,2.0,1.0,20181013022511.0,11095.0
43,4.0,-30.5,0.0,30.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,0.0,53.0,1.0,20181013022520.0,11095.0
44,4.0,-30.5,0.0,30.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,0.0,51.0,1.0,20181013022522.0,11095.0
45,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,0.0,51.0,1.0,20181013022523.0,21077.0
46,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,20.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,87,0,1,0.0,42.0,1.0,20181013022531.0,21077.0
47,4.0,-32.5,0.0,32.5,0.0,1.0,^,4.0,3,10,24.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,89,0,1,0.0,37.0,1.0,20181013022536.0,21074^11077
48,4.0,-32.5,0.0,32.5,0.0,1.0,,4.0,3,10,24.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,89,0,1,0.0,36.0,1.0,20181013022537.0,11077.0
49,4.0,-32.5,0.0,32.5,0.0,1.0,,4.0,3,10,24.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,89,0,1,0.0,35.0,0.0,20181013022539.0,11077.0
50,4.0,-32.5,0.0,32.5,0.0,1.0,,4.0,3,10,24.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,89,0,1,0.0,35.0,1.0,20181013022553.0,11077.0
51,4.0,-32.5,0.0,32.5,0.0,1.0,,4.0,3,10,24.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,56,89,0,1,0.0,26.0,1.0,20181013022601.0,11077.0
52,4.0,-31.5,0.0,31.5,0.0,1.0,^,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,26.0,1.0,20181013022602.0,11074^21077
53,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,20.0,0.0,20181013022607.0,21077.0
54,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,20.0,1.0,20181013022614.0,21077.0
55,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,11.0,1.0,20181013022622.0,21077.0
56,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,11.0,1.0,20181013022623.0,21077.0
57,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,2.0,1.0,20181013022631.0,11077.0
58,4.0,-31.5,0.0,31.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,2.0,1.0,20181013022632.0,11094.0
59,4.0,-33.5,0.0,33.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,0.0,0.0,20181013022636.0,21077.0
60,4.0,-33.5,0.0,33.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,0.0,0.0,20181013022644.0,21095.0
61,4.0,-33.5,0.0,33.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,0.0,0.0,20181013022644.0,1084.0
62,4.0,-33.5,0.0,33.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,0.0,0.0,20181013022720.0,1084.0
63,4.0,-33.5,0.0,33.5,0.0,1.0,,4.0,3,10,21.0,17,23,4.0,3,11,3,5,2.0,0,0,44.4,42.9,68.8,58,89,0,1,0.0,0.0,0.0,20181013022720.0,1084.0
