,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,113.5,1.0,113.5,0.7142857142857143,,,4,2,17.0,13.0,13,9,4,1,1.0,3,59.1,56.2,58.0,41.0,0,1,4.0,15.0,1,20180919095017,21077
1,4.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,113.5,0.8333333333333334,113.5,0.8333333333333334,,,4,2,17.0,13.0,13,9,4,1,1.0,3,59.1,56.2,58.0,41.0,0,1,4.0,6.0,1,20180919095025.0,21077
2,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,115.5,0.8333333333333334,115.5,0.8333333333333334,,^,4,2,17.0,14.0,13,9,4,1,1.0,3,59.1,56.2,58.0,43.0,0,1,4.0,5.0,1,20180919095027.0,21074^11077
3,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,115.5,0.8,115.5,0.8695652173913043,,,4,2,17.0,14.0,13,9,4,1,1.0,3,59.1,56.2,58.0,43.0,0,1,4.0,3.0,1,20180919095029.0,11077.0
4,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,,,4,2,17.0,14.0,13,9,4,1,1.0,3,59.1,56.2,58.0,43.0,0,1,3.0,54.0,1,20180919095037.0,11077.0
5,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,114.5,0.8,114.5,0.8695652173913043,,,4,2,17.0,14.0,13,9,4,1,1.0,3,59.1,56.2,58.0,43.0,0,1,3.0,46.0,1,20180919095045.0,11077.0
6,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,114.5,0.7142857142857143,114.5,1.0,,,4,2,17.0,14.0,13,9,4,1,1.0,3,59.1,56.2,58.0,43.0,0,1,3.0,42.0,0.0,20180919095049.0,11077.0
7,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,114.5,0.7142857142857143,114.5,1.0,,,4,2,17.0,14.0,13,9,4,1,1.0,3,59.1,56.2,58.0,43.0,0,1,3.0,42.0,1.0,20180919095107.0,11077.0
8,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,113.5,1.0,113.5,0.7142857142857143,,,4,2,17.0,14.0,13,9,4,1,1.0,3,59.1,56.2,58.0,43.0,0,1,3.0,42.0,1.0,20180919095108.0,11077.0
9,4.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,115.5,1.0,115.5,0.7142857142857143,,^,4,2,18.0,14.0,13,9,4,1,1.0,3,59.1,56.2,60.0,43.0,0,1,3.0,40.0,1.0,20180919095111.0,11074^21077
10,4.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,115.5,1.0,115.5,0.7142857142857143,,,4,2,18.0,14.0,13,9,4,1,1.0,3,59.1,56.2,60.0,43.0,0,1,3.0,39.0,1.0,20180919095111.0,21077.0
11,4.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,115.5,0.8333333333333334,115.5,0.8333333333333334,,,4,2,18.0,14.0,13,9,4,1,1.0,3,59.1,56.2,60.0,43.0,0,1,3.0,30.0,1.0,20180919095120.0,21077.0
12,4.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,,,4,2,18.0,14.0,13,9,4,1,1.0,3,59.1,56.2,60.0,43.0,0,1,3.0,22.0,1.0,20180919095128.0,11077.0
13,4.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,114.5,0.8,114.5,0.8695652173913043,,,4,2,18.0,14.0,13,9,4,1,1.0,3,59.1,56.2,60.0,43.0,0,1,3.0,13.0,1.0,20180919095136.0,11077.0
