,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
10,,,,,-1.5,0.8333333333333334,1.5,0.8333333333333334,168.5,0.8333333333333334,168.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,33.0,1.0,20180913170726.0,11077.0,0.7692307692307693,0.9090909090909091,
11,,,,,-1.5,0.8333333333333334,1.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,25.0,1.0,20180913170734.0,11077.0,0.7692307692307693,0.9090909090909091,
12,,,,,-1.5,0.8333333333333334,1.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,25.0,1.0,20180913170735.0,21077.0,0.7692307692307693,0.9090909090909091,
13,,,,,-1.5,0.8333333333333334,1.5,0.8333333333333334,167.5,0.8,167.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,16.0,1.0,20180913170743.0,21077.0,0.7692307692307693,0.9090909090909091,
14,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,169.5,0.8333333333333334,169.5,0.8333333333333334,,,^,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,14.0,1.0,20180913170745.0,21074^11077,0.5,1.5,"0.12,0.51^"
15,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,168.5,0.8333333333333334,168.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,5.0,1.0,20180913170753.0,11077.0,0.5,1.5,
16,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,168.5,0.8333333333333334,168.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,5.0,1.0,20180913170753.0,21077.0,0.5,1.5,
17,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,56.0,0.0,20180913170804.0,21077.0,0.5,1.5,
18,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,^,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,56.0,0.0,20180913170816.0,11086^21077,0.5,1.5,^
19,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,^,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,56.0,1.0,20180913170825.0,11086^21077,0.5,1.5,^
20,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,56.0,1.0,20180913170825.0,11077.0,0.5,1.5,
21,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,169.5,0.8333333333333334,169.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,45.0,1.0,20180913170835.0,11077.0,0.5,1.5,
22,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,168.5,0.8333333333333334,168.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,37.0,1.0,20180913170843.0,11077.0,0.5,1.5,
23,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,29.0,1.0,20180913170852.0,11077.0,0.5,1.5,
24,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,28.0,0.0,20180913170852.0,11077.0,0.5,1.5,
25,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,28.0,0.0,20180913170852.0,21077.0,0.5,1.5,
26,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,29.0,0.0,20180913170905.0,21077.0,0.5,1.5,
27,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,27.0,1.0,20180913170908.0,21077.0,0.5,1.5,
28,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,166.5,0.8333333333333334,166.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,18.0,1.0,20180913170916.0,21077.0,0.5,1.5,
29,,,,,-5.5,0.8,5.5,0.8695652173913043,166.5,0.8333333333333334,166.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,19.0,1.0,20180913170916.0,11077.0,0.5,1.5,
30,,,,,-5.5,0.8,5.5,0.8695652173913043,166.5,0.8,166.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,10.0,1.0,20180913170924.0,11077.0,0.5,1.5,
31,,,,,-6.5,0.8695652173913043,6.5,0.8,166.5,0.8,166.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,9.0,10.0,1.0,20180913170924.0,21077.0,0.5,1.5,
32,,,,,-6.5,0.8695652173913043,6.5,0.8,164.5,0.8,164.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,57.0,1.0,20180913170938.0,21095.0,0.5,1.5,"0.13,0.54"
33,,,,,-5.5,0.8,5.5,0.8695652173913043,163.5,0.8,163.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,48.0,1.0,20180913170946.0,11077.0,0.5,1.5,
34,,,,,-5.5,0.8,5.5,0.8695652173913043,163.5,0.8,163.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,40.0,1.0,20180913170954.0,11077.0,0.5,1.5,
35,,,,,-6.5,0.8695652173913043,6.5,0.8,163.5,0.8,163.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,40.0,1.0,20180913170954.0,21077.0,0.38461538461538464,1.85,
36,,,,,-6.5,0.8695652173913043,6.5,0.8,163.5,0.8,163.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,40.0,1.0,20180913170954.0,11077.0,0.38461538461538464,1.85,
37,,,,,-6.5,0.8695652173913043,6.5,0.8,164.5,0.8,164.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,25.0,1.0,20180913171009.0,11077.0,0.38461538461538464,1.85,
38,,,,,-6.5,0.8695652173913043,6.5,0.8,164.5,0.8,164.5,0.8695652173913043,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,25.0,1.0,20180913171012.0,21077.0,0.38461538461538464,1.85,
39,,,,,-6.5,0.8695652173913043,6.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,14.0,1.0,20180913171020.0,21077.0,0.38461538461538464,1.85,
40,,,,,-6.5,0.8695652173913043,6.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,7.0,14.0,1.0,20180913171020.0,11077.0,0.38461538461538464,1.85,
41,,,,,-6.5,0.8695652173913043,6.5,0.8,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,58.0,1.0,20180913171036.0,11077.0,0.38461538461538464,1.85,
42,,,,,-6.5,0.8695652173913043,6.5,0.8,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,52.0,1.0,20180913171043.0,11077.0,0.38461538461538464,1.85,
43,,,,,-6.5,0.8695652173913043,6.5,0.8,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,52.0,1.0,20180913171043.0,11077.0,0.38461538461538464,1.85,
44,,,,,-6.5,0.8695652173913043,6.5,0.8,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,52.0,1.0,20180913171055.0,21077.0,0.38461538461538464,1.85,
45,,,,,-6.5,0.8695652173913043,6.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,31.0,1.0,20180913171103.0,21077.0,0.38461538461538464,1.85,
46,,,,,-6.5,0.8695652173913043,6.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,32.0,1.0,20180913171103.0,11077.0,0.45454545454545453,1.6,
47,,,,,-6.5,0.8333333333333334,6.5,0.8333333333333334,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,32.0,1.0,20180913171107.0,21077.0,0.43478260869565216,1.65,
48,,,,,-6.5,0.8333333333333334,6.5,0.8333333333333334,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,32.0,1.0,20180913171107.0,11077.0,0.43478260869565216,1.65,
49,,,,,-6.5,0.8333333333333334,6.5,0.8333333333333334,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,12.0,1.0,20180913171122.0,11077.0,0.43478260869565216,1.65,
50,,,,,-6.5,0.8,6.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0,1,6.0,6.0,1.0,20180913171128.0,21077.0,0.3448275862068966,2.15,
51,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,^,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,6.0,2.0,1.0,20180913171132.0,21074^11077,0.2857142857142857,2.5,"0.13,0.52^"
52,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,6.0,2.0,1.0,20180913171133.0,11077.0,0.2857142857142857,2.5,
53,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,6.0,2.0,0.0,20180913171133.0,11077.0,0.2857142857142857,2.5,
54,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8695652173913043,165.5,0.8,19.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,6.0,3.0,0.0,20180913171137.0,11077.0,0.2857142857142857,2.5,
55,44.0,5.0,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,6.0,1.0,0.0,20180913171140.0,11081.0,0.2857142857142857,2.5,
56,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,6.0,1.0,0.0,20180913171308.0,11077.0,0.2857142857142857,2.5,
57,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,6.0,1.0,1.0,20180913171308.0,11077.0,0.2857142857142857,2.5,
58,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,5.0,57.0,1.0,20180913171312.0,21077.0,0.26666666666666666,2.65,
59,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,5.0,57.0,1.0,20180913171312.0,11077.0,0.26666666666666666,2.65,
60,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8,165.5,0.8695652173913043,19.0,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,5.0,46.0,1.0,20180913171321.0,11077.0,0.26666666666666666,2.65,
61,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,166.5,0.8333333333333334,166.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,5.0,38.0,1.0,20180913171330.0,11077.0,0.26666666666666666,2.65,
62,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,5.0,32.0,0.0,20180913171336.0,11077.0,0.26666666666666666,2.65,
63,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0,1,5.0,30.0,0.0,20180913171340.0,11077.0,0.26666666666666666,2.65,
64,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,^,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,3.0,12.0,0,1,5.0,34.0,0.0,20180913171342.0,21086^11077,0.26666666666666666,2.65,^
65,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,19.0,,^,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,3.0,12.0,0,1,5.0,34.0,1.0,20180913171351.0,21086^11077,0.26666666666666666,2.65,^
66,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,164.5,0.8695652173913043,164.5,0.8,19.0,,^,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,3.0,12.0,0,1,5.0,25.0,1.0,20180913171359.0,21086^11077,0.26666666666666666,2.65,^
67,,,,,-8.5,0.8333333333333334,8.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,19.0,,^,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,3.0,12.0,0,1,5.0,19.0,0.0,20180913171407.0,21086^11077,0.26666666666666666,2.65,^
