,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,3.0,-22.5,0.8,22.5,0.8695652173913043,126.5,0.7692307692307693,126.5,0.9090909090909091,,,,,4.0,6,11.0,13.0,1,11.0,1,3,2.0,2.0,100.0,73.3,35,55,0,1,0.0,27.0,1,20180922154012,11077
1,,3.0,-19.5,0.8,19.5,0.8695652173913043,129.5,0.7692307692307693,129.5,0.9090909090909091,,,,,5.0,6,11.0,13.0,1,11.0,1,3,2.0,2.0,100.0,73.3,38,55,0,1,0.0,19.0,1,20180922154020.0,11075.0
2,,3.0,-19.5,0.8,19.5,0.8695652173913043,129.5,0.7692307692307693,129.5,0.9090909090909091,,,,,5.0,6,11.0,13.0,1,11.0,1,3,2.0,2.0,100.0,73.3,38,55,0,1,0.0,18.0,1,20180922154020.0,11075.0
3,,3.0,-20.5,0.8,20.5,0.8695652173913043,128.5,0.8695652173913043,128.5,0.8,,,,,5.0,6,11.0,13.0,1,11.0,1,3,2.0,2.0,100.0,73.3,38,55,0,1,0.0,14.0,1,20180922154024.0,21077.0
4,,3.0,-20.5,0.8,20.5,0.8695652173913043,128.5,0.8,128.5,0.8695652173913043,,,,,5.0,6,11.0,13.0,1,11.0,1,3,2.0,2.0,100.0,73.3,38,55,0,1,0.0,5.0,1,20180922154033.0,21077.0
5,,3.0,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8695652173913043,127.5,0.8,,,,,5.0,6,11.0,13.0,1,11.0,1,3,2.0,2.0,100.0,73.3,38,55,0,1,0.0,0.0,1,20180922154039.0,11077.0
6,,3.0,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8695652173913043,127.5,0.8,,,,,5.0,6,11.0,13.0,1,11.0,1,3,2.0,2.0,100.0,73.3,38,55,0,1,0.0,0.0,0.0,20180922154040.0,11077.0
7,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8695652173913043,127.5,0.8,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,10.0,0.0,0.0,20180922154043.0,1082.0
8,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8695652173913043,127.5,0.8,,4.0,^,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,10.0,0.0,1.0,20180922154224.0,01090^21077
9,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8695652173913043,127.5,0.8,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,9.0,59.0,1.0,20180922154225.0,11077.0
10,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8333333333333334,127.5,0.8333333333333334,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,9.0,56.0,0.0,20180922154228.0,11077.0
11,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8333333333333334,127.5,0.8333333333333334,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,9.0,56.0,0.0,20180922154231.0,11077.0
12,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8333333333333334,127.5,0.8333333333333334,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,9.0,56.0,1.0,20180922154242.0,11077.0
13,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,127.5,0.8333333333333334,127.5,0.8333333333333334,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,9.0,56.0,1.0,20180922154243.0,21077.0
14,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8,127.5,0.7692307692307693,127.5,0.9090909090909091,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,9.0,47.0,1.0,20180922154251.0,21077.0
15,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,126.5,0.8695652173913043,126.5,0.8,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,9.0,43.0,1.0,20180922154254.0,11077.0
16,Q4,4th Quarter,-19.5,0.7692307692307693,19.5,0.9090909090909091,126.5,0.8,126.5,0.8695652173913043,,4.0,,,5.0,6,11.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,38,55,0,1,9.0,35.0,1.0,20180922154302.0,11077.0
17,Q4,4th Quarter,-17.5,0.7692307692307693,17.5,0.9090909090909091,128.5,0.7692307692307693,128.5,0.9090909090909091,,4.0,,,5.0,6,12.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,40,55,0,1,9.0,29.0,1.0,20180922154309.0,11074.0
18,Q4,4th Quarter,-18.5,0.8695652173913043,18.5,0.8,127.5,0.9090909090909091,127.5,0.7692307692307693,,4.0,,,5.0,6,12.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,40,55,0,1,9.0,27.0,1.0,20180922154311.0,21077.0
19,Q4,4th Quarter,-18.5,0.8695652173913043,18.5,0.8,127.5,0.8333333333333334,127.5,0.8333333333333334,,4.0,,,5.0,6,12.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,40,55,0,1,9.0,18.0,1.0,20180922154320.0,21077.0
20,Q4,4th Quarter,-18.5,0.8695652173913043,18.5,0.8,126.5,0.9090909090909091,126.5,0.7692307692307693,,4.0,,,5.0,6,12.0,13.0,1,11.0,1,3,0.0,0.0,100.0,73.3,40,55,0,1,9.0,10.0,1.0,20180922154328.0,21077.0
21,Q4,4th Quarter,-20.5,0.9090909090909091,20.5,0.7692307692307693,128.5,0.9090909090909091,128.5,0.7692307692307693,,4.0,,,5.0,6,12.0,14.0,1,11.0,1,3,0.0,0.0,100.0,73.3,40,57,0,1,9.0,8.0,1.0,20180922154330.0,21074.0
