,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,KI,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
0,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.47,1.7,
1,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.47,1.7,
2,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.47,1.7,
3,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.47,1.7,
4,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.47,1.7,
5,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,0.47,1.7,
6,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,,,1.0,9283258.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,,1,10.0,GD,0.0,0,,1087.0,,0.47,1.7,
7,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,"#0A0A0A,#0A0A0A,#0A0A0A,#0A0A0A,#FF0000,#0000FF,#3D4A4E",0.0,1.0,9283258.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,10.0,GD,0.0,0,,21077.0,,0.47,1.7,
8,,,,第1节,-4.5,0.87,4.5,0.87,174.5,0.87,174.5,0.87,,"#0A0A0A,#0A0A0A,#0A0A0A,#0A0A0A,#FF0000,#0000FF,#3D4A4E",0.0,1.0,9283258.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,53.0,0,,11077.0,,0.47,1.7,
9,,,,第1节,-4.5,0.87,4.5,0.87,173.5,0.91,173.5,0.83,173.5,"#0A0A0A,#0A0A0A,#0A0A0A,#0A0A0A,#FF0000,#0000FF,#3D4A4E",0.0,1.0,9283258.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#0A0A0A,1,9.0,GD,53.0,0,,11077.0,,0.47,1.7,
