,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
11,,,,第1节,,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,,1.0,8764711.0,0.77,,,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,1,12.0,GD,0.0,1.0,20180513204045.0,11077.0,,0.91,0.83
12,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,,,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,1,12.0,GD,0.0,1.0,20180513204045.0,11077.0,,0.91,0.83
13,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.95,,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,1,12.0,GD,0.0,1.0,20180513204045.0,11077.0,,0.91,0.83
14,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.95,,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,1,12.0,GD,0.0,1.0,20180513204045.0,11077.0,,0.91,0.83
15,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.95,,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,1,12.0,GD,0.0,1.0,20180513204045.0,11074.0,,0.91,0.83
16,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.95,,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,1,12.0,GD,0.0,1.0,20180513204045.0,21077.0,,0.91,0.83
17,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,1,12.0,GD,0.0,1.0,20180513204045.0,21077.0,,0.91,0.83
18,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.77,,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,1,11.0,GD,10.0,0.0,20180513204045.0,21077.0,,0.91,0.83
19,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.77,,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,1,11.0,GD,10.0,0.0,20180513204045.0,11086.0,,0.91,0.83
20,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.77,,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,1,11.0,GD,10.0,0.0,20180513204045.0,21077.0,,0.91,0.83
21,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,1:2,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,1,11.0,GD,10.0,0.0,20180513204045.0,21078.0,,0.91,0.83
22,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.95,1:2,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,1,11.0,GD,10.0,0.0,20180513204045.0,21080.0,,0.91,0.83
23,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.77,2:2,,0.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,1,11.0,GD,10.0,0.0,20180513204045.0,21078.0,,0.91,0.83
24,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,2:2,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,11.0,GD,10.0,0.0,20180513204045.0,21079.0,,0.91,0.83
25,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,11.0,GD,10.0,1.0,20180513204228.0,11077.0,,0.91,0.83
26,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,11.0,GD,10.0,1.0,20180513204228.0,11077.0,,0.91,0.83
27,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,11.0,GD,4.0,0.0,20180513204228.0,11077.0,,0.91,0.83
28,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,11.0,GD,4.0,0.0,20180513204228.0,11077.0,,0.91,0.83
29,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,1.0,1.0,6.0,0.0,50.0,3.0,2.0,0.0,1,11.0,GD,4.0,1.0,20180513204251.0,11077.0,,0.91,0.83
