,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,LA,LM,MD,OD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,,,,,,,,,3,7,,9,10,,10,4,,3,4,,0,5,,76.9,80.0,,37,45,0.0,1,3.0,43.0,0,20180911150555,11078,0.5,1.5,
1,,,,,131.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,131.5,131.5,,,1.65,1:2^2:2,,,3,7,,9,10,,10,4,,3,4,,0,5,71.4,76.9,80.0,,37,45,0.0,1,3.0,43.0,0,20180911150621.0,11080^11078,0.5,1.5,^
2,,,,,131.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,131.5,131.5,,,0.8333333333333334,1:2^2:2,,,3,7,,9,10,,10,4,,3,4,,0,5,71.4,76.9,80.0,,37,45,0.0,1,3.0,43.0,0,20180911150621.0,11080^11078,0.5,1.5,^
3,,,,,131.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,131.5,131.5,,,0.43478260869565216,1:2^2:2,,,3,7,,9,10,,10,4,,3,4,,0,5,71.4,76.9,80.0,,37,45,0.0,1,3.0,43.0,0,20180911150621.0,11080^11078,0.5,1.5,^
4,,,,,131.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,131.5,131.5,,,0.8333333333333334,1:2^2:2,,,3,7,,9,10,,10,4,,3,4,,0,5,71.4,76.9,80.0,,37,45,0.0,1,3.0,43.0,0,20180911150621.0,11080^11078,0.5,1.5,^
5,,,,,131.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,131.5,131.5,,,0.8333333333333334,1:2^2:2,,,3,7,,9,10,,10,4,,3,4,,0,5,71.4,76.9,80.0,,37,45,0.0,1,3.0,43.0,0,20180911150621.0,11080^11078,0.5,1.5,^
6,,,,,131.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,131.5,131.5,,,0.8333333333333334,2:2^,,,3,7,,9,10,11.0,10,4,,3,4,,0,5,73.3,76.9,80.0,,38,45,0.0,1,3.0,43.0,0,20180911150621.0,11079^21077,0.5,1.5,^
7,,,,,132.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,132.5,132.5,,,1.55,2:2^,,,3,7,,9,10,11.0,10,4,,3,4,,0,5,73.3,76.9,80.0,,38,45,0.0,1,3.0,43.0,0,20180911150631.0,11079^21077,0.5,1.5,^
8,,,,,132.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,132.5,132.5,,,0.47619047619047616,,,,3,7,,9,10,11.0,10,4,,3,4,,0,5,73.3,76.9,80.0,38.0,38,45,0.0,1,3.0,43.0,0.0,20180911150631.0,21077.0,0.5,1.5,
9,,,,,132.5,-3.5,0.9090909090909091,3.5,0.7692307692307693,132.5,0.8,132.5,0.8695652173913043,132.5,132.5,,,0.47619047619047616,,,,3,7,,9,10,11.0,10,4,,3,4,,0,5,73.3,76.9,80.0,38.0,38,45,0.0,1,3.0,43.0,1.0,20180911150632.0,21077.0,0.5,1.5,
