,ED,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,7,10,,38,28,,19,14,4,-2,,5,8,,73.1,63.6,116,100,0,1,1.0,56.0,0,20181103025204,21077
1,,,,7,10,,38,28,,19,14,4,-2,,5,8,,73.1,63.6,116,100,0,1,1.0,56.0,1.0,20181103025212.0,21077
2,,,,7,10,,38,28,,19,14,4,-2,,5,8,,73.1,63.6,116,100,0,1,1.0,55.0,1.0,20181103025212.0,21077
3,,,,7,10,,38,28,,19,14,4,-2,,5,8,,73.1,63.6,116,100,0,1,1.0,47.0,1.0,20181103025221.0,21077
4,,,,7,10,,38,28,,19,14,4,-2,,5,8,,73.1,63.6,116,100,0,1,1.0,38.0,1.0,20181103025229.0,21077
5,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,116,102,0,1,1.0,38.0,1.0,20181103025230.0,11077.0
6,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,116,102,0,1,1.0,29.0,1.0,20181103025238.0,11077.0
7,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,116,102,0,1,1.0,21.0,1.0,20181103025246.0,11077.0
8,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,102,0,1,1.0,13.0,1.0,20181103025254.0,11077.0
9,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,102,0,1,1.0,13.0,1.0,20181103025255.0,21077.0
10,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,102,0,1,1.0,9.0,0.0,20181103025259.0,21077.0
11,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,102,0,1,1.0,2.0,0.0,20181103025300.0,21077.0
12,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,102,0,1,1.0,16.0,1.0,20181103025301.0,21077.0
13,,,,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,102,0,1,1.0,7.0,1.0,20181103025310.0,21077.0
14,,^,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,1.0,6.0,1.0,20181103025312.0,21075^11077
15,,,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,0.0,55.0,1.0,20181103025320.0,11077.0
16,,,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,0.0,47.0,1.0,20181103025328.0,11077.0
17,,,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,0.0,50.0,0.0,20181103025330.0,11077.0
18,,,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,0.0,48.0,0.0,20181103025332.0,11077.0
19,,,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,0.0,52.0,1.0,20181103025344.0,11077.0
20,,,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,0.0,43.0,1.0,20181103025352.0,11077.0
21,,,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,0.0,38.0,1.0,20181103025358.0,11095.0
22,,,11.0,7,10,29.0,38,28,,19,14,4,-2,,5,8,,73.1,63.6,118,105,0,1,0.0,30.0,0.0,20181103025406.0,21077.0
23,,^,11.0,7,10,29.0,38,28,,19,14,4,-2,6.0,5,8,,73.1,63.6,118,105,0,1,0.0,30.0,0.0,20181103025409.0,11086^21077
24,,1:2,11.0,7,10,29.0,38,28,,19,14,4,-2,6.0,5,8,,73.1,63.6,118,105,0,1,0.0,30.0,0.0,20181103025410.0,21078.0
25,,1:2^2:2,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,65.2,73.1,63.6,118,106,0,1,0.0,30.0,0.0,20181103025450.0,21079^21078
26,,2:2^,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,30.0,1.0,20181103025507.0,21080^11077
27,,,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,29.0,1.0,20181103025508.0,11077.0
28,,,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,20.0,1.0,20181103025516.0,11077.0
29,,,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,12.0,1.0,20181103025525.0,11077.0
30,,,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,8.0,1.0,20181103025528.0,11095.0
31,,,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,8.0,1.0,20181103025529.0,21077.0
32,,,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,0.0,0.0,20181103025537.0,21077.0
33,,,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,0.0,0.0,20181103025544.0,21077.0
34,,,11.0,7,10,29.0,38,28,15.0,19,14,4,-2,6.0,5,8,62.5,73.1,63.6,118,106,0,1,0.0,0.0,0.0,20181103025544.0,1084.0
