,AM,AS,ED,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,,,0,1,4.0,11.0,0,20181017131914,21079^21078
1,,,,,2:2^,81.0,85.0,0,1,4.0,11.0,0,20181017131914,21079^11077
2,,,,,2:2^,81.0,85.0,0,1,4.0,11.0,1.0,20181017131953.0,21079^11077
3,,,,,2:2^,81.0,85.0,0,1,4.0,2.0,1.0,20181017132002.0,21079^11077
4,,,,,2:2^,81.0,85.0,0,1,4.0,1.0,1.0,20181017132003.0,21079^11077
5,,,,,2:2^,81.0,85.0,0,1,3.0,57.0,0.0,20181017132007.0,21079^11077
6,,,,,^,81.0,85.0,0,1,3.0,57.0,0.0,20181017132007.0,21086^11077
7,,,,,1:2^2:2,81.0,85.0,0,1,3.0,57.0,0.0,20181017132007.0,11080^11078
8,,,,,1:2^2:2,81.0,85.0,0,1,3.0,57.0,1.0,20181017132046.0,11080^11078
9,,,,,1:2^2:2,81.0,85.0,0,1,3.0,49.0,1.0,20181017132054.0,11080^11078
10,,,,,1:2^2:2,81.0,85.0,0,1,3.0,47.0,1.0,20181017132056.0,11080^11078
11,,,,,,81.0,85.0,0,1,3.0,43.0,1.0,20181017132100.0,11077.0
12,,,,,,81.0,85.0,0,1,3.0,37.0,1.0,20181017132106.0,11077.0
13,,,,,,81.0,85.0,0,1,3.0,34.0,1.0,20181017132109.0,21077.0
14,,,,,,81.0,85.0,0,1,3.0,25.0,1.0,20181017132118.0,21077.0
15,,,,,,81.0,85.0,0,1,3.0,20.0,1.0,20181017132123.0,21077.0
16,,,,,,81.0,85.0,0,1,3.0,16.0,0.0,20181017132127.0,21077.0
17,,,,,,81.0,85.0,0,1,3.0,16.0,1.0,20181017132142.0,21077.0
18,,,,,,81.0,85.0,0,1,3.0,12.0,1.0,20181017132146.0,21077.0
19,,,,,,81.0,85.0,0,1,3.0,10.0,1.0,20181017132148.0,21077.0
20,,,,,,81.0,85.0,0,1,3.0,6.0,1.0,20181017132152.0,11077.0
21,,,,,,81.0,85.0,0,1,2.0,58.0,1.0,20181017132200.0,11077.0
22,,,,,,81.0,85.0,0,1,2.0,58.0,1.0,20181017132201.0,11077.0
23,,,,,^,84.0,85.0,0,1,2.0,52.0,1.0,20181017132206.0,11074^21077
