,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
56,,,,-15.5,0.8333333333333334,15.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,2:2^,56.0,70.0,0,1,4.0,21.0,0.0,20180913153835.0,11079^21077,^
57,,,,-15.5,0.8333333333333334,15.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,2:2^,56.0,70.0,0,1,4.0,21.0,1.0,20180913153840.0,11079^21077,^
58,,,,-15.5,0.8333333333333334,15.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,2:2^,56.0,70.0,0,1,4.0,20.0,1.0,20180913153841.0,11079^21077,^
59,,,,-15.5,0.8333333333333334,15.5,0.8333333333333334,143.5,0.8,143.5,0.8695652173913043,,,56.0,70.0,0,1,4.0,18.0,1.0,20180913153843.0,21077.0,
60,,,,-15.5,0.8333333333333334,15.5,0.8333333333333334,142.5,0.9090909090909091,142.5,0.7692307692307693,,,56.0,70.0,0,1,4.0,9.0,1.0,20180913153851.0,21077.0,
61,,,,-17.5,0.8333333333333334,17.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,^,56.0,73.0,0,1,4.0,5.0,1.0,20180913153857.0,21075^11077,^
62,,,,-17.5,0.8333333333333334,17.5,0.8333333333333334,145.5,0.8,145.5,0.8695652173913043,,,56.0,73.0,0,1,4.0,2.0,1.0,20180913153900.0,11077.0,
63,,,,-17.5,0.8695652173913043,17.5,0.8,144.5,0.9090909090909091,144.5,0.7692307692307693,,,56.0,73.0,0,1,3.0,53.0,1.0,20180913153908.0,11077.0,
64,,,,-17.5,0.8695652173913043,17.5,0.8,144.5,0.7692307692307693,144.5,0.9090909090909091,,,56.0,73.0,0,1,3.0,45.0,1.0,20180913153916.0,11077.0,
65,,,,-17.5,0.8695652173913043,17.5,0.8,143.5,1.0,143.5,0.7142857142857143,,,56.0,73.0,0,1,3.0,41.0,0.0,20180913153920.0,11077.0,
66,,,,-17.5,0.8695652173913043,17.5,0.8,143.5,1.0,143.5,0.7142857142857143,,^,56.0,73.0,0,1,3.0,42.0,0.0,20180913153928.0,21086^11077,^
67,,,,-16.5,0.7692307692307693,16.5,0.9090909090909091,145.5,0.8,145.5,0.8695652173913043,,1:2,56.0,73.0,0,1,3.0,42.0,0.0,20180913153930.0,11078.0,
68,,,,-17.5,0.8333333333333334,17.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,1:2^2:2,56.0,73.0,0,1,3.0,42.0,0.0,20180913153958.0,11080^11078,^
69,,,,-17.5,0.8695652173913043,17.5,0.8,144.5,1.0,144.5,0.7142857142857143,,2:2^,57.0,73.0,0,1,3.0,42.0,0.0,20180913154014.0,11079^21077,^
70,,,,-17.5,0.8695652173913043,17.5,0.8,144.5,1.0,144.5,0.7142857142857143,,2:2^,57.0,73.0,0,1,3.0,42.0,1.0,20180913154019.0,11079^21077,^
71,,,,-17.5,0.8695652173913043,17.5,0.8,144.5,1.0,144.5,0.7142857142857143,,2:2^,57.0,73.0,0,1,3.0,41.0,1.0,20180913154019.0,11079^21077,^
72,,,,-17.5,0.8695652173913043,17.5,0.8,144.5,0.9090909090909091,144.5,0.7692307692307693,,,57.0,73.0,0,1,3.0,40.0,1.0,20180913154021.0,21077.0,
73,,,,-19.5,0.8695652173913043,19.5,0.8,147.5,0.8333333333333334,147.5,0.8333333333333334,,^,57.0,76.0,0,1,3.0,34.0,1.0,20180913154028.0,21075^11077,^
74,,,,-19.5,0.8695652173913043,19.5,0.8,147.5,0.7692307692307693,147.5,0.9090909090909091,,^,57.0,76.0,0,1,3.0,29.0,0.0,20180913154032.0,21075^11077,^
75,,,,-18.5,0.8333333333333334,18.5,0.8333333333333334,147.5,0.7692307692307693,147.5,0.9090909090909091,,^,57.0,76.0,0,1,3.0,29.0,1.0,20180913154048.0,21075^11077,^
76,,,,-18.5,0.8333333333333334,18.5,0.8333333333333334,147.5,0.7142857142857143,147.5,1.0,,,57.0,76.0,0,1,3.0,28.0,1.0,20180913154048.0,11077.0,
77,,,,-18.5,0.8333333333333334,18.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,,57.0,76.0,0,1,3.0,19.0,1.0,20180913154057.0,11077.0,
78,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,,57.0,76.0,0,1,3.0,18.0,1.0,20180913154059.0,21077.0,
79,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,146.5,0.7142857142857143,146.5,1.0,,,57.0,76.0,0,1,3.0,12.0,0.0,20180913154104.0,21077.0,
80,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,146.5,0.7142857142857143,146.5,1.0,,^,57.0,76.0,0,1,3.0,13.0,0.0,20180913154114.0,11086^21077,^
81,,,,-19.5,0.7692307692307693,19.5,0.9090909090909091,147.5,0.8,147.5,0.8695652173913043,,1:2,57.0,76.0,0,1,3.0,13.0,0.0,20180913154117.0,21078.0,
82,,,,-19.5,0.7692307692307693,19.5,0.9090909090909091,147.5,0.8,147.5,0.8695652173913043,,1:2,57.0,76.0,0,1,3.0,13.0,0.0,20180913154204.0,21078.0,
83,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,146.5,0.7142857142857143,146.5,1.0,,1:2,57.0,76.0,0,1,3.0,13.0,0.0,20180913154221.0,21078.0,
84,,,,-19.5,0.8333333333333334,19.5,0.8333333333333334,146.5,0.7142857142857143,146.5,1.0,,1:2,57.0,76.0,0,1,3.0,13.0,0.0,20180913154226.0,21078.0,
85,,,,-17.5,0.9090909090909091,17.5,0.7692307692307693,147.5,0.8,147.5,0.8695652173913043,,1:2,57.0,76.0,0,1,3.0,13.0,0.0,20180913154229.0,11078.0,
86,,,,-17.5,0.7692307692307693,17.5,0.9090909090909091,146.5,0.8695652173913043,146.5,0.8,,1:2^2:2,57.0,76.0,0,1,3.0,13.0,0.0,20180913154229.0,11080^11078,^
87,,,,-17.5,0.7692307692307693,17.5,0.9090909090909091,146.5,0.8695652173913043,146.5,0.8,,1:2^2:2,57.0,76.0,0,1,3.0,13.0,1.0,20180913154257.0,11080^11078,^
88,,,,-17.5,0.7692307692307693,17.5,0.9090909090909091,146.5,0.8695652173913043,146.5,0.8,,1:2^2:2,57.0,76.0,0,1,3.0,12.0,1.0,20180913154257.0,11080^11078,^
89,,,,-18.5,0.7692307692307693,18.5,0.9090909090909091,146.5,0.8333333333333334,146.5,0.8333333333333334,,,57.0,76.0,0,1,3.0,3.0,1.0,20180913154306.0,21077.0,
90,,,,-20.5,0.7692307692307693,20.5,0.9090909090909091,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,^,58.0,79.0,0,1,3.0,4.0,1.0,20180913154306.0,21075^11077,^
91,,,,-20.5,0.7692307692307693,20.5,0.9090909090909091,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,3.0,3.0,1.0,20180913154307.0,11077.0,
92,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,58.0,1.0,20180913154312.0,11077.0,
93,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,57.0,1.0,20180913154313.0,11077.0,
94,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,55.0,1.0,20180913154315.0,11077.0,
95,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,47.0,1.0,20180913154323.0,11077.0,
96,,,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,41.0,1.0,20180913154329.0,21077.0,
97,,,,-21.5,0.0,21.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,58.0,79.0,0,1,2.0,40.0,1.0,20180913154329.0,21077.0,
