,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
141,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2,61.0,79.0,0,1,1.0,24.0,0.0,20180913154926.0,21078.0,
142,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2,61.0,79.0,0,1,1.0,24.0,0.0,20180913155046.0,21078.0,
143,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2^2:2,61.0,79.0,0,1,1.0,24.0,0.0,20180913155046.0,21080^21078,^
144,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2^2:2,61.0,79.0,0,1,1.0,24.0,1.0,20180913155104.0,21080^21078,^
145,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2^2:2,61.0,79.0,0,1,1.0,23.0,1.0,20180913155104.0,21080^21078,^
146,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,23.0,1.0,20180913155105.0,21077.0,
147,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,14.0,1.0,20180913155113.0,21077.0,
148,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,13.0,1.0,20180913155114.0,11077.0,
149,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,7.0,0.0,20180913155120.0,11077.0,
150,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,7.0,0.0,20180913155140.0,11077.0,
151,44.0,5.0,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,7.0,0.0,20180913155141.0,11081.0,
152,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,7.0,1.0,20180913155311.0,11077.0,
153,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,6.0,1.0,20180913155311.0,11077.0,
154,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,0.0,1.0,20180913155314.0,11077.0,
155,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,,61.0,79.0,0,1,0.0,56.0,1.0,20180913155318.0,21077.0,
156,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,,61.0,79.0,0,1,0.0,47.0,1.0,20180913155326.0,21077.0,
157,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,,61.0,79.0,0,1,0.0,47.0,1.0,20180913155330.0,21077.0,
158,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,,61.0,79.0,0,1,0.0,47.0,1.0,20180913155342.0,21077.0,
159,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,1:2,61.0,79.0,0,1,0.0,47.0,1.0,20180913155344.0,21078.0,
160,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,1:2^2:2,61.0,79.0,0,1,0.0,47.0,1.0,20180913155425.0,21080^21078,^
161,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,1:2^2:2,61.0,79.0,0,1,0.0,47.0,1.0,20180913155436.0,21080^21078,^
162,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,47.0,1.0,20180913155437.0,21080^11077,^
163,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,43.0,1.0,20180913155438.0,21080^11077,^
164,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,35.0,1.0,20180913155446.0,21080^11077,^
165,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,33.0,1.0,20180913155449.0,11077.0,^
166,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,24.0,1.0,20180913155457.0,11077.0,^
167,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,20.0,1.0,20180913155457.0,11077.0,^
168,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,12.0,1.0,20180913155509.0,11077.0,^
169,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,4.0,1.0,20180913155517.0,11077.0,^
170,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,0.0,0.0,20180913155523.0,11077.0,^
171,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,0.0,0.0,20180913155524.0,11077.0,^
172,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,0.0,0.0,20180913155543.0,11077.0,^
173,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,2:2^,61.0,79.0,0,1,0.0,0.0,0.0,20180913155543.0,1084.0,^
