,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-24.5,0.9090909090909091,24.5,0.7692307692307693,,,,,2,9,,17,18,,10,10,4,3,,4,2,,100.0,71.4,50,73,0,1,4.0,2.0,0,20181019042522,21077
1,4.0,-24.5,0.9090909090909091,24.5,0.7692307692307693,,^,,,2,9,,17,18,,10,10,4,3,5.0,4,2,,100.0,71.4,50,73,0,1,4.0,3.0,0,20181019042547.0,11086^21077
2,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,,1:2,,,2,9,,17,18,,10,10,4,3,5.0,4,2,,100.0,71.4,50,73,0,1,4.0,3.0,0,20181019042548.0,21078.0
3,4.0,-24.5,0.8,24.5,0.8695652173913043,,1:2^2:2,,,2,9,,17,18,11.0,10,10,4,3,5.0,4,2,73.3,100.0,71.4,50,74,0,1,4.0,3.0,0,20181019042559.0,21079^21078
4,4.0,-25.5,0.9090909090909091,25.5,0.7692307692307693,,2:2^,,,2,9,,17,18,12.0,10,10,4,3,5.0,4,2,75.0,100.0,71.4,50,75,0,1,4.0,3.0,0,20181019042609.0,21079^11077
5,4.0,-25.5,0.9090909090909091,25.5,0.7692307692307693,,2:2^,,,2,9,,17,18,12.0,10,10,4,3,5.0,4,2,75.0,100.0,71.4,50,75,0,1,4.0,3.0,1.0,20181019042616.0,21079^11077
6,4.0,-25.5,0.9090909090909091,25.5,0.7692307692307693,,2:2^,,,2,9,,17,18,12.0,10,10,4,3,5.0,4,2,75.0,100.0,71.4,50,75,0,1,4.0,2.0,1.0,20181019042617.0,21079^11077
7,4.0,-25.5,0.9090909090909091,25.5,0.7692307692307693,,,,,2,9,,17,18,12.0,10,10,4,3,5.0,4,2,75.0,100.0,71.4,50,75,0,1,4.0,3.0,1.0,20181019042617.0,11077.0
8,4.0,-25.5,1.0,25.5,0.7142857142857143,,,,,2,9,,17,18,12.0,10,10,4,3,5.0,4,2,75.0,100.0,71.4,50,75,0,1,3.0,55.0,0.0,20181019042625.0,11077.0
9,4.0,-25.5,1.0,25.5,0.7142857142857143,,,,,2,9,,17,18,12.0,10,10,4,3,5.0,4,2,75.0,100.0,71.4,50,75,0,1,3.0,55.0,0.0,20181019042626.0,11077.0
10,4.0,-24.5,1.0,24.5,0.7142857142857143,,^,,,2,9,18.0,17,18,12.0,10,10,4,3,5.0,4,2,75.0,100.0,71.4,52,75,0,1,3.0,54.0,0.0,20181019042628.0,11074^21077
11,4.0,-23.5,1.0,23.5,0.7142857142857143,,^,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,75.0,100.0,71.4,52,75,0,1,3.0,54.0,0.0,20181019042636.0,21086^11077
12,4.0,-23.5,0.8695652173913043,23.5,0.8,,1:1,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,75.0,100.0,71.4,52,75,0,1,3.0,54.0,0.0,20181019042637.0,11078.0
13,4.0,-24.5,1.0,24.5,0.7142857142857143,,1:1^,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,75,0,1,3.0,54.0,1.0,20181019042657.0,11080^21077
14,4.0,-24.5,1.0,24.5,0.7142857142857143,,1:1^,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,75,0,1,3.0,45.0,1.0,20181019042706.0,11080^21077
15,4.0,-24.5,1.0,24.5,0.7142857142857143,,1:1^,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,75,0,1,3.0,40.0,1.0,20181019042711.0,11080^21077
16,4.0,-24.5,1.0,24.5,0.7142857142857143,,1:1^,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,75,0,1,3.0,39.0,1.0,20181019042711.0,11080^21077
17,4.0,-24.5,1.0,24.5,0.7142857142857143,,,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,75,0,1,3.0,53.0,1.0,20181019042712.0,21077.0
18,4.0,-24.5,1.0,24.5,0.7142857142857143,,,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,75,0,1,3.0,45.0,1.0,20181019042720.0,21077.0
19,4.0,-24.5,1.0,24.5,0.7142857142857143,,,,,2,9,18.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,75,0,1,3.0,39.0,1.0,20181019042725.0,21077.0
20,4.0,-24.5,0.7142857142857143,24.5,1.0,,^,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,77,0,1,3.0,36.0,1.0,20181019042729.0,21074^11077
21,4.0,-24.5,0.7142857142857143,24.5,1.0,,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,77,0,1,3.0,30.0,1.0,20181019042735.0,11077.0
22,4.0,-24.5,0.7142857142857143,24.5,1.0,,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,52,77,0,1,3.0,26.0,1.0,20181019042739.0,11077.0
23,4.0,-23.5,0.7142857142857143,23.5,1.0,,^,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,54,77,0,1,3.0,21.0,1.0,20181019042744.0,11074^21077
24,4.0,-23.5,0.7142857142857143,23.5,1.0,,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,54,77,0,1,3.0,20.0,1.0,20181019042745.0,21077.0
25,4.0,-23.5,0.7142857142857143,23.5,1.0,,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,54,77,0,1,3.0,11.0,1.0,20181019042754.0,21077.0
26,4.0,-23.5,0.7142857142857143,23.5,1.0,,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,54,77,0,1,3.0,7.0,1.0,20181019042757.0,21077.0
27,4.0,-23.5,0.0,23.5,0.0,5.0,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,58.0,1.0,20181019042806.0,21077.0
28,4.0,-22.5,0.0,22.5,0.0,5.0,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,57.0,1.0,20181019042808.0,11077.0
29,4.0,-22.5,0.0,22.5,0.0,5.0,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,56.0,1.0,20181019042808.0,11077.0
30,4.0,-22.5,0.0,22.5,0.0,5.0,,,,2,9,19.0,17,18,12.0,10,10,4,3,3.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,53.0,0.0,20181019042811.0,11077.0
31,4.0,-22.5,0.0,22.5,0.0,5.0,^,1.0,,2,9,19.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,54.0,0.0,20181019042818.0,21086^11077
32,4.0,-22.5,0.0,22.5,0.0,5.0,^,1.0,,2,9,19.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,54.0,0.0,20181019042819.0,21086^11077
33,4.0,-22.5,0.0,22.5,0.0,5.0,^,1.0,,2,9,19.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,54.0,1.0,20181019042839.0,21086^11077
34,4.0,-22.5,0.0,22.5,0.0,5.0,^,1.0,,2,9,19.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,53.0,1.0,20181019042840.0,21086^11077
35,4.0,-22.5,0.0,22.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,53.0,1.0,20181019042840.0,11077.0
36,4.0,-22.5,0.0,22.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,49.0,1.0,20181019042843.0,21077.0
37,4.0,-22.5,0.0,22.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,40.0,1.0,20181019042852.0,21077.0
38,4.0,-22.5,0.0,22.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,42.0,1.0,20181019042852.0,21077.0
39,4.0,-22.5,0.0,22.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,38.0,1.0,20181019042857.0,21077.0
40,4.0,-20.5,0.0,20.5,0.0,6.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,31.0,1.0,20181019042904.0,11077.0
41,4.0,-20.5,0.0,20.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,25.0,1.0,20181019042910.0,11077.0
42,4.0,-21.5,0.0,21.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,24.0,1.0,20181019042911.0,21077.0
43,4.0,-21.5,0.0,21.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,17.0,1.0,20181019042917.0,21077.0
44,4.0,-21.5,0.0,21.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,8.0,1.0,20181019042926.0,21077.0
45,4.0,-21.5,0.0,21.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,8.0,1.0,20181019042927.0,21077.0
46,4.0,-21.5,0.0,21.5,0.0,5.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,54,77,0,1,2.0,2.0,1.0,20181019042932.0,21077.0
47,4.0,-22.5,0.0,22.5,0.0,5.0,^,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,56,79,0,1,2.0,0.0,1.0,20181019042934.0,21074^11077
48,4.0,-22.5,0.0,22.5,0.0,1.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,56,79,0,1,1.0,59.0,1.0,20181019042936.0,11077.0
49,4.0,-22.5,0.0,22.5,0.0,1.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,56,79,0,1,1.0,50.0,1.0,20181019042945.0,11077.0
50,4.0,-22.5,0.0,22.5,0.0,1.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,4.0,4,2,90.9,100.0,71.4,56,79,0,1,1.0,48.0,0.0,20181019042947.0,11077.0
51,4.0,-22.5,0.0,22.5,0.0,1.0,^,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,90.9,100.0,71.4,56,79,0,1,1.0,48.0,0.0,20181019042952.0,21086^11077
52,4.0,-22.5,0.0,22.5,0.0,1.0,^,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,90.9,100.0,71.4,56,79,0,1,1.0,48.0,0.0,20181019042953.0,21086^11077
53,4.0,-22.5,0.0,22.5,0.0,1.0,1:2,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,90.9,100.0,71.4,56,79,0,1,1.0,48.0,0.0,20181019042954.0,11078.0
54,4.0,-22.5,0.0,22.5,0.0,1.0,1:2^2:2,1.0,,2,9,20.0,17,18,11.0,10,10,4,3,5.0,4,2,91.7,100.0,71.4,57,79,0,1,1.0,48.0,0.0,20181019043018.0,11079^11078
55,4.0,-21.5,0.0,21.5,0.0,1.0,2:2^,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,79,0,1,1.0,48.0,0.0,20181019043025.0,11079^21077
56,4.0,-21.5,0.0,21.5,0.0,1.0,2:2^,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,79,0,1,1.0,48.0,1.0,20181019043029.0,11079^21077
57,4.0,-21.5,0.0,21.5,0.0,1.0,2:2^,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,79,0,1,1.0,47.0,1.0,20181019043030.0,11079^21077
58,4.0,-21.5,0.0,21.5,0.0,1.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,79,0,1,1.0,48.0,1.0,20181019043030.0,21077.0
59,4.0,-21.5,0.0,21.5,0.0,1.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,79,0,1,1.0,41.0,1.0,20181019043037.0,21077.0
60,4.0,-21.5,0.0,21.5,0.0,1.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,79,0,1,1.0,33.0,1.0,20181019043044.0,21077.0
61,4.0,-22.5,0.0,22.5,0.0,1.0,,1.0,,2,9,20.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,81,0,1,1.0,27.0,1.0,20181019043050.0,21077.0
62,4.0,-22.5,0.0,22.5,0.0,1.0,^,1.0,,2,9,21.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,81,0,1,1.0,23.0,1.0,20181019043054.0,21074^11077
63,4.0,-22.5,0.0,22.5,0.0,1.0,,1.0,,2,9,21.0,17,18,12.0,10,10,4,3,5.0,4,2,92.3,100.0,71.4,58,81,0,1,1.0,18.0,0.0,20181019043059.0,11077.0
64,4.0,-22.5,0.0,22.5,0.0,1.0,^,1.0,,2,9,21.0,17,18,12.0,10,10,4,3,6.0,4,2,92.3,100.0,71.4,58,81,0,1,1.0,19.0,0.0,20181019043107.0,21086^11077
65,4.0,-22.5,0.0,22.5,0.0,1.0,^,1.0,,2,9,21.0,17,18,12.0,10,10,4,3,6.0,4,2,92.3,100.0,71.4,58,81,0,1,1.0,19.0,0.0,20181019043108.0,21086^11077
66,4.0,-22.5,0.0,22.5,0.0,1.0,1:2,1.0,,2,9,21.0,17,18,12.0,10,10,4,3,6.0,4,2,92.3,100.0,71.4,58,81,0,1,1.0,19.0,0.0,20181019043109.0,11078.0
67,4.0,-21.5,0.0,21.5,0.0,1.0,^,1.0,,2,9,21.0,17,18,12.0,10,10,4,3,6.0,4,2,92.3,100.0,71.4,60,81,0,1,1.0,19.0,0.0,20181019043120.0,11074^21077
