,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-7.5,1.0,7.5,0.7142857142857143,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,62,69,0,1,2.0,29.0,0,20181020013814,21077
1,,,4.0,-7.5,1.0,7.5,0.7142857142857143,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,62,69,0,1,2.0,29.0,0,20181020020306.0,21077
2,,,4.0,-7.5,1.0,7.5,0.7142857142857143,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,62,69,0,1,2.0,29.0,1.0,20181020020309.0,21077
3,,,4.0,-7.5,1.0,7.5,0.7142857142857143,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,62,69,0,1,2.0,28.0,1.0,20181020020310.0,21077
4,,,4.0,-7.5,1.0,7.5,0.7142857142857143,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,62,69,0,1,2.0,22.0,1.0,20181020020315.0,21077
5,,,4.0,-7.5,1.0,7.5,0.7142857142857143,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,62,69,0,1,2.0,14.0,1.0,20181020020323.0,21077
6,,,4.0,-6.5,1.0,6.5,0.7142857142857143,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,62,69,0,1,2.0,11.0,1.0,20181020020327.0,11077.0
7,,,4.0,-6.5,1.0,6.5,0.7142857142857143,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,62,69,0,1,2.0,9.0,1.0,20181020020329.0,11077.0
8,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,,,6,11,,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,69,0,1,2.0,2.0,1.0,20181020020337.0,11077.0
9,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,^,,6,11,18.0,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,69,0,1,2.0,2.0,1.0,20181020020337.0,11074^21077
10,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,^,,6,11,18.0,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,69,0,1,2.0,48.0,1.0,20181020020349.0,11074^21077
11,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,^,,6,11,18.0,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,69,0,1,2.0,40.0,1.0,20181020020358.0,11074^21077
12,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,^,,6,11,18.0,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,69,0,1,2.0,32.0,1.0,20181020020406.0,11074^21077
13,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,^,,6,11,18.0,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,69,0,1,2.0,30.0,1.0,20181020020408.0,11074^21077
14,,,4.0,-6.5,0.9090909090909091,6.5,0.7692307692307693,,^,,6,11,11.0,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,71,0,1,2.0,24.0,1.0,20181020020414.0,21074^11077
15,,,4.0,-6.5,0.9090909090909091,6.5,0.7692307692307693,,^,,6,11,11.0,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,71,0,1,2.0,24.0,0.0,20181020020414.0,21074^11077
16,,,4.0,-6.5,0.9090909090909091,6.5,0.7692307692307693,,^,,6,11,11.0,17,10,,10,15,,4,4,,4,3,,71.4,88.2,64,71,0,1,2.0,24.0,1.0,20181020020419.0,21074^11077
