,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第3节,8.5,0.8,-8.5,0.87,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,2.0,4.0,3.0,3.0,1.0,3.0,40.0,57.1,44.0,41.0,0.0,1,8.0,4.0,0,,11078,0.0,0.0,
1,,,,第3节,8.5,0.8,-8.5,0.87,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,45.0,41.0,0.0,1,8.0,4.0,0,,11079.0,0.0,0.0,"0.79,0.50"
2,,,,第3节,8.5,0.8,-8.5,0.87,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,41.0,45.0,0.0,1,8.0,4.0,0,,21077.0,0.0,0.0,
3,,,,第3节,8.5,0.83,-8.5,0.83,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,41.0,45.0,1.0,1,8.0,4.0,0,,21077.0,0.0,0.0,
4,,,,第3节,8.5,0.83,-8.5,0.83,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,41.0,45.0,1.0,1,8.0,4.0,0,,21077.0,0.0,0.0,
5,,,,第3节,8.5,0.83,-8.5,0.83,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,41.0,45.0,1.0,1,8.0,4.0,0,,21077.0,0.0,0.0,
6,,,,第3节,8.5,0.83,-8.5,0.83,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,41.0,45.0,1.0,1,8.0,4.0,0,,21077.0,0.0,0.0,
7,,,,第3节,8.5,0.83,-8.5,0.83,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,41.0,45.0,1.0,1,8.0,4.0,0,,21077.0,0.0,0.0,
8,,,,第3节,8.5,0.83,-8.5,0.83,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,41.0,45.0,1.0,1,8.0,4.0,0,,21077.0,0.0,0.0,
9,,,,第3节,8.5,0.83,-8.5,0.83,154.5,0.83,154.5,0.83,,,,,4.0,3.0,15.0,14.0,3.0,4.0,3.0,3.0,1.0,3.0,50.0,57.1,41.0,45.0,0.0,1,8.0,4.0,0,,21077.0,0.0,0.0,
