,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
19,44.0,5.0,,第2节,-31.5,0.83,31.5,0.83,133.5,0.83,132.5,0.83,-31.5,,,0.0,2.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,11.0,27.0,0.0,1,8.0,15.0,0.0,20180622071816.0,21077.0
20,44.0,5.0,,第2节,-31.5,0.83,31.5,0.83,132.5,0.83,132.5,0.83,132.5,,,0.0,2.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,11.0,27.0,0.0,1,8.0,15.0,0.0,20180622071816.0,21077.0
21,44.0,5.0,,第2节,-31.5,0.83,31.5,0.83,132.5,0.83,132.5,0.83,132.5,,,0.0,2.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,11.0,27.0,0.0,1,8.0,15.0,1.0,20180622072001.0,21077.0
22,44.0,5.0,,第2节,-31.5,0.83,33.5,0.83,132.5,0.83,132.5,0.83,33.5,,,0.0,2.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,11.0,27.0,0.0,1,8.0,15.0,1.0,20180622072001.0,21077.0
23,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,132.5,0.83,135.5,0.83,-33.5,,,0.0,2.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,11.0,27.0,0.0,1,8.0,15.0,1.0,20180622072001.0,21077.0
24,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,135.5,0.83,135.5,0.83,135.5,,,0.0,2.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,11.0,27.0,0.0,1,8.0,15.0,1.0,20180622072001.0,21077.0
25,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,135.5,0.83,135.5,0.83,135.5,,,0.0,2.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,11.0,27.0,0.0,1,8.0,5.0,1.0,20180622072007.0,21077.0
26,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,135.5,0.83,135.5,0.83,135.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,11.0,30.0,0.0,1,8.0,5.0,1.0,20180622072007.0,21075.0
27,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,135.5,0.83,135.5,0.83,135.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,8.0,5.0,1.0,20180622072007.0,11077.0
28,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,135.5,0.83,135.5,0.83,135.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,8.0,4.0,1.0,20180622072009.0,11077.0
29,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,135.5,0.83,135.5,0.83,135.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,8.0,4.0,1.0,20180622072009.0,21077.0
30,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,135.5,0.83,135.5,0.83,135.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,7.0,39.0,1.0,20180622072033.0,21077.0
31,44.0,5.0,,第2节,-33.5,0.8,33.5,0.87,133.5,0.83,133.5,0.83,133.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,7.0,39.0,1.0,20180622072033.0,21077.0
32,44.0,5.0,,第2节,-33.5,0.83,33.5,0.83,133.5,0.83,133.5,0.83,133.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,7.0,37.0,1.0,20180622072035.0,11077.0
33,44.0,5.0,,第2节,-33.5,0.8,33.5,0.87,133.5,0.83,133.5,0.83,133.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,7.0,37.0,1.0,20180622072035.0,21077.0
34,44.0,5.0,,第2节,-33.5,0.83,34.5,0.83,133.5,0.83,133.5,0.83,34.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,7.0,37.0,1.0,20180622072035.0,21077.0
35,44.0,5.0,,第2节,-34.5,0.83,34.5,0.83,133.5,0.83,133.5,0.83,-34.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,7.0,25.0,1.0,20180622072047.0,21077.0
36,44.0,5.0,,第2节,-34.5,0.83,34.5,0.83,133.5,0.83,133.5,0.83,-34.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,7.0,25.0,1.0,20180622072047.0,21077.0
37,44.0,5.0,,第2节,-34.5,0.83,34.5,0.83,133.5,0.83,133.5,0.83,-34.5,,,0.0,3.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,11.0,0.0,1,7.0,25.0,1.0,20180622072049.0,21077.0
38,44.0,5.0,,第2节,-34.5,0.83,34.5,0.83,133.5,0.83,133.5,0.83,-34.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,30.0,33.0,0.0,1,7.0,25.0,1.0,20180622072049.0,21075.0
39,44.0,5.0,,第2节,-34.5,0.83,34.5,0.83,133.5,0.83,133.5,0.83,-34.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,25.0,1.0,20180622072049.0,11077.0
40,44.0,5.0,,第2节,-34.5,0.83,36.5,0.83,133.5,0.83,133.5,0.83,36.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,25.0,1.0,20180622072049.0,11077.0
41,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,133.5,0.83,136.5,0.83,-36.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,25.0,1.0,20180622072049.0,11077.0
42,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,136.5,0.83,136.5,0.83,136.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,25.0,1.0,20180622072049.0,11077.0
43,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,136.5,0.83,136.5,0.83,136.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,13.0,1.0,20180622072059.0,11077.0
44,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,136.5,0.83,136.5,0.83,136.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,13.0,1.0,20180622072059.0,11077.0
45,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,136.5,0.83,136.5,0.83,136.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,12.0,1.0,20180622072101.0,11077.0
46,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,136.5,0.83,136.5,0.83,136.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,12.0,0.0,20180622072101.0,11077.0
47,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,136.5,0.83,136.5,0.83,136.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,0.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,3.0,0.0,20180622072109.0,11077.0
48,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,136.5,0.83,136.5,0.83,136.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,3.0,0.0,20180622072109.0,11086.0
49,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,135.5,0.83,135.5,0.83,135.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,3.0,0.0,20180622072109.0,21077.0
50,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,135.5,0.83,135.5,0.83,135.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,3.0,1.0,20180622072123.0,21077.0
51,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,135.5,0.83,135.5,0.83,135.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,7.0,2.0,1.0,20180622072123.0,21077.0
52,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,135.5,0.83,135.5,0.83,135.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,6.0,2.0,1.0,20180622072131.0,11077.0
53,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,135.5,0.83,135.5,0.83,135.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,6.0,54.0,1.0,20180622072131.0,11077.0
54,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,134.5,0.83,134.5,0.83,134.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,6.0,54.0,1.0,20180622072131.0,11077.0
55,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,134.5,0.83,134.5,0.83,134.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,6.0,54.0,1.0,20180622072132.0,11077.0
56,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,134.5,0.83,134.5,0.83,134.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,6.0,54.0,1.0,20180622072132.0,11077.0
57,44.0,5.0,,第2节,-36.5,0.83,36.5,0.83,134.5,0.83,134.5,0.83,134.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,6.0,52.0,1.0,20180622072133.0,11077.0
58,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,134.5,0.83,134.5,0.83,134.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,6.0,52.0,1.0,20180622072133.0,21077.0
59,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,134.5,0.83,134.5,0.83,134.5,,,0.0,4.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,11.0,0.0,1,6.0,48.0,1.0,20180622072137.0,21077.0
60,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,134.5,0.83,134.5,0.83,134.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,33.0,36.0,0.0,1,6.0,48.0,1.0,20180622072137.0,21075.0
61,44.0,5.0,,第2节,-36.5,0.8,36.5,0.87,134.5,0.83,134.5,0.83,134.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,1.0,20.0,37.5,36.0,11.0,0.0,1,6.0,48.0,1.0,20180622072137.0,11077.0
