,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
109,44.0,5.0,,第1节,2.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,2.5,,0.71,1:2,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,26.0,0,,21078.0,1.2,0.63
110,44.0,5.0,,第1节,-2.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-2.5,,0.71,1:2,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,26.0,0,,21078.0,1.2,0.63
111,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.71,1:2,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,26.0,0,,21078.0,1.2,0.63
112,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.2,1:2,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,26.0,0,,21078.0,1.2,0.63
113,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.63,1:2,1.0,0.0,5.0,3.0,5.0,5.0,75.0,17.0,18.0,0.0,1,0.0,26.0,0,,21079.0,1.2,0.63
114,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.63,2:2,1.0,0.0,5.0,3.0,5.0,5.0,75.0,18.0,10.0,0.0,1,0.0,26.0,0,,21078.0,1.2,0.63
115,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.63,2:2,1.0,0.0,5.0,3.0,5.0,5.0,75.0,18.0,10.0,0.0,1,0.0,26.0,0,,21078.0,1.2,0.63
116,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.63,2:2,1.0,0.0,5.0,4.0,5.0,5.0,80.0,18.0,19.0,0.0,1,0.0,26.0,0,,21079.0,1.2,0.63
117,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.63,,1.0,0.0,5.0,4.0,5.0,5.0,80.0,19.0,10.0,0.0,1,0.0,26.0,0,,11077.0,1.2,0.63
118,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.87,,1.0,0.0,5.0,4.0,5.0,5.0,80.0,19.0,10.0,0.0,1,0.0,26.0,0,,11077.0,1.2,0.63
119,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.8,,1.0,0.0,5.0,4.0,5.0,5.0,80.0,19.0,10.0,0.0,1,0.0,26.0,0,,11077.0,1.2,0.63
120,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,1.25,,1.0,0.0,5.0,4.0,5.0,5.0,80.0,19.0,10.0,0.0,1,0.0,26.0,0,,11077.0,1.2,0.63
121,44.0,5.0,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.0,,1.0,0.0,5.0,4.0,5.0,5.0,80.0,19.0,10.0,0.0,1,0.0,10.0,0,,11077.0,1.2,0.63
