,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
33,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.25,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,6.0,0.0,1,3.0,39.0,0,,11077.0,1.2,0.63
34,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.25,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,6.0,0.0,1,3.0,12.0,0,,11077.0,1.2,0.63
35,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.25,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,6.0,0.0,1,3.0,12.0,0,,11075.0,1.2,0.63
36,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.25,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,9.0,0.0,1,3.0,12.0,0,,21077.0,1.2,0.63
37,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.25,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,9.0,0.0,1,2.0,58.0,0,,21077.0,1.2,0.63
38,,,,第1节,-4.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-4.5,,1.25,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,9.0,0.0,1,2.0,58.0,0,,21077.0,1.2,0.63
39,,,,第1节,4.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,4.5,,1.25,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,9.0,0.0,1,2.0,58.0,0,,21077.0,1.2,0.63
40,,,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,1.25,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,9.0,0.0,1,2.0,58.0,0,,21077.0,1.2,0.63
41,,,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.0,,,0.0,2.0,1.0,5.0,4.0,100.0,10.0,9.0,0.0,1,2.0,58.0,0,,21077.0,1.2,0.63
42,,,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.0,,,0.0,3.0,1.0,5.0,4.0,100.0,10.0,12.0,0.0,1,2.0,58.0,0,,21074.0,1.2,0.63
43,,,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.0,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,58.0,0,,11077.0,1.2,0.63
44,,,,第1节,-3.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-3.5,,0.83,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,58.0,0,,11077.0,1.2,0.63
45,,,,第1节,3.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,3.5,,0.83,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,58.0,0,,11077.0,1.2,0.63
46,,,,第1节,144.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,144.5,,0.83,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,58.0,0,,11077.0,1.2,0.63
47,,,,第1节,144.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,144.5,,0.0,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,58.0,0,,11077.0,1.2,0.63
48,,,,第1节,144.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,144.5,,0.0,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,35.0,0,,11077.0,1.2,0.63
49,,,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.0,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,35.0,0,,11077.0,1.2,0.63
50,,,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.0,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,14.0,0,,11077.0,1.2,0.63
51,,,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.56,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,14.0,0,,11077.0,1.2,0.63
52,,,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,1.3,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,7.0,0,,21077.0,1.2,0.63
53,,,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.87,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,7.0,0,,21077.0,1.2,0.63
54,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.8,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,7.0,0,,21077.0,1.2,0.63
55,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.0,,,0.0,3.0,1.0,5.0,4.0,100.0,12.0,9.0,0.0,1,2.0,7.0,0,,21077.0,1.2,0.63
56,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.25,,,0.0,4.0,1.0,5.0,4.0,100.0,12.0,14.0,0.0,1,2.0,7.0,0,,21074.0,1.2,0.63
57,,,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.25,,,0.0,4.0,1.0,5.0,4.0,100.0,14.0,9.0,0.0,1,1.0,53.0,0,,11077.0,1.2,0.63
58,,,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.83,,,0.0,4.0,1.0,5.0,4.0,100.0,14.0,9.0,0.0,1,1.0,53.0,0,,11077.0,1.2,0.63
59,,,,第1节,1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,1.5,,0.83,,,0.0,4.0,1.0,5.0,4.0,100.0,14.0,9.0,0.0,1,1.0,53.0,0,,11077.0,1.2,0.63
60,,,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.83,,,0.0,4.0,1.0,5.0,4.0,100.0,14.0,9.0,0.0,1,1.0,53.0,0,,11077.0,1.2,0.63
61,,,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,0.71,,,0.0,4.0,1.0,5.0,4.0,100.0,14.0,9.0,0.0,1,1.0,53.0,0,,11077.0,1.2,0.63
62,,,,第1节,143.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,143.5,,1.0,,,0.0,4.0,1.0,5.0,4.0,100.0,14.0,9.0,0.0,1,1.0,40.0,0,,21077.0,1.2,0.63
