,ED,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,9,10,24,23,,17,11,4,2,,6,9,,63.0,78.6,101,90,0,1,0,28.0,0,20181027154630,21078
1,,1:2^2:2,9,10,24,23,12.0,17,11,4,2,,6,9,80.0,63.0,78.6,101,91,0,1,0,28.0,0,20181027154650.0,21079^21078
2,,2:2^,9,10,24,23,13.0,17,11,4,2,,6,9,81.2,63.0,78.6,101,92,0,1,0,28.0,0,20181027154658.0,21079^11077
3,,2:2^,9,10,24,23,13.0,17,11,4,2,,6,9,81.2,63.0,78.6,101,92,0,1,0,27.0,0,20181027154658.0,21079^11077
4,,,9,10,24,23,13.0,17,11,4,2,,6,9,81.2,63.0,78.6,101,92,0,1,0,26.0,0,20181027154704.0,11077.0
5,,,9,10,24,23,13.0,17,11,4,2,,6,9,81.2,63.0,78.6,101,92,0,1,0,20.0,0.0,20181027154709.0,11077.0
6,,,9,10,24,23,13.0,17,11,4,2,,6,9,81.2,63.0,78.6,101,92,0,1,0,20.0,0.0,20181027154710.0,11077.0
7,,^,9,10,24,23,13.0,17,11,4,2,10.0,6,9,81.2,63.0,78.6,101,92,0,1,0,24.0,0.0,20181027154712.0,21086^11077
8,,1:2,9,10,24,23,13.0,17,11,4,2,10.0,6,9,81.2,63.0,78.6,101,92,0,1,0,24.0,0.0,20181027154713.0,11078.0
9,,1:2^2:2,9,10,24,23,13.0,17,11,4,2,10.0,6,9,60.7,63.0,78.6,101,92,0,1,0,24.0,0.0,20181027154729.0,11080^11078
10,,2:2^,9,10,24,23,18.0,17,11,4,2,10.0,6,9,62.1,63.0,78.6,102,92,0,1,0,24.0,0.0,20181027154740.0,11079^21077
11,,2:2^,9,10,24,23,18.0,17,11,4,2,10.0,6,9,62.1,63.0,78.6,102,92,0,1,0,24.0,1.0,20181027154750.0,11079^21077
12,,2:2^,9,10,24,23,18.0,17,11,4,2,10.0,6,9,62.1,63.0,78.6,102,92,0,1,0,23.0,1.0,20181027154750.0,11079^21077
13,,,9,10,24,23,18.0,17,11,4,2,10.0,6,9,62.1,63.0,78.6,102,92,0,1,0,23.0,1.0,20181027154751.0,21077.0
14,,,9,10,24,23,18.0,17,11,4,2,10.0,6,9,62.1,63.0,78.6,102,92,0,1,0,14.0,1.0,20181027154759.0,21077.0
15,,,9,10,24,23,18.0,17,11,4,2,10.0,6,9,62.1,63.0,78.6,102,92,0,1,0,11.0,0.0,20181027154802.0,21077.0
16,,^,9,10,24,23,18.0,17,11,4,2,7.0,6,9,62.1,63.0,78.6,102,92,0,1,0,12.0,0.0,20181027154803.0,11086^21077
17,,^,9,10,24,23,18.0,17,11,4,2,7.0,6,9,62.1,63.0,78.6,102,92,0,1,0,12.0,0.0,20181027154804.0,11086^21077
18,,1:2,9,10,24,23,18.0,17,11,4,2,7.0,6,9,62.1,63.0,78.6,102,92,0,1,0,12.0,0.0,20181027154805.0,21078.0
19,,1:2^2:2,9,10,24,23,18.0,17,11,4,2,7.0,6,9,76.5,63.0,78.6,102,92,0,1,0,12.0,0.0,20181027154824.0,21080^21078
20,,2:2^,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,12.0,1.0,20181027154834.0,21080^11077
21,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,12.0,1.0,20181027154835.0,11077.0
22,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,11.0,1.0,20181027154835.0,11077.0
23,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,3.0,1.0,20181027154844.0,11077.0
24,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,5.0,1.0,20181027154844.0,11077.0
25,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,0.0,0.0,20181027154852.0,11077.0
26,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,1.0,0.0,20181027154853.0,11077.0
27,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,1.0,0.0,20181027154857.0,11077.0
28,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,1.0,0.0,20181027154906.0,11077.0
29,,,9,10,24,23,18.0,17,11,4,2,7.0,6,9,72.2,63.0,78.6,102,92,0,1,0,1.0,0.0,20181027154906.0,1084.0
